Algorithm,Allocation,Processes,Latency
DoubleRing,core,2,1.02
DoubleRing,core,4,2.87
DoubleRing,core,6,4.06
DoubleRing,core,8,5.27
DoubleRing,core,10,7.00
DoubleRing,core,12,7.81
DoubleRing,core,14,11.82
DoubleRing,core,16,13.23
DoubleRing,core,18,14.75
DoubleRing,core,20,16.18
DoubleRing,core,22,17.27
DoubleRing,core,24,18.99
DoubleRing,core,26,22.26
DoubleRing,core,28,23.60
DoubleRing,core,30,26.54
DoubleRing,core,32,28.32
DoubleRing,core,34,27.82
DoubleRing,core,36,30.14
DoubleRing,core,38,34.98
DoubleRing,core,40,37.81
DoubleRing,core,42,38.69
DoubleRing,core,44,40.60
DoubleRing,core,46,42.00
DoubleRing,core,48,42.82
DoubleRing,socket,2,2.80
DoubleRing,socket,4,6.21
DoubleRing,socket,6,9.22
DoubleRing,socket,8,12.37
DoubleRing,socket,10,15.31
DoubleRing,socket,12,18.39
DoubleRing,socket,14,21.64
DoubleRing,socket,16,25.05
DoubleRing,socket,18,27.90
DoubleRing,socket,20,31.05
DoubleRing,socket,22,34.30
DoubleRing,socket,24,37.21
DoubleRing,socket,26,45.49
DoubleRing,socket,28,48.74
DoubleRing,socket,30,51.44
DoubleRing,socket,32,55.15
DoubleRing,socket,34,58.51
DoubleRing,socket,36,61.71
DoubleRing,socket,38,65.60
DoubleRing,socket,40,67.97
DoubleRing,socket,42,71.40
DoubleRing,socket,44,75.22
DoubleRing,socket,46,78.55
DoubleRing,socket,48,81.90
DoubleRing,node,2,4.90
DoubleRing,node,4,10.83
DoubleRing,node,6,15.73
DoubleRing,node,8,21.67
DoubleRing,node,10,27.29
DoubleRing,node,12,34.19
DoubleRing,node,14,39.47
DoubleRing,node,16,45.64
DoubleRing,node,18,50.95
DoubleRing,node,20,56.98
DoubleRing,node,22,61.85
DoubleRing,node,24,65.97
DoubleRing,node,26,70.76
DoubleRing,node,28,76.78
DoubleRing,node,30,82.00
DoubleRing,node,32,87.63
DoubleRing,node,34,93.09
DoubleRing,node,36,98.88
DoubleRing,node,38,104.21
DoubleRing,node,40,110.25
DoubleRing,node,42,115.49
DoubleRing,node,44,121.99
DoubleRing,node,46,126.59
DoubleRing,node,48,133.71
