Algorithm,Allocation,Processes,Latency
Linear,core,2,0.39
Linear,core,4,0.70
Linear,core,6,0.96
Linear,core,8,1.16
Linear,core,10,1.40
Linear,core,12,1.61
Linear,core,14,2.18
Linear,core,16,2.56
Linear,core,18,2.91
Linear,core,20,3.38
Linear,core,22,5.78
Linear,core,24,4.28
Linear,core,26,4.64
Linear,core,28,5.36
Linear,core,30,5.06
Linear,core,32,5.48
Linear,core,34,5.96
Linear,core,36,6.32
Linear,core,38,6.85
Linear,core,40,7.16
Linear,core,42,8.29
Linear,core,44,8.31
Linear,core,46,8.35
Linear,core,48,9.06
Linear,socket,2,0.96
Linear,socket,4,1.24
Linear,socket,6,1.61
Linear,socket,8,1.92
Linear,socket,10,3.45
Linear,socket,12,2.66
Linear,socket,14,3.45
Linear,socket,16,3.47
Linear,socket,18,3.68
Linear,socket,20,4.03
Linear,socket,22,4.24
Linear,socket,24,4.74
Linear,socket,26,5.14
Linear,socket,28,5.57
Linear,socket,30,5.81
Linear,socket,32,6.06
Linear,socket,34,6.68
Linear,socket,36,7.09
Linear,socket,38,7.32
Linear,socket,40,7.82
Linear,socket,42,8.75
Linear,socket,44,8.88
Linear,socket,46,9.32
Linear,socket,48,9.51
Linear,node,2,2.04
Linear,node,4,2.63
Linear,node,6,2.61
Linear,node,8,2.99
Linear,node,10,3.06
Linear,node,12,3.40
Linear,node,14,3.39
Linear,node,16,4.21
Linear,node,18,3.96
Linear,node,20,4.35
Linear,node,22,4.43
Linear,node,24,4.82
Linear,node,26,4.97
Linear,node,28,5.24
Linear,node,30,5.70
Linear,node,32,6.04
Linear,node,34,7.50
Linear,node,36,8.05
Linear,node,38,8.46
Linear,node,40,8.90
Linear,node,42,9.52
Linear,node,44,9.85
Linear,node,46,10.61
Linear,node,48,11.51
