Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
binarytree,2,0.16,0.10,0.22
binarytree,3,0.28,0.13,0.41
binarytree,4,0.18,0.13,0.23
binarytree,5,0.33,0.20,0.38
binarytree,6,0.37,0.13,0.46
binarytree,7,0.49,0.20,0.65
binarytree,8,0.81,0.32,1.11
binarytree,9,1.13,0.13,1.48
binarytree,10,1.20,0.23,1.58
binarytree,11,1.28,0.35,1.84
binarytree,12,1.16,0.33,1.64
binarytree,13,1.14,0.33,1.78
binarytree,14,1.26,0.36,1.98
binarytree,15,1.33,0.36,2.01
binarytree,16,1.32,0.38,1.82
binarytree,17,1.78,0.27,2.30
binarytree,18,1.83,0.34,2.43
binarytree,19,1.89,0.39,2.51
binarytree,20,1.85,0.39,2.46
binarytree,21,1.92,0.40,2.58
binarytree,22,1.90,0.41,2.54
binarytree,23,1.98,0.40,2.78
binarytree,24,1.92,0.40,2.77
binarytree,25,2.05,0.41,2.94
binarytree,26,1.99,0.44,2.97
binarytree,27,1.93,0.40,2.96
binarytree,28,1.98,0.42,3.03
binarytree,29,1.87,0.40,2.87
binarytree,30,1.92,0.41,2.91
binarytree,31,1.96,0.40,2.73
binarytree,32,1.98,0.45,2.81
binarytree,33,2.56,0.38,3.29
binarytree,34,2.68,0.43,3.28
binarytree,35,2.56,0.42,3.20
binarytree,36,2.49,0.44,3.19
binarytree,37,2.52,0.41,3.29
binarytree,38,7.53,0.43,13.17
binarytree,39,2.61,0.42,3.45
binarytree,40,2.66,0.42,3.62
binarytree,41,2.62,0.44,3.51
binarytree,42,2.61,0.43,3.44
binarytree,43,2.59,0.42,3.69
binarytree,44,2.57,0.42,3.44
binarytree,45,2.70,0.42,3.70
binarytree,46,2.55,0.42,3.49
binarytree,47,2.70,0.42,3.89
binarytree,48,2.71,0.43,3.86
binarytree,49,2.71,0.45,4.16
binarytree,50,8.14,0.43,24.15
binarytree,51,2.52,0.42,3.87
binarytree,52,2.60,0.41,3.95
binarytree,53,2.68,0.52,4.14
binarytree,54,2.61,0.44,3.91
binarytree,55,2.66,0.41,4.30
binarytree,56,2.74,0.45,4.18
binarytree,57,2.62,0.46,4.09
binarytree,58,2.56,0.44,4.17
binarytree,59,2.85,0.48,4.27
binarytree,60,2.62,0.45,4.15
binarytree,61,2.77,0.42,4.10
binarytree,62,2.99,0.43,13.60
binarytree,63,2.84,0.42,12.61
binarytree,64,2.23,0.42,3.18
binarytree,65,1.99,0.20,3.13
binarytree,66,2.10,0.29,3.14
binarytree,67,2.04,0.40,3.18
binarytree,68,2.26,0.38,3.32
binarytree,69,2.24,0.39,3.48
binarytree,70,2.27,0.41,3.42
binarytree,71,2.43,0.39,3.59
binarytree,72,2.50,0.37,3.67
binarytree,73,2.38,0.40,3.62
binarytree,74,2.50,0.41,3.47
binarytree,75,2.49,0.41,3.65
binarytree,76,2.49,0.41,3.51
binarytree,77,2.58,0.41,3.83
binarytree,78,2.61,0.40,3.68
binarytree,79,2.88,0.42,3.97
binarytree,80,2.75,0.43,3.80
binarytree,81,2.69,0.45,3.91
binarytree,82,2.90,0.43,4.09
binarytree,83,2.75,0.41,3.78
binarytree,84,2.72,0.43,3.66
binarytree,85,2.92,0.42,4.00
binarytree,86,3.02,0.44,4.15
binarytree,87,2.77,0.41,3.82
binarytree,88,3.39,0.40,14.74
binarytree,89,3.07,0.42,4.12
binarytree,90,3.02,0.42,4.00
binarytree,91,3.08,0.40,4.02
binarytree,92,2.95,0.42,3.91
binarytree,93,3.15,0.42,4.14
binarytree,94,3.10,0.44,4.19
binarytree,95,3.06,0.43,3.99
binarytree,96,3.09,0.52,4.21
binarytree,97,3.17,0.51,4.19
binarytree,98,3.17,0.46,4.39
binarytree,99,3.22,0.48,4.40
binarytree,100,3.50,0.50,4.68
binarytree,101,3.58,0.47,5.00
binarytree,102,4.32,0.47,15.16
binarytree,103,3.22,0.45,4.44
binarytree,104,3.45,0.44,4.80
binarytree,105,3.52,0.47,4.67
binarytree,106,3.32,0.46,4.51
binarytree,107,3.49,0.48,4.87
binarytree,108,3.52,0.47,4.69
binarytree,109,3.54,0.49,4.63
binarytree,110,3.45,0.49,4.41
binarytree,111,3.74,0.49,4.85
binarytree,112,3.54,0.52,5.01
binarytree,113,3.57,0.55,4.59
binarytree,114,3.52,0.51,4.63
binarytree,115,3.67,0.53,4.85
binarytree,116,3.90,0.56,5.09
binarytree,117,3.65,0.51,4.70
binarytree,118,3.74,0.50,4.78
binarytree,119,3.98,0.50,4.93
binarytree,120,3.72,0.53,4.69
binarytree,121,3.76,0.50,4.69
binarytree,122,3.81,0.50,4.74
binarytree,123,3.86,0.48,5.05
binarytree,124,3.98,0.54,4.88
binarytree,125,4.12,0.52,5.05
binarytree,126,6.53,0.56,16.36
binarytree,127,3.71,0.64,4.68
binarytree,128,3.59,0.69,5.29
binarytree,129,2.51,0.31,4.17
binarytree,130,3.36,0.30,13.91
binarytree,131,2.49,0.47,3.83
binarytree,132,2.94,0.38,4.57
binarytree,133,3.02,0.43,4.73
binarytree,134,2.91,0.39,4.61
binarytree,135,2.94,0.43,5.68
binarytree,136,3.44,0.43,5.53
binarytree,137,3.54,0.42,5.87
binarytree,138,3.55,0.40,5.80
binarytree,139,3.48,0.42,5.97
binarytree,140,3.60,0.41,6.37
binarytree,141,3.76,0.40,6.60
binarytree,142,3.28,0.42,6.05
