Algorithm,Allocation,Processes,MessageSize,Latency
BinaryTree,core,2,1,0.15
BinaryTree,core,2,2,0.15
BinaryTree,core,2,4,0.15
BinaryTree,core,2,8,0.15
BinaryTree,core,2,16,0.15
BinaryTree,core,2,32,0.15
BinaryTree,core,2,64,0.15
BinaryTree,core,2,128,0.23
BinaryTree,core,2,256,0.22
BinaryTree,core,2,512,0.28
BinaryTree,core,2,1024,0.30
BinaryTree,core,2,2048,0.33
BinaryTree,core,2,4096,0.42
BinaryTree,core,2,8192,0.57
BinaryTree,core,2,16384,3.95
BinaryTree,core,2,32768,4.33
BinaryTree,core,2,65536,5.78
BinaryTree,core,2,131072,10.29
BinaryTree,core,2,262144,21.49
BinaryTree,core,2,524288,43.77
BinaryTree,core,2,1048576,84.77
BinaryTree,core,4,1,0.18
BinaryTree,core,4,2,0.18
BinaryTree,core,4,4,0.19
BinaryTree,core,4,8,0.18
BinaryTree,core,4,16,0.18
BinaryTree,core,4,32,0.19
BinaryTree,core,4,64,0.18
BinaryTree,core,4,128,0.30
BinaryTree,core,4,256,0.31
BinaryTree,core,4,512,0.34
BinaryTree,core,4,1024,0.38
BinaryTree,core,4,2048,0.50
BinaryTree,core,4,4096,0.70
BinaryTree,core,4,8192,1.10
BinaryTree,core,4,16384,6.15
BinaryTree,core,4,32768,7.49
BinaryTree,core,4,65536,10.29
BinaryTree,core,4,131072,16.53
BinaryTree,core,4,262144,33.21
BinaryTree,core,4,524288,69.83
BinaryTree,core,4,1048576,141.74
BinaryTree,core,8,1,0.91
BinaryTree,core,8,2,0.99
BinaryTree,core,8,4,0.98
BinaryTree,core,8,8,0.98
BinaryTree,core,8,16,0.91
BinaryTree,core,8,32,0.98
BinaryTree,core,8,64,0.94
BinaryTree,core,8,128,1.27
BinaryTree,core,8,256,1.29
BinaryTree,core,8,512,1.38
BinaryTree,core,8,1024,1.64
BinaryTree,core,8,2048,2.19
BinaryTree,core,8,4096,3.09
BinaryTree,core,8,8192,4.99
BinaryTree,core,8,16384,12.88
BinaryTree,core,8,32768,19.48
BinaryTree,core,8,65536,34.74
BinaryTree,core,8,131072,65.33
BinaryTree,core,8,262144,124.00
BinaryTree,core,8,524288,232.73
BinaryTree,core,8,1048576,445.30
BinaryTree,core,16,1,1.18
BinaryTree,core,16,2,1.17
BinaryTree,core,16,4,1.19
BinaryTree,core,16,8,1.17
BinaryTree,core,16,16,1.18
BinaryTree,core,16,32,1.43
BinaryTree,core,16,64,1.51
BinaryTree,core,16,128,2.37
BinaryTree,core,16,256,2.19
BinaryTree,core,16,512,2.42
BinaryTree,core,16,1024,2.60
BinaryTree,core,16,2048,3.48
BinaryTree,core,16,4096,5.32
BinaryTree,core,16,8192,9.50
BinaryTree,core,16,16384,20.66
BinaryTree,core,16,32768,34.55
BinaryTree,core,16,65536,63.12
BinaryTree,core,16,131072,120.21
BinaryTree,core,16,262144,231.69
BinaryTree,core,16,524288,447.54
BinaryTree,core,16,1048576,853.50
BinaryTree,core,32,1,1.90
BinaryTree,core,32,2,1.84
BinaryTree,core,32,4,1.83
BinaryTree,core,32,8,1.84
BinaryTree,core,32,16,1.84
BinaryTree,core,32,32,2.08
BinaryTree,core,32,64,2.02
BinaryTree,core,32,128,3.17
BinaryTree,core,32,256,3.20
BinaryTree,core,32,512,3.49
BinaryTree,core,32,1024,3.85
BinaryTree,core,32,2048,5.70
BinaryTree,core,32,4096,8.50
BinaryTree,core,32,8192,15.61
BinaryTree,core,32,16384,34.99
BinaryTree,core,32,32768,60.13
BinaryTree,core,32,65536,113.42
BinaryTree,core,32,131072,222.45
BinaryTree,core,32,262144,445.13
BinaryTree,core,32,524288,872.35
BinaryTree,core,32,1048576,1648.27
BinaryTree,core,64,1,2.20
BinaryTree,core,64,2,2.25
BinaryTree,core,64,4,2.25
BinaryTree,core,64,8,2.26
BinaryTree,core,64,16,2.27
BinaryTree,core,64,32,2.69
BinaryTree,core,64,64,2.68
BinaryTree,core,64,128,4.16
BinaryTree,core,64,256,4.19
BinaryTree,core,64,512,4.58
BinaryTree,core,64,1024,5.03
BinaryTree,core,64,2048,7.69
BinaryTree,core,64,4096,13.98
BinaryTree,core,64,8192,24.07
BinaryTree,core,64,16384,62.18
BinaryTree,core,64,32768,106.90
BinaryTree,core,64,65536,200.90
BinaryTree,core,64,131072,413.96
BinaryTree,core,64,262144,833.61
