Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
chain,2,0.15,0.09,0.21
chain,3,0.29,0.14,0.44
chain,4,0.15,0.15,0.16
chain,5,0.26,0.25,0.28
chain,6,0.33,0.27,0.45
chain,7,0.45,0.27,0.59
chain,8,0.77,0.41,1.10
chain,9,1.10,0.32,1.37
chain,10,1.08,0.30,1.51
chain,11,1.16,0.50,1.78
chain,12,1.10,0.45,1.69
chain,13,1.12,0.37,1.92
chain,14,1.26,0.62,2.13
chain,15,1.11,0.50,1.97
chain,16,1.20,0.54,1.88
chain,17,1.93,0.55,2.49
chain,18,1.94,0.60,2.64
chain,19,1.85,0.49,2.64
chain,20,2.05,0.57,3.21
chain,21,1.66,0.38,2.68
chain,22,1.91,0.60,3.05
chain,23,2.03,0.59,3.50
chain,24,1.96,0.60,3.21
chain,25,1.97,0.61,3.48
chain,26,1.94,0.62,3.17
chain,27,1.99,0.54,3.54
chain,28,2.10,0.59,4.03
chain,29,1.95,0.45,3.69
chain,30,1.99,0.56,3.75
chain,31,2.02,0.58,3.96
chain,32,2.08,0.59,3.51
chain,33,2.75,0.60,3.94
chain,34,3.04,0.75,4.40
chain,35,3.02,0.63,4.69
chain,36,3.02,0.64,4.81
chain,37,2.96,0.61,4.58
chain,38,3.12,0.62,4.83
chain,39,3.04,0.51,5.02
chain,40,3.26,0.67,5.27
chain,41,3.03,0.51,5.10
chain,42,2.84,0.50,4.93
chain,43,2.96,0.70,4.99
chain,44,3.15,0.71,4.93
chain,45,3.03,0.58,4.91
chain,46,3.25,0.70,5.29
chain,47,3.41,0.75,5.72
chain,48,3.25,0.62,5.67
chain,49,3.19,0.63,5.73
chain,50,3.16,0.53,5.71
chain,51,3.28,0.55,6.10
chain,52,3.44,0.72,6.19
chain,53,3.31,0.60,6.03
chain,54,3.30,0.57,5.86
chain,55,3.43,0.53,6.77
chain,56,6.14,0.54,16.59
chain,57,3.54,0.69,6.91
chain,58,3.72,0.75,7.19
chain,59,3.74,0.50,7.15
chain,60,3.67,0.62,7.15
chain,61,3.94,0.64,7.57
chain,62,3.64,0.52,7.31
chain,63,7.34,0.69,16.35
chain,64,3.52,0.55,7.04
chain,65,3.02,0.42,6.39
chain,66,3.23,0.63,6.67
chain,67,3.54,0.55,7.03
chain,68,3.88,0.81,7.49
chain,69,3.54,0.44,8.06
chain,70,3.89,0.76,7.97
chain,71,3.75,0.44,7.65
chain,72,4.17,0.64,8.36
chain,73,4.03,0.50,8.14
chain,74,4.21,0.43,8.44
chain,75,4.24,0.60,8.42
chain,76,11.67,0.86,28.58
chain,77,4.44,0.39,9.23
chain,78,4.76,0.69,9.29
chain,79,4.55,0.58,8.73
chain,80,4.84,0.62,9.17
chain,81,4.64,0.53,9.15
chain,82,5.22,0.64,10.31
chain,83,5.17,0.51,9.35
chain,84,5.81,0.69,20.14
chain,85,5.32,0.49,10.18
chain,86,5.57,0.59,10.46
chain,87,5.58,0.55,10.34
chain,88,6.30,0.54,11.85
chain,89,5.83,0.77,10.95
chain,90,6.02,0.80,11.66
chain,91,5.98,0.69,11.28
chain,92,6.42,0.85,12.44
chain,93,6.29,0.63,12.50
chain,94,6.26,0.78,11.74
chain,95,5.92,0.67,10.51
chain,96,6.28,0.71,11.66
chain,97,6.59,0.50,12.74
chain,98,7.46,1.02,21.92
chain,99,6.69,0.60,12.01
chain,100,8.98,0.82,14.58
chain,101,7.50,1.14,14.01
chain,102,13.55,0.67,22.42
chain,103,6.42,0.61,11.93
chain,104,6.84,1.05,12.61
chain,105,6.79,0.65,13.06
chain,106,6.94,0.94,13.73
chain,107,6.78,0.82,13.22
chain,108,6.97,0.83,13.02
chain,109,6.92,0.75,12.42
