Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
default,2,0.15,0.09,0.21
default,3,0.32,0.10,0.43
default,4,0.18,0.13,0.22
default,5,0.32,0.20,0.37
default,6,0.36,0.13,0.43
default,7,0.50,0.19,0.67
default,8,0.73,0.44,1.04
default,9,1.35,0.53,1.76
default,10,1.04,0.40,1.45
default,11,0.92,0.28,1.45
default,12,0.92,0.34,1.53
default,13,1.09,0.62,1.86
default,14,1.01,0.61,1.88
default,15,1.00,0.57,2.01
default,16,1.20,0.92,1.68
default,17,2.01,0.57,2.55
default,18,1.88,0.75,2.39
default,19,1.47,0.71,1.90
default,20,1.54,0.75,2.18
default,21,1.54,0.76,2.29
default,22,1.46,0.81,2.22
default,23,1.44,0.79,2.30
default,24,1.44,0.75,2.37
default,25,1.46,0.83,2.43
default,26,1.32,0.76,2.25
default,27,1.32,0.78,2.32
default,28,1.38,0.76,2.59
default,29,1.32,0.73,2.43
default,30,1.26,0.67,2.33
default,31,1.33,0.83,2.60
default,32,1.55,0.82,2.40
default,33,2.45,0.90,2.99
default,34,2.54,1.03,3.13
default,35,2.31,0.94,2.94
default,36,2.21,0.93,2.81
default,37,2.35,1.13,3.05
default,38,2.18,0.95,2.95
default,39,2.08,0.92,2.83
default,40,2.11,0.93,2.92
default,41,2.01,0.97,2.81
default,42,2.16,0.94,3.03
default,43,2.03,1.00,3.16
default,44,1.98,1.08,2.84
default,45,2.00,1.00,2.91
default,46,2.02,0.96,2.95
default,47,2.02,0.97,3.07
default,48,2.09,1.00,3.17
default,49,2.20,1.11,3.48
default,50,1.98,1.08,3.07
default,51,1.99,1.11,3.17
default,52,1.93,1.11,3.06
default,53,1.99,1.20,3.16
default,54,1.97,1.13,3.24
default,55,2.00,1.14,3.28
default,56,1.99,1.10,3.33
default,57,1.97,1.13,3.27
default,58,2.04,1.07,3.53
default,59,1.99,1.13,3.44
default,60,2.04,1.13,3.44
default,61,2.07,1.09,3.49
default,62,1.97,1.08,3.46
default,63,2.16,1.09,3.60
default,64,1.52,1.19,2.40
default,65,1.89,0.40,13.17
default,66,1.49,0.48,2.92
default,67,11.20,1.33,14.70
default,68,1.86,1.10,3.41
default,69,2.15,0.94,12.68
default,70,1.76,1.25,3.03
default,71,1.76,1.00,3.24
default,72,1.97,1.13,3.46
default,73,1.96,1.22,3.09
default,74,1.82,1.24,3.10
default,75,2.16,1.55,3.77
default,76,2.24,1.70,3.70
default,77,2.14,1.43,3.79
default,78,2.02,1.31,3.34
default,79,4.14,1.63,12.95
