Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,2,1,0.15
Default,core,2,2,0.15
Default,core,2,4,0.15
Default,core,2,8,0.15
Default,core,2,16,0.15
Default,core,2,32,0.16
Default,core,2,64,0.16
Default,core,2,128,0.21
Default,core,2,256,0.23
Default,core,2,512,0.26
Default,core,2,1024,0.28
Default,core,2,2048,0.30
Default,core,2,4096,0.37
Default,core,2,8192,0.53
Default,core,2,16384,3.86
Default,core,2,32768,4.33
Default,core,2,65536,5.84
Default,core,2,131072,9.62
Default,core,2,262144,19.69
Default,core,2,524288,41.81
Default,core,2,1048576,80.36
Default,core,4,1,0.18
Default,core,4,2,0.18
Default,core,4,4,0.18
Default,core,4,8,0.17
Default,core,4,16,0.17
Default,core,4,32,0.18
Default,core,4,64,0.18
Default,core,4,128,0.33
Default,core,4,256,0.34
Default,core,4,512,0.38
Default,core,4,1024,0.41
Default,core,4,2048,0.51
Default,core,4,4096,0.71
Default,core,4,8192,1.13
Default,core,4,16384,4.03
Default,core,4,32768,4.99
Default,core,4,65536,7.87
Default,core,4,131072,15.42
Default,core,4,262144,34.29
Default,core,4,524288,73.60
Default,core,4,1048576,234.07
Default,core,8,1,0.79
Default,core,8,2,0.82
Default,core,8,4,0.80
Default,core,8,8,0.85
Default,core,8,16,0.87
Default,core,8,32,0.96
Default,core,8,64,0.83
Default,core,8,128,1.35
Default,core,8,256,1.35
Default,core,8,512,1.47
Default,core,8,1024,1.49
Default,core,8,2048,1.94
Default,core,8,4096,3.02
Default,core,8,8192,4.89
Default,core,8,16384,12.56
Default,core,8,32768,11.87
Default,core,8,65536,24.49
Default,core,8,131072,50.52
Default,core,8,262144,111.19
Default,core,8,524288,233.01
Default,core,8,1048576,453.21
Default,core,16,1,1.19
Default,core,16,2,1.21
Default,core,16,4,1.19
Default,core,16,8,1.20
Default,core,16,16,1.20
Default,core,16,32,1.28
Default,core,16,64,1.28
Default,core,16,128,1.92
Default,core,16,256,1.94
Default,core,16,512,2.22
Default,core,16,1024,2.25
Default,core,16,2048,2.99
Default,core,16,4096,5.39
Default,core,16,8192,10.26
Default,core,16,16384,18.27
Default,core,16,32768,29.80
Default,core,16,65536,57.07
Default,core,16,131072,113.28
Default,core,16,262144,232.68
Default,core,16,524288,462.15
Default,core,16,1048576,1344.13
Default,core,32,1,1.67
Default,core,32,2,1.68
Default,core,32,4,1.70
Default,core,32,8,1.66
Default,core,32,16,1.69
Default,core,32,32,1.94
Default,core,32,64,1.79
Default,core,32,128,2.61
Default,core,32,256,2.66
Default,core,32,512,2.93
Default,core,32,1024,3.28
Default,core,32,2048,4.28
Default,core,32,4096,5.95
Default,core,32,8192,8.89
Default,core,32,16384,15.64
Default,core,32,32768,24.45
Default,core,32,65536,47.17
Default,core,32,131072,103.70
Default,core,32,262144,230.05
Default,core,32,524288,511.08
Default,core,32,1048576,838.32
Default,core,64,1,1.63
Default,core,64,2,1.60
Default,core,64,4,1.60
Default,core,64,8,1.58
Default,core,64,16,1.61
Default,core,64,32,1.97
Default,core,64,64,1.95
Default,core,64,128,2.93
Default,core,64,256,3.05
Default,core,64,512,3.45
Default,core,64,1024,3.87
Default,core,64,2048,5.36
Default,core,64,4096,6.90
Default,core,64,8192,11.08
Default,core,64,16384,21.40
Default,core,64,32768,32.65
Default,core,64,65536,65.28
Default,core,64,131072,132.72
Default,core,64,262144,254.38
Default,core,64,524288,529.45
Default,core,64,1048576,1058.82
Default,core,128,1,4.17
Default,core,128,2,3.79
Default,core,128,4,3.76
Default,core,128,8,3.71
Default,core,128,16,3.83
Default,core,128,32,4.18
Default,core,128,64,4.14
Default,core,128,128,6.09
Default,core,128,256,6.29
Default,core,128,512,6.45
Default,core,128,1024,6.72
Default,core,128,2048,10.13
Default,core,128,4096,19.18
Default,core,128,8192,35.59
Default,core,128,16384,126.42
Default,core,128,32768,168.90
Default,core,128,65536,103.74
Default,core,128,131072,217.49
Default,core,128,262144,479.35
Default,core,128,524288,1002.57
Default,core,128,1048576,1801.73
Default,core,256,1,1.01
Default,core,256,2,0.98
Default,core,256,4,0.98
Default,core,256,8,0.99
Default,core,256,16,0.98
Default,core,256,32,1.15
Default,core,256,64,1.14
Default,core,256,128,2.13
Default,core,256,256,2.80
Default,core,256,512,3.35
Default,core,256,1024,4.31
Default,core,256,2048,5.90
Default,core,256,4096,9.26
Default,core,256,8192,16.00
Default,core,256,16384,122.37
Default,core,256,32768,45.90
Default,core,256,65536,88.62
Default,core,256,131072,190.88
Default,core,256,262144,410.70
Default,core,256,524288,842.10
Default,core,256,1048576,1497.48
Default,socket,2,1,0.59
Default,socket,2,2,0.59
Default,socket,2,4,0.59
Default,socket,2,8,0.58
