Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
linear,2,0.13,0.08,0.18
linear,3,0.25,0.12,0.37
linear,4,0.13,0.13,0.14
linear,5,0.25,0.23,0.26
linear,6,0.29,0.26,0.31
linear,7,0.42,0.40,0.44
linear,8,0.96,0.28,1.46
linear,9,1.04,0.63,1.22
linear,10,1.00,0.23,1.27
linear,11,1.10,0.29,1.57
linear,12,1.23,0.27,1.74
linear,13,1.26,0.23,1.97
linear,14,1.42,0.28,2.29
linear,15,1.45,0.24,2.35
linear,16,1.65,0.30,2.68
linear,17,2.07,1.23,2.69
linear,18,1.97,0.41,2.63
linear,19,1.96,0.32,2.78
linear,20,1.97,0.42,2.74
linear,21,2.10,0.31,2.96
linear,22,2.18,0.35,3.16
linear,23,2.24,0.34,3.31
linear,24,2.39,0.41,3.67
linear,25,2.50,0.49,3.63
linear,26,2.40,0.42,3.94
linear,27,2.50,0.39,4.15
linear,28,2.68,0.46,4.61
linear,29,2.67,0.42,4.54
linear,30,2.77,0.40,4.84
linear,31,3.08,0.32,5.47
linear,32,3.16,0.41,5.43
linear,33,3.78,1.40,5.64
linear,34,3.70,0.42,5.52
linear,35,3.62,0.36,5.57
linear,36,3.69,0.40,5.51
linear,37,3.71,0.50,5.46
linear,38,3.72,0.37,5.73
linear,39,3.71,0.38,5.80
linear,40,3.91,0.43,6.37
linear,41,4.17,0.37,6.58
linear,42,4.15,0.41,6.90
linear,43,4.21,0.45,6.87
linear,44,4.49,0.57,7.62
linear,45,4.36,0.34,7.32
linear,46,4.47,0.38,7.65
linear,47,4.67,0.41,7.97
linear,48,4.85,0.56,8.29
linear,49,4.83,0.45,8.03
linear,50,5.13,0.47,8.88
linear,51,5.09,0.37,9.14
linear,52,5.11,0.42,9.28
linear,53,5.32,0.31,10.27
linear,54,5.31,0.37,9.89
linear,55,5.79,0.36,10.65
linear,56,6.13,0.49,11.38
linear,57,5.82,0.49,10.55
linear,58,5.50,0.38,10.25
linear,59,5.60,0.22,10.51
linear,60,5.79,0.44,10.74
linear,61,5.87,0.37,10.92
linear,62,6.27,0.39,11.64
linear,63,6.13,0.31,11.45
linear,64,5.01,0.48,11.01
linear,65,5.17,0.24,11.32
linear,66,5.76,0.28,12.45
linear,67,5.75,0.24,12.81
linear,68,5.95,0.27,12.80
linear,69,6.03,0.32,13.22
linear,70,6.85,0.52,14.36
linear,71,6.17,0.26,13.56
linear,72,6.52,0.37,14.24
linear,73,6.69,0.28,14.60
linear,74,6.99,0.26,15.03
linear,75,7.14,0.20,15.39
linear,76,7.33,0.38,15.67
linear,77,7.51,0.41,15.67
linear,78,7.77,0.48,16.43
linear,79,7.34,0.39,16.15
linear,80,8.06,0.45,17.18
linear,81,8.07,0.50,17.54
linear,82,8.87,0.36,18.53
linear,83,8.54,0.35,18.11
linear,84,8.67,0.40,18.46
linear,85,9.38,0.38,19.51
linear,86,9.63,0.68,19.72
linear,87,9.11,0.45,19.15
linear,88,9.79,0.67,20.06
linear,89,9.66,0.55,20.37
linear,90,9.87,0.47,20.67
linear,91,9.89,0.18,20.99
linear,92,10.40,0.71,21.45
linear,93,10.22,0.34,21.70
linear,94,11.00,0.73,22.88
linear,95,10.67,0.50,23.46
linear,96,10.20,0.43,22.12
linear,97,10.56,0.25,23.17
linear,98,11.20,0.58,23.84
linear,99,11.75,0.18,24.89
linear,100,11.51,0.52,24.15
linear,101,11.07,0.33,23.67
linear,102,11.53,0.84,24.39
linear,103,11.53,0.24,24.84
linear,104,11.96,0.44,25.89
linear,105,11.86,0.37,25.29
linear,106,11.72,0.36,25.01
linear,107,12.23,0.20,26.47
linear,108,12.29,0.52,25.89
linear,109,12.48,0.42,26.33
linear,110,12.54,0.44,26.73
linear,111,12.68,0.37,27.29
linear,112,12.67,0.46,26.81
linear,113,12.90,0.24,27.84
linear,114,13.86,0.59,29.07
linear,115,13.11,0.28,28.64
linear,116,13.36,0.69,28.31
linear,117,13.39,0.39,28.31
linear,118,14.02,0.77,29.12
linear,119,13.61,0.48,29.97
linear,120,12.97,0.44,28.49
linear,121,13.66,0.39,29.12
linear,122,13.80,0.53,29.53
linear,123,14.30,0.49,30.14
linear,124,14.64,0.54,30.57
linear,125,13.80,0.25,29.88
linear,126,14.48,1.55,30.64
linear,127,13.63,1.44,30.75
linear,128,12.92,0.54,30.58
linear,129,13.83,0.33,32.77
linear,130,14.27,0.29,33.26
linear,131,14.24,0.26,33.33
linear,132,15.39,0.46,34.88
linear,133,15.02,0.45,35.01
linear,134,16.03,0.55,36.84
linear,135,15.10,0.87,34.84
linear,136,15.70,0.50,36.51
linear,137,16.02,0.57,38.14
linear,138,16.92,0.84,39.61
linear,139,16.02,0.48,38.23
linear,140,17.29,0.54,40.72
linear,141,16.89,0.49,40.28
linear,142,18.14,1.08,41.92
linear,143,17.69,0.71,41.30
linear,144,17.88,0.53,42.06
linear,145,17.87,0.42,43.03
linear,146,18.01,0.67,43.05
linear,147,17.54,0.46,42.67
linear,148,19.16,0.44,45.67
linear,149,18.49,0.58,44.50
linear,150,19.28,0.95,46.03
linear,151,18.46,0.54,44.65
linear,152,20.37,0.57,48.09
linear,153,19.45,0.58,46.17
linear,154,20.78,0.59,48.21
linear,155,19.64,0.60,47.65
linear,156,21.24,0.73,50.56
linear,157,20.56,0.54,49.27
linear,158,22.02,1.07,51.54
linear,159,20.96,0.52,50.00
linear,160,21.37,0.88,49.99
linear,161,21.61,0.45,52.02
linear,162,21.71,0.58,51.51
linear,163,21.69,0.61,51.72
linear,164,22.68,0.66,53.77
linear,165,22.00,0.53,52.96
linear,166,22.84,0.88,54.11
linear,167,22.95,0.56,55.04
linear,168,22.98,0.77,54.88
linear,169,23.26,0.51,55.94
linear,170,23.46,0.68,55.99
linear,171,23.43,0.55,56.71
linear,172,24.54,0.78,57.91
linear,173,24.35,0.64,58.01
linear,174,24.85,0.89,58.84
linear,175,24.85,0.48,60.60
linear,176,25.19,0.83,60.20
linear,177,25.36,0.56,60.79
linear,178,25.70,0.75,61.29
linear,179,25.60,0.59,61.85
linear,180,25.75,0.80,61.99
linear,181,27.21,0.62,65.22
linear,182,26.88,0.81,64.23
linear,183,26.86,0.47,65.05
linear,184,27.67,0.71,65.67
linear,185,26.99,0.59,65.41
linear,186,28.10,0.63,67.12
linear,187,27.60,0.43,67.22
linear,188,28.57,0.64,68.01
linear,189,29.23,0.63,70.12
linear,190,29.63,1.23,70.09
linear,191,28.73,0.64,69.70
linear,192,28.86,0.71,70.22
linear,193,28.66,0.49,70.19
linear,194,30.13,0.57,72.68
linear,195,29.77,0.47,72.31
linear,196,29.98,0.47,72.60
linear,197,30.91,1.08,73.51
linear,198,31.33,0.97,75.23
linear,199,30.98,0.76,74.95
linear,200,31.29,0.41,75.89
linear,201,31.17,0.52,75.12
linear,202,31.55,0.58,75.76
linear,203,31.13,0.30,76.01
linear,204,31.68,0.45,75.99
linear,205,31.70,0.42,76.64
linear,206,32.58,1.00,77.36
linear,207,31.92,0.45,77.18
linear,208,32.67,0.51,78.29
linear,209,33.88,0.52,80.97
linear,210,32.99,0.67,79.25
linear,211,32.73,0.47,79.92
linear,212,34.49,1.06,81.11
linear,213,33.90,1.13,80.89
linear,214,34.43,0.83,82.41
linear,215,33.67,0.63,82.13
linear,216,34.18,0.40,82.68
linear,217,34.04,0.43,83.03
linear,218,35.20,0.75,83.78
linear,219,34.07,0.39,83.73
linear,220,35.25,0.41,84.82
linear,221,34.77,0.41,84.91
linear,222,35.92,1.19,86.07
linear,223,35.79,1.25,86.14
linear,224,35.42,0.36,86.87
linear,225,36.48,0.42,89.39
linear,226,37.44,0.64,90.44
linear,227,36.50,0.46,89.93
linear,228,36.57,0.88,88.81
linear,229,36.15,0.57,88.89
linear,230,38.55,1.29,92.15
linear,231,37.73,0.42,92.62
linear,232,38.12,0.35,92.87
linear,233,37.45,0.48,92.28
linear,234,37.38,0.66,91.54
linear,235,37.90,0.44,93.54
linear,236,37.76,0.45,92.43
linear,237,39.67,0.94,95.50
linear,238,38.12,1.11,92.80
linear,239,38.06,0.63,93.85
linear,240,38.20,0.39,94.01
linear,241,38.01,0.47,94.61
linear,242,38.74,0.67,95.28
linear,243,39.35,0.78,97.24
linear,244,39.22,0.52,96.82
linear,245,39.83,0.55,97.85
linear,246,38.38,1.12,95.44
linear,247,39.81,0.81,98.62
linear,248,38.16,0.47,96.04
linear,249,37.98,0.67,96.58
linear,250,40.55,0.83,100.08
linear,251,38.10,0.57,97.24
linear,252,38.84,0.45,98.11
linear,253,38.68,0.72,98.28
linear,254,39.55,2.60,99.37
linear,255,37.55,0.74,99.32
linear,256,38.55,0.14,95.36
