Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,2,1,0.13
Linear,core,2,2,0.13
Linear,core,2,4,0.13
Linear,core,2,8,0.13
Linear,core,2,16,0.14
Linear,core,2,32,0.13
Linear,core,2,64,0.14
Linear,core,2,128,0.21
Linear,core,2,256,0.22
Linear,core,2,512,0.25
Linear,core,2,1024,0.27
Linear,core,2,2048,0.31
Linear,core,2,4096,0.39
Linear,core,2,8192,0.57
Linear,core,2,16384,3.99
Linear,core,2,32768,4.32
Linear,core,2,65536,5.80
Linear,core,2,131072,10.08
Linear,core,2,262144,21.21
Linear,core,2,524288,48.96
Linear,core,2,1048576,111.79
Linear,core,4,1,0.14
Linear,core,4,2,0.14
Linear,core,4,4,0.13
Linear,core,4,8,0.14
Linear,core,4,16,0.14
Linear,core,4,32,0.14
Linear,core,4,64,0.14
Linear,core,4,128,0.25
Linear,core,4,256,0.26
Linear,core,4,512,0.31
Linear,core,4,1024,0.34
Linear,core,4,2048,0.47
Linear,core,4,4096,0.68
Linear,core,4,8192,1.09
Linear,core,4,16384,4.08
Linear,core,4,32768,4.99
Linear,core,4,65536,7.92
Linear,core,4,131072,15.56
Linear,core,4,262144,34.01
Linear,core,4,524288,75.98
Linear,core,4,1048576,156.45
Linear,core,8,1,0.89
Linear,core,8,2,0.97
Linear,core,8,4,0.97
Linear,core,8,8,0.96
Linear,core,8,16,0.96
Linear,core,8,32,1.00
Linear,core,8,64,1.00
Linear,core,8,128,1.62
Linear,core,8,256,2.18
Linear,core,8,512,1.77
Linear,core,8,1024,1.91
Linear,core,8,2048,2.53
Linear,core,8,4096,3.54
Linear,core,8,8192,4.92
Linear,core,8,16384,5.72
Linear,core,8,32768,11.58
Linear,core,8,65536,24.40
Linear,core,8,131072,49.83
Linear,core,8,262144,111.11
Linear,core,8,524288,246.76
Linear,core,8,1048576,482.14
Linear,core,16,1,1.62
Linear,core,16,2,1.92
Linear,core,16,4,1.64
Linear,core,16,8,1.64
Linear,core,16,16,1.65
Linear,core,16,32,1.85
Linear,core,16,64,1.89
Linear,core,16,128,3.06
Linear,core,16,256,3.27
Linear,core,16,512,3.39
Linear,core,16,1024,4.00
Linear,core,16,2048,5.63
Linear,core,16,4096,7.79
Linear,core,16,8192,11.04
Linear,core,16,16384,9.76
Linear,core,16,32768,24.20
Linear,core,16,65536,52.02
Linear,core,16,131072,108.14
Linear,core,16,262144,231.07
Linear,core,16,524288,463.40
Linear,core,16,1048576,849.47
Linear,core,32,1,3.43
Linear,core,32,2,3.36
Linear,core,32,4,3.18
Linear,core,32,8,3.27
Linear,core,32,16,3.25
Linear,core,32,32,3.48
Linear,core,32,64,3.43
Linear,core,32,128,6.98
Linear,core,32,256,7.15
Linear,core,32,512,7.66
Linear,core,32,1024,8.68
Linear,core,32,2048,12.54
Linear,core,32,4096,17.01
Linear,core,32,8192,23.96
Linear,core,32,16384,22.47
Linear,core,32,32768,49.98
Linear,core,32,65536,110.88
Linear,core,32,131072,234.52
Linear,core,32,262144,473.13
Linear,core,32,524288,949.76
Linear,core,32,1048576,1740.39
Linear,core,64,1,5.51
Linear,core,64,2,5.50
