Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
standard,2,0.16,0.09,0.22
standard,3,0.33,0.10,0.45
standard,4,0.17,0.12,0.22
standard,5,0.37,0.24,0.46
standard,6,0.34,0.13,0.42
standard,7,0.56,0.22,0.76
standard,8,0.74,0.43,1.06
standard,9,1.30,0.52,1.64
standard,10,1.05,0.35,1.50
standard,11,0.98,0.20,1.54
standard,12,1.27,0.69,1.97
standard,13,1.05,0.55,1.86
standard,14,1.01,0.60,1.70
standard,15,1.15,0.79,2.29
standard,16,1.07,0.69,1.42
standard,17,2.08,0.69,2.58
standard,18,1.81,0.76,2.19
standard,19,1.39,0.52,1.93
standard,20,1.57,0.68,2.15
standard,21,1.61,0.74,2.23
standard,22,1.57,0.75,2.28
standard,23,1.52,0.74,2.33
standard,24,1.47,0.70,2.40
standard,25,1.49,0.84,2.53
standard,26,1.37,0.81,2.37
standard,27,1.32,0.70,2.30
standard,28,1.51,0.80,2.58
standard,29,1.28,0.70,2.27
standard,30,1.80,1.23,3.09
standard,31,1.38,0.53,2.57
standard,32,1.64,0.85,2.42
standard,33,2.66,0.94,3.30
standard,34,2.43,0.95,2.82
standard,35,2.28,0.96,2.96
standard,36,2.21,0.96,2.75
standard,37,2.29,0.98,3.02
standard,38,2.08,0.90,2.82
standard,39,2.23,0.97,3.02
standard,40,2.07,0.92,2.85
standard,41,2.14,1.02,3.01
standard,42,2.15,1.09,3.00
standard,43,2.02,0.98,2.98
standard,44,2.03,1.00,2.99
standard,45,2.08,0.97,3.10
standard,46,2.34,0.98,13.47
standard,47,2.05,0.96,3.04
standard,48,2.38,1.04,13.94
standard,49,2.08,1.06,3.37
standard,50,2.00,1.11,3.26
standard,51,2.00,1.15,3.17
standard,52,2.13,1.08,3.46
standard,53,1.95,1.10,3.47
standard,54,2.01,1.14,3.27
standard,55,2.15,1.26,3.60
standard,56,2.13,1.24,3.47
standard,57,1.97,1.11,3.37
standard,58,2.26,1.09,3.87
standard,59,2.26,1.10,3.78
standard,60,2.34,1.31,3.89
standard,61,2.00,1.03,3.47
standard,62,2.12,0.98,3.68
standard,63,1.97,1.12,3.40
standard,64,1.70,1.16,2.52
standard,65,5.47,0.47,11.22
standard,66,1.73,0.84,2.71
standard,67,2.20,1.19,4.25
standard,68,2.06,0.85,3.90
standard,69,1.67,0.85,3.37
standard,70,2.25,1.45,3.34
standard,71,1.94,1.22,3.39
standard,72,2.09,1.30,3.58
standard,73,2.08,1.31,3.28
standard,74,1.97,1.05,3.46
standard,75,2.18,1.47,3.26
standard,76,2.34,1.50,3.96
standard,77,2.18,1.11,3.48
standard,78,2.53,1.51,4.19
standard,79,2.58,1.66,4.70
standard,80,2.50,1.13,3.97
standard,81,2.33,1.27,3.81
standard,82,2.34,0.84,3.56
standard,83,2.97,1.78,4.13
standard,84,3.45,2.15,5.09
standard,85,2.73,1.73,3.80
standard,86,2.53,1.46,3.70
standard,87,3.01,1.87,4.31
standard,88,2.61,1.70,3.84
standard,89,2.91,1.59,4.10
standard,90,2.70,1.59,3.78
standard,91,2.57,0.99,4.03
standard,92,3.57,2.21,6.74
standard,93,2.78,1.61,3.83
standard,94,2.71,1.27,3.88
standard,95,2.76,2.03,3.50
standard,96,2.18,1.24,3.48
standard,97,2.11,0.81,3.43
standard,98,2.85,1.68,4.79
standard,99,2.22,1.19,3.35
standard,100,2.52,1.49,3.78
standard,101,3.02,1.75,4.49
standard,102,2.81,1.89,3.97
standard,103,2.52,1.63,4.20
standard,104,2.56,1.48,3.67
standard,105,2.53,1.37,3.97
