Algorithm,Allocation,Processes,MessageSize,Latency
Chain,core,2,1,0.21
Chain,core,2,2,0.21
Chain,core,2,4,0.21
Chain,core,2,8,0.21
Chain,core,2,16,0.23
Chain,core,2,32,0.25
Chain,core,2,64,0.27
Chain,core,2,128,0.32
Chain,core,2,256,0.34
Chain,core,2,512,0.38
Chain,core,2,1024,0.43
Chain,core,2,2048,0.59
Chain,core,2,4096,0.87
Chain,core,2,8192,1.37
Chain,core,2,16384,3.10
Chain,core,2,32768,5.27
Chain,core,2,65536,6.73
Chain,core,2,131072,9.85
Chain,core,2,262144,16.44
Chain,core,2,524288,29.83
Chain,core,2,1048576,62.28
Chain,core,4,1,0.22
Chain,core,4,2,0.22
Chain,core,4,4,0.22
Chain,core,4,8,0.22
Chain,core,4,16,0.22
Chain,core,4,32,0.28
Chain,core,4,64,0.28
Chain,core,4,128,0.43
Chain,core,4,256,0.47
Chain,core,4,512,0.55
Chain,core,4,1024,0.75
Chain,core,4,2048,1.06
Chain,core,4,4096,1.72
Chain,core,4,8192,2.63
Chain,core,4,16384,5.55
Chain,core,4,32768,8.83
Chain,core,4,65536,14.84
Chain,core,4,131072,26.68
Chain,core,4,262144,53.62
Chain,core,4,524288,91.81
Chain,core,4,1048576,192.96
Chain,core,6,1,0.34
Chain,core,6,2,0.46
Chain,core,6,4,0.40
Chain,core,6,8,0.36
Chain,core,6,16,0.35
Chain,core,6,32,0.42
Chain,core,6,64,0.43
Chain,core,6,128,0.65
Chain,core,6,256,0.70
Chain,core,6,512,0.74
Chain,core,6,1024,1.05
Chain,core,6,2048,1.44
Chain,core,6,4096,2.25
Chain,core,6,8192,3.44
Chain,core,6,16384,7.68
Chain,core,6,32768,12.72
Chain,core,6,65536,22.35
Chain,core,6,131072,42.10
Chain,core,6,262144,83.38
Chain,core,6,524288,167.39
Chain,core,6,1048576,311.97
Chain,core,8,1,0.55
Chain,core,8,2,0.58
Chain,core,8,4,0.56
Chain,core,8,8,0.56
Chain,core,8,16,0.56
Chain,core,8,32,0.67
Chain,core,8,64,0.66
Chain,core,8,128,1.08
Chain,core,8,256,1.11
Chain,core,8,512,1.18
Chain,core,8,1024,1.46
Chain,core,8,2048,1.93
Chain,core,8,4096,2.83
Chain,core,8,8192,4.30
Chain,core,8,16384,10.55
Chain,core,8,32768,16.09
Chain,core,8,65536,28.39
Chain,core,8,131072,51.74
Chain,core,8,262144,98.91
Chain,core,8,524288,193.07
Chain,core,8,1048576,350.71
Chain,core,10,1,1.54
Chain,core,10,2,1.08
Chain,core,10,4,0.95
Chain,core,10,8,0.91
Chain,core,10,16,0.94
Chain,core,10,32,1.02
Chain,core,10,64,1.03
