Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
chain,2,0.15,0.09,0.21
chain,3,0.28,0.13,0.41
chain,4,0.15,0.15,0.16
chain,5,0.26,0.25,0.28
chain,6,0.32,0.26,0.44
chain,7,0.45,0.25,0.59
chain,8,0.77,0.40,1.11
chain,9,1.24,0.37,1.50
chain,10,1.08,0.34,1.53
chain,11,1.24,0.45,1.90
chain,12,1.13,0.46,1.79
chain,13,1.10,0.36,1.89
chain,14,1.16,0.48,2.02
chain,15,1.12,0.51,2.03
chain,16,1.20,0.48,1.91
chain,17,1.84,0.56,2.50
chain,18,1.83,0.46,2.54
chain,19,1.83,0.46,2.63
chain,20,1.86,0.45,2.81
chain,21,1.72,0.37,2.68
chain,22,1.85,0.60,3.00
chain,23,1.96,0.50,3.37
chain,24,1.88,0.54,3.23
chain,25,1.86,0.44,3.51
chain,26,1.90,0.60,3.13
chain,27,1.89,0.48,3.42
chain,28,2.00,0.61,3.68
chain,29,1.99,0.46,3.60
chain,30,1.96,0.50,3.70
chain,31,1.99,0.63,3.67
chain,32,1.92,0.56,3.21
chain,33,3.21,0.59,4.95
chain,34,3.25,0.59,4.95
chain,35,2.82,0.55,4.31
chain,36,3.51,0.71,5.48
chain,37,2.96,0.54,4.47
chain,38,3.37,0.66,5.33
chain,39,3.04,0.56,5.03
chain,40,3.22,0.66,5.11
chain,41,3.03,0.54,4.94
chain,42,3.31,0.66,5.74
chain,43,2.97,0.69,4.95
chain,44,3.03,0.63,4.88
chain,45,3.10,0.58,5.11
chain,46,3.49,0.73,5.70
chain,47,3.43,0.67,5.98
chain,48,3.49,0.62,6.06
chain,49,3.24,0.62,5.83
chain,50,3.73,0.69,6.69
chain,51,3.25,0.53,6.05
chain,52,3.38,0.64,5.95
chain,53,3.42,0.54,6.20
chain,54,3.66,0.72,6.76
chain,55,3.50,0.58,6.91
chain,56,3.64,0.64,7.10
chain,57,3.47,0.53,6.86
chain,58,3.61,0.63,6.67
chain,59,3.70,0.50,7.23
chain,60,3.80,0.67,7.37
chain,61,3.91,0.72,7.45
chain,62,3.84,0.64,7.51
chain,63,3.82,0.67,7.37
chain,64,3.40,0.62,6.49
chain,65,2.88,0.43,6.03
chain,66,3.22,0.64,6.69
chain,67,3.38,0.48,7.18
chain,68,3.97,0.67,7.57
chain,69,3.55,0.48,7.52
chain,70,3.91,0.73,7.87
chain,71,3.81,0.54,8.08
chain,72,4.19,0.67,8.48
chain,73,4.01,0.50,8.54
chain,74,4.43,0.61,8.83
chain,75,4.08,0.44,8.12
chain,76,4.53,0.73,8.83
chain,77,4.36,0.45,8.85
chain,78,4.62,0.76,9.08
chain,79,4.39,0.65,8.61
chain,80,4.72,0.73,8.86
chain,81,4.74,0.58,9.25
chain,82,5.89,0.87,10.62
chain,83,5.39,0.55,9.72
chain,84,5.49,0.73,10.03
chain,85,5.37,0.69,10.17
chain,86,5.58,0.68,10.11
chain,87,5.41,0.58,9.98
chain,88,5.80,0.58,10.90
chain,89,5.61,0.65,10.93
chain,90,5.73,0.84,11.03
chain,91,5.67,0.62,10.80
chain,92,6.02,0.73,11.35
chain,93,6.47,0.75,12.03
chain,94,5.91,0.85,10.65
chain,95,5.89,0.73,10.62
chain,96,5.95,0.52,11.39
chain,97,6.05,0.58,11.31
chain,98,6.26,0.78,11.69
chain,99,7.16,0.70,12.95
chain,100,6.99,0.77,12.78
chain,101,6.97,1.13,12.61
chain,102,6.32,0.73,11.60
chain,103,6.62,0.57,12.23
chain,104,7.80,0.92,14.24
chain,105,6.76,0.66,12.50
chain,106,6.70,0.72,12.20
chain,107,7.14,0.54,12.55
chain,108,7.60,0.98,13.29
chain,109,8.39,0.89,14.88
chain,110,6.96,0.99,12.82
