Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
default,2,0.15,0.10,0.21
default,3,0.34,0.11,0.46
default,4,0.18,0.13,0.24
default,5,0.30,0.19,0.36
default,6,0.38,0.14,0.46
default,7,0.50,0.21,0.68
default,8,0.73,0.44,1.05
default,9,1.38,0.51,1.83
default,10,1.07,0.39,1.49
default,11,1.00,0.31,1.58
default,12,0.96,0.37,1.58
default,13,1.10,0.60,1.93
default,14,1.03,0.62,1.92
default,15,1.02,0.66,2.02
default,16,1.21,0.90,1.71
default,17,2.01,0.58,2.55
default,18,1.83,0.74,2.32
default,19,1.64,0.74,2.15
default,20,1.48,0.68,2.04
default,21,1.52,0.81,2.18
default,22,1.45,0.77,2.21
default,23,1.41,0.70,2.25
default,24,1.40,0.70,2.25
default,25,1.44,0.84,2.43
default,26,1.36,0.79,2.32
default,27,1.33,0.78,2.37
default,28,1.35,0.76,2.48
default,29,1.35,0.77,2.37
default,30,1.35,0.73,2.54
default,31,1.34,0.79,2.61
default,32,1.86,0.86,2.77
default,33,2.54,0.91,3.17
default,34,2.48,0.92,3.18
default,35,2.32,0.95,2.93
default,36,2.18,0.91,2.69
default,37,2.27,0.98,3.01
default,38,2.38,0.93,3.30
default,39,2.15,0.93,3.06
default,40,2.15,0.93,2.93
default,41,2.16,0.99,3.05
default,42,2.20,1.02,3.13
default,43,2.13,1.10,3.12
default,44,2.01,0.98,2.95
default,45,2.04,1.00,3.03
default,46,2.01,0.98,2.94
default,47,2.05,0.98,3.07
default,48,2.09,1.02,3.21
default,49,2.09,1.12,3.26
default,50,2.08,1.13,3.23
default,51,2.04,1.12,3.29
default,52,2.07,1.09,3.42
default,53,2.09,1.16,3.56
default,54,2.02,1.14,3.30
default,55,2.06,1.10,3.40
default,56,2.12,1.16,3.48
default,57,2.32,1.13,3.88
default,58,2.19,1.12,3.69
default,59,2.02,1.10,3.44
default,60,2.13,1.11,3.67
default,61,2.02,1.10,3.40
default,62,2.04,1.12,3.43
default,63,2.30,1.13,4.01
default,64,1.63,1.26,2.57
default,65,1.41,0.34,2.83
default,66,1.83,0.58,3.76
default,67,1.51,0.69,3.60
default,68,1.95,1.13,3.60
default,69,1.75,1.05,3.28
default,70,2.01,1.38,3.44
default,71,1.87,1.21,3.79
default,72,2.15,1.32,3.52
default,73,1.92,1.16,3.09
default,74,2.01,1.39,3.26
default,75,2.09,1.38,3.52
default,76,2.31,1.70,3.88
default,77,2.12,1.34,3.54
default,78,2.08,1.37,3.29
default,79,2.16,1.53,3.98
default,80,1.97,1.13,3.16
default,81,2.14,1.11,3.37
default,82,2.19,1.22,3.34
default,83,2.44,1.54,3.65
default,84,2.60,1.53,4.29
default,85,2.46,1.52,3.56
default,86,2.60,1.55,3.62
default,87,2.69,1.77,3.84
default,88,2.85,1.68,4.34
default,89,2.53,1.54,3.45
default,90,2.75,1.82,3.82
default,91,2.90,1.91,3.90
default,92,3.10,1.92,4.26
default,93,2.75,1.74,3.59
default,94,2.88,2.04,3.55
default,95,2.79,2.16,3.57
default,96,2.47,1.62,3.86
default,97,2.49,1.40,3.83
default,98,2.60,1.78,3.85
default,99,2.39,1.60,3.61
default,100,2.38,1.69,3.57
default,101,2.61,1.67,3.95
default,102,2.64,1.91,4.06
default,103,2.05,1.11,3.21
default,104,2.82,1.96,3.99
default,105,2.59,1.51,3.86
default,106,2.44,1.71,3.44
default,107,2.40,1.52,3.49
default,108,2.65,1.76,3.75
default,109,2.67,1.56,3.74
default,110,2.92,2.12,4.04
default,111,2.48,1.55,3.46
default,112,2.82,1.86,3.85
default,113,2.99,2.02,4.12
default,114,2.91,2.11,4.16
default,115,2.41,1.51,3.75
default,116,2.71,1.77,3.96
default,117,2.77,1.57,3.93
default,118,3.25,2.28,4.41
default,119,2.55,1.52,3.83
default,120,3.12,1.95,4.36
default,121,2.86,1.51,3.95
default,122,3.41,2.19,4.54
default,123,2.79,1.59,3.66
default,124,3.25,2.05,4.31
default,125,3.32,2.26,4.17
default,126,3.43,2.58,4.38
default,127,2.38,1.56,3.31
default,128,2.80,1.79,4.45
default,129,1.82,1.26,3.21
default,130,2.01,1.17,3.51
default,131,1.92,1.38,3.14
default,132,2.15,1.43,3.60
default,133,2.23,1.46,3.40
default,134,2.20,1.48,3.22
