Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
BinaryTree,2,0.21,0.11,0.30
BinaryTree,3,0.45,0.21,0.72
BinaryTree,4,0.31,0.17,0.40
BinaryTree,5,0.42,0.18,0.51
BinaryTree,6,0.51,0.19,0.65
BinaryTree,7,0.56,0.18,0.73
BinaryTree,8,0.67,0.26,0.94
BinaryTree,9,0.90,0.23,1.29
BinaryTree,10,0.89,0.25,1.29
BinaryTree,11,0.92,0.26,1.31
BinaryTree,12,0.93,0.28,1.33
BinaryTree,13,0.91,0.29,1.63
BinaryTree,14,0.96,0.26,1.66
BinaryTree,15,0.96,0.27,1.57
BinaryTree,16,1.22,0.27,1.73
BinaryTree,17,2.14,0.27,2.60
BinaryTree,18,2.18,0.39,2.68
BinaryTree,19,2.17,0.47,2.78
BinaryTree,20,2.64,0.60,3.35
BinaryTree,21,2.06,0.50,2.84
BinaryTree,22,2.14,0.44,3.08
BinaryTree,23,2.57,0.56,3.60
BinaryTree,24,2.12,0.45,3.12
BinaryTree,25,1.85,0.48,3.05
BinaryTree,26,1.83,0.43,3.19
BinaryTree,27,1.76,0.44,3.06
BinaryTree,28,1.74,0.43,3.10
BinaryTree,29,1.80,0.45,3.47
BinaryTree,30,1.83,0.45,3.55
BinaryTree,31,1.77,0.47,3.45
BinaryTree,32,2.46,0.51,4.02
BinaryTree,33,4.04,0.47,4.69
BinaryTree,34,3.87,0.39,4.42
BinaryTree,35,3.87,0.43,4.46
BinaryTree,36,3.75,0.42,4.43
BinaryTree,37,3.53,0.36,4.28
BinaryTree,38,3.60,0.39,4.54
BinaryTree,39,3.76,0.37,4.69
BinaryTree,40,3.53,0.37,4.48
BinaryTree,41,3.42,0.39,4.56
BinaryTree,42,3.23,0.31,4.42
BinaryTree,43,3.31,0.32,4.53
BinaryTree,44,3.19,0.29,4.49
BinaryTree,45,3.21,0.29,4.74
BinaryTree,46,3.23,0.28,4.83
BinaryTree,47,3.41,0.29,5.23
BinaryTree,48,3.32,0.28,5.18
