Algorithm,Allocation,Processes,MessageSize,Latency
BinaryTree,core,2,1,0.19
BinaryTree,core,2,2,0.19
BinaryTree,core,2,4,0.19
BinaryTree,core,2,8,0.18
BinaryTree,core,2,16,0.19
BinaryTree,core,2,32,0.22
BinaryTree,core,2,64,0.22
BinaryTree,core,2,128,0.29
BinaryTree,core,2,256,0.30
BinaryTree,core,2,512,0.32
BinaryTree,core,2,1024,0.39
BinaryTree,core,2,2048,0.50
BinaryTree,core,2,4096,0.75
BinaryTree,core,2,8192,1.19
BinaryTree,core,2,16384,2.83
BinaryTree,core,2,32768,4.72
BinaryTree,core,2,65536,5.98
BinaryTree,core,2,131072,8.69
BinaryTree,core,2,262144,14.02
BinaryTree,core,2,524288,25.39
BinaryTree,core,2,1048576,53.60
BinaryTree,core,4,1,0.31
BinaryTree,core,4,2,0.30
BinaryTree,core,4,4,0.30
BinaryTree,core,4,8,0.30
BinaryTree,core,4,16,0.31
BinaryTree,core,4,32,0.36
BinaryTree,core,4,64,0.35
BinaryTree,core,4,128,0.47
BinaryTree,core,4,256,0.51
BinaryTree,core,4,512,0.57
BinaryTree,core,4,1024,0.76
BinaryTree,core,4,2048,1.01
BinaryTree,core,4,4096,1.55
BinaryTree,core,4,8192,2.48
BinaryTree,core,4,16384,5.96
BinaryTree,core,4,32768,10.25
BinaryTree,core,4,65536,15.01
BinaryTree,core,4,131072,25.51
BinaryTree,core,4,262144,45.56
BinaryTree,core,4,524288,85.35
BinaryTree,core,4,1048576,170.11
BinaryTree,core,8,1,0.75
BinaryTree,core,8,2,0.71
BinaryTree,core,8,4,0.66
BinaryTree,core,8,8,0.63
BinaryTree,core,8,16,0.62
BinaryTree,core,8,32,0.76
BinaryTree,core,8,64,0.74
BinaryTree,core,8,128,1.09
BinaryTree,core,8,256,1.13
BinaryTree,core,8,512,1.25
BinaryTree,core,8,1024,1.62
BinaryTree,core,8,2048,1.96
BinaryTree,core,8,4096,2.97
BinaryTree,core,8,8192,4.66
BinaryTree,core,8,16384,10.90
BinaryTree,core,8,32768,16.40
BinaryTree,core,8,65536,27.75
BinaryTree,core,8,131072,50.91
BinaryTree,core,8,262144,95.87
BinaryTree,core,8,524288,184.71
BinaryTree,core,8,1048576,361.93
BinaryTree,core,12,1,0.89
BinaryTree,core,12,2,0.92
BinaryTree,core,12,4,0.86
BinaryTree,core,12,8,0.88
BinaryTree,core,12,16,0.86
BinaryTree,core,12,32,1.04
BinaryTree,core,12,64,0.97
BinaryTree,core,12,128,1.33
BinaryTree,core,12,256,1.37
BinaryTree,core,12,512,1.51
BinaryTree,core,12,1024,1.97
BinaryTree,core,12,2048,2.46
BinaryTree,core,12,4096,3.63
BinaryTree,core,12,8192,5.98
BinaryTree,core,12,16384,14.07
BinaryTree,core,12,32768,21.93
BinaryTree,core,12,65536,36.16
BinaryTree,core,12,131072,64.98
BinaryTree,core,12,262144,123.04
BinaryTree,core,12,524288,236.05
BinaryTree,core,12,1048576,477.07
BinaryTree,core,14,1,1.23
BinaryTree,core,14,2,1.09
BinaryTree,core,14,4,1.08
BinaryTree,core,14,8,1.06
BinaryTree,core,14,16,1.07
BinaryTree,core,14,32,1.18
BinaryTree,core,14,64,1.23
BinaryTree,core,14,128,1.55
BinaryTree,core,14,256,1.64
BinaryTree,core,14,512,1.58
BinaryTree,core,14,1024,1.88
BinaryTree,core,14,2048,2.42
BinaryTree,core,14,4096,3.86
BinaryTree,core,14,8192,6.09
BinaryTree,core,14,16384,14.56
BinaryTree,core,14,32768,22.72
BinaryTree,core,14,65536,39.78
BinaryTree,core,14,131072,69.76
BinaryTree,core,14,262144,131.77
BinaryTree,core,14,524288,250.79
BinaryTree,core,14,1048576,487.58
BinaryTree,core,16,1,1.43
BinaryTree,core,16,2,1.40
BinaryTree,core,16,4,1.39
BinaryTree,core,16,8,1.35
BinaryTree,core,16,16,1.36
BinaryTree,core,16,32,1.60
BinaryTree,core,16,64,1.57
BinaryTree,core,16,128,2.00
BinaryTree,core,16,256,2.14
BinaryTree,core,16,512,2.47
BinaryTree,core,16,1024,2.84
BinaryTree,core,16,2048,3.54
BinaryTree,core,16,4096,5.29
BinaryTree,core,16,8192,7.81
BinaryTree,core,16,16384,17.07
BinaryTree,core,16,32768,26.50
BinaryTree,core,16,65536,45.08
BinaryTree,core,16,131072,78.78
BinaryTree,core,16,262144,148.81
BinaryTree,core,16,524288,282.96
BinaryTree,core,16,1048576,559.78
BinaryTree,core,20,1,2.65
BinaryTree,core,20,2,2.63
BinaryTree,core,20,4,2.63
BinaryTree,core,20,8,2.62
BinaryTree,core,20,16,2.65
BinaryTree,core,20,32,2.96
BinaryTree,core,20,64,3.19
BinaryTree,core,20,128,3.29
BinaryTree,core,20,256,3.47
BinaryTree,core,20,512,3.64
BinaryTree,core,20,1024,4.27
BinaryTree,core,20,2048,5.15
BinaryTree,core,20,4096,7.48
BinaryTree,core,20,8192,10.73
BinaryTree,core,20,16384,20.85
BinaryTree,core,20,32768,32.46
BinaryTree,core,20,65536,54.00
BinaryTree,core,20,131072,113.06
BinaryTree,core,20,262144,218.32
BinaryTree,core,20,524288,425.23
BinaryTree,core,20,1048576,817.07
BinaryTree,core,24,1,2.28
BinaryTree,core,24,2,2.28
BinaryTree,core,24,4,2.27
BinaryTree,core,24,8,2.26
BinaryTree,core,24,16,2.27
BinaryTree,core,24,32,2.91
BinaryTree,core,24,64,2.66
BinaryTree,core,24,128,3.09
BinaryTree,core,24,256,3.30
BinaryTree,core,24,512,3.44
BinaryTree,core,24,1024,4.17
BinaryTree,core,24,2048,5.43
BinaryTree,core,24,4096,7.83
BinaryTree,core,24,8192,11.66
BinaryTree,core,24,16384,21.87
BinaryTree,core,24,32768,34.30
BinaryTree,core,24,65536,57.17
BinaryTree,core,24,131072,117.94
BinaryTree,core,24,262144,233.88
BinaryTree,core,24,524288,462.13
BinaryTree,core,24,1048576,886.15
BinaryTree,socket,2,1,0.42
BinaryTree,socket,2,2,0.41
BinaryTree,socket,2,4,0.41
BinaryTree,socket,2,8,0.40
BinaryTree,socket,2,16,0.39
BinaryTree,socket,2,32,0.54
BinaryTree,socket,2,64,0.52
BinaryTree,socket,2,128,0.78
BinaryTree,socket,2,256,0.86
BinaryTree,socket,2,512,0.93
BinaryTree,socket,2,1024,1.13
BinaryTree,socket,2,2048,1.45
BinaryTree,socket,2,4096,2.09
BinaryTree,socket,2,8192,3.27
BinaryTree,socket,2,16384,3.41
BinaryTree,socket,2,32768,5.40
BinaryTree,socket,2,65536,7.03
BinaryTree,socket,2,131072,9.68
BinaryTree,socket,2,262144,14.78
BinaryTree,socket,2,524288,26.21
BinaryTree,socket,2,1048576,54.48
BinaryTree,socket,4,1,0.58
BinaryTree,socket,4,2,0.58
BinaryTree,socket,4,4,0.57
BinaryTree,socket,4,8,0.58
BinaryTree,socket,4,16,0.56
BinaryTree,socket,4,32,0.85
BinaryTree,socket,4,64,0.84
BinaryTree,socket,4,128,1.17
BinaryTree,socket,4,256,1.23
BinaryTree,socket,4,512,1.41
BinaryTree,socket,4,1024,1.66
BinaryTree,socket,4,2048,2.49
BinaryTree,socket,4,4096,3.35
BinaryTree,socket,4,8192,5.20
BinaryTree,socket,4,16384,9.08
BinaryTree,socket,4,32768,15.95
BinaryTree,socket,4,65536,22.87
BinaryTree,socket,4,131072,37.98
BinaryTree,socket,4,262144,67.45
BinaryTree,socket,4,524288,121.41
BinaryTree,socket,4,1048576,255.67
BinaryTree,socket,8,1,1.25
BinaryTree,socket,8,2,1.12
BinaryTree,socket,8,4,0.98
BinaryTree,socket,8,8,0.96
BinaryTree,socket,8,16,0.93
BinaryTree,socket,8,32,1.57
BinaryTree,socket,8,64,1.27
BinaryTree,socket,8,128,1.81
BinaryTree,socket,8,256,1.92
BinaryTree,socket,8,512,2.13
BinaryTree,socket,8,1024,2.44
BinaryTree,socket,8,2048,3.40
BinaryTree,socket,8,4096,4.87
BinaryTree,socket,8,8192,7.17
BinaryTree,socket,8,16384,12.62
BinaryTree,socket,8,32768,20.13
BinaryTree,socket,8,65536,36.47
BinaryTree,socket,8,131072,63.19
BinaryTree,socket,8,262144,115.35
BinaryTree,socket,8,524288,217.99
BinaryTree,socket,8,1048576,410.89
BinaryTree,socket,12,1,1.25
BinaryTree,socket,12,2,1.18
BinaryTree,socket,12,4,1.15
BinaryTree,socket,12,8,1.14
BinaryTree,socket,12,16,1.13
BinaryTree,socket,12,32,1.51
BinaryTree,socket,12,64,1.41
BinaryTree,socket,12,128,2.08
BinaryTree,socket,12,256,2.15
BinaryTree,socket,12,512,2.37
BinaryTree,socket,12,1024,2.94
BinaryTree,socket,12,2048,4.20
BinaryTree,socket,12,4096,5.57
BinaryTree,socket,12,8192,8.49
BinaryTree,socket,12,16384,16.83
BinaryTree,socket,12,32768,25.49
BinaryTree,socket,12,65536,43.38
BinaryTree,socket,12,131072,83.32
BinaryTree,socket,12,262144,159.00
BinaryTree,socket,12,524288,292.91
BinaryTree,socket,12,1048576,548.38
BinaryTree,socket,14,1,1.63
BinaryTree,socket,14,2,1.51
BinaryTree,socket,14,4,1.48
BinaryTree,socket,14,8,1.47
BinaryTree,socket,14,16,1.47
BinaryTree,socket,14,32,1.67
BinaryTree,socket,14,64,1.91
BinaryTree,socket,14,128,2.14
BinaryTree,socket,14,256,2.25
BinaryTree,socket,14,512,2.40
BinaryTree,socket,14,1024,2.97
BinaryTree,socket,14,2048,4.14
BinaryTree,socket,14,4096,5.78
BinaryTree,socket,14,8192,8.78
BinaryTree,socket,14,16384,16.21
BinaryTree,socket,14,32768,24.78
BinaryTree,socket,14,65536,45.02
BinaryTree,socket,14,131072,81.45
BinaryTree,socket,14,262144,151.87
BinaryTree,socket,14,524288,287.10
BinaryTree,socket,14,1048576,574.10
BinaryTree,socket,16,1,1.76
BinaryTree,socket,16,2,1.68
BinaryTree,socket,16,4,1.58
BinaryTree,socket,16,8,1.57
BinaryTree,socket,16,16,1.58
BinaryTree,socket,16,32,1.95
BinaryTree,socket,16,64,2.05
BinaryTree,socket,16,128,2.95
BinaryTree,socket,16,256,2.82
BinaryTree,socket,16,512,3.02
BinaryTree,socket,16,1024,3.53
BinaryTree,socket,16,2048,4.80
BinaryTree,socket,16,4096,6.82
BinaryTree,socket,16,8192,10.19
BinaryTree,socket,16,16384,18.81
BinaryTree,socket,16,32768,29.11
BinaryTree,socket,16,65536,50.57
BinaryTree,socket,16,131072,90.46
BinaryTree,socket,16,262144,163.87
BinaryTree,socket,16,524288,312.45
BinaryTree,socket,16,1048576,596.68
BinaryTree,socket,20,1,2.99
BinaryTree,socket,20,2,2.87
BinaryTree,socket,20,4,2.86
BinaryTree,socket,20,8,2.86
BinaryTree,socket,20,16,2.87
BinaryTree,socket,20,32,3.49
BinaryTree,socket,20,64,3.30
BinaryTree,socket,20,128,3.96
BinaryTree,socket,20,256,4.13
BinaryTree,socket,20,512,4.39
BinaryTree,socket,20,1024,5.00
BinaryTree,socket,20,2048,6.41
BinaryTree,socket,20,4096,8.80
BinaryTree,socket,20,8192,12.55
BinaryTree,socket,20,16384,21.55
BinaryTree,socket,20,32768,33.45
BinaryTree,socket,20,65536,58.18
BinaryTree,socket,20,131072,114.59
BinaryTree,socket,20,262144,234.62
BinaryTree,socket,20,524288,476.64
BinaryTree,socket,20,1048576,924.78
BinaryTree,socket,24,1,2.71
BinaryTree,socket,24,2,2.64
BinaryTree,socket,24,4,2.65
BinaryTree,socket,24,8,2.63
BinaryTree,socket,24,16,3.17
BinaryTree,socket,24,32,3.07
BinaryTree,socket,24,64,3.22
BinaryTree,socket,24,128,3.90
BinaryTree,socket,24,256,4.18
BinaryTree,socket,24,512,4.42
BinaryTree,socket,24,1024,5.14
BinaryTree,socket,24,2048,6.65
BinaryTree,socket,24,4096,9.36
BinaryTree,socket,24,8192,13.69
BinaryTree,socket,24,16384,23.19
BinaryTree,socket,24,32768,36.14
BinaryTree,socket,24,65536,63.57
BinaryTree,socket,24,131072,126.22
BinaryTree,socket,24,262144,263.45
BinaryTree,socket,24,524288,516.72
BinaryTree,socket,24,1048576,949.00
BinaryTree,node,2,1,1.02
BinaryTree,node,2,2,0.98
BinaryTree,node,2,4,1.01
BinaryTree,node,2,8,0.99
BinaryTree,node,2,16,1.01
BinaryTree,node,2,32,1.02
BinaryTree,node,2,64,1.25
BinaryTree,node,2,128,1.09
BinaryTree,node,2,256,1.20
BinaryTree,node,2,512,1.24
BinaryTree,node,2,1024,1.37
BinaryTree,node,2,2048,1.73
BinaryTree,node,2,4096,3.07
BinaryTree,node,2,8192,3.95
BinaryTree,node,2,16384,5.77
BinaryTree,node,2,32768,9.13
BinaryTree,node,2,65536,12.02
BinaryTree,node,2,131072,21.14
BinaryTree,node,2,262144,32.07
BinaryTree,node,2,524288,53.35
BinaryTree,node,2,1048576,95.91
BinaryTree,node,4,1,0.39
BinaryTree,node,4,2,0.32
BinaryTree,node,4,4,0.31
BinaryTree,node,4,8,0.31
BinaryTree,node,4,16,0.31
BinaryTree,node,4,32,0.42
BinaryTree,node,4,64,0.62
BinaryTree,node,4,128,0.61
BinaryTree,node,4,256,0.92
BinaryTree,node,4,512,0.97
BinaryTree,node,4,1024,1.10
BinaryTree,node,4,2048,1.77
BinaryTree,node,4,4096,2.77
BinaryTree,node,4,8192,4.28
BinaryTree,node,4,16384,8.32
BinaryTree,node,4,32768,13.67
BinaryTree,node,4,65536,20.35
BinaryTree,node,4,131072,36.38
BinaryTree,node,4,262144,50.94
BinaryTree,node,4,524288,86.70
BinaryTree,node,4,1048576,175.47
BinaryTree,node,8,1,1.81
BinaryTree,node,8,2,1.69
BinaryTree,node,8,4,1.66
