Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
Chain,2,0.20,0.11,0.30
Chain,3,0.41,0.16,0.68
Chain,4,0.22,0.21,0.23
Chain,5,0.27,0.26,0.27
Chain,6,0.36,0.27,0.55
Chain,7,0.45,0.26,0.67
Chain,8,0.62,0.41,0.87
Chain,9,0.93,0.46,1.16
Chain,10,0.86,0.38,1.33
Chain,11,0.98,0.39,1.56
Chain,12,0.89,0.45,1.34
Chain,13,0.97,0.24,2.02
Chain,14,0.83,0.24,2.06
Chain,15,0.93,0.36,2.26
Chain,16,1.18,0.38,2.18
Chain,17,2.39,0.50,3.05
Chain,18,2.36,0.64,3.18
Chain,19,2.32,0.63,3.17
Chain,20,2.43,0.64,3.74
Chain,21,2.36,0.63,3.72
Chain,22,2.26,0.66,3.88
Chain,23,2.33,0.71,3.56
Chain,24,2.36,0.72,3.56
Chain,25,2.20,0.28,3.93
Chain,26,2.39,0.39,4.22
Chain,27,2.19,0.23,4.22
Chain,28,2.18,0.27,4.35
Chain,29,2.15,0.37,4.79
Chain,30,2.29,0.50,5.10
Chain,31,2.20,0.33,5.12
Chain,32,2.53,0.67,5.22
Chain,33,4.48,0.65,6.82
Chain,34,4.61,0.67,6.99
Chain,35,4.41,0.64,6.45
Chain,36,4.68,0.68,7.33
Chain,37,4.51,0.72,6.75
Chain,38,4.30,0.65,6.79
Chain,39,4.20,0.66,6.86
Chain,40,4.36,0.68,6.93
Chain,41,4.23,0.67,6.96
Chain,42,4.22,0.67,6.90
Chain,43,3.68,0.65,6.81
Chain,44,3.63,0.65,6.78
Chain,45,3.76,0.38,8.17
Chain,46,3.75,0.39,7.98
Chain,47,4.01,0.56,8.24
Chain,48,4.15,0.59,8.71
