Algorithm,Allocation,Processes,MessageSize,Latency
Chain,core,2,1,0.23
Chain,core,2,2,0.24
Chain,core,2,4,0.23
Chain,core,2,8,0.23
Chain,core,2,16,0.22
Chain,core,2,32,0.24
Chain,core,2,64,0.23
Chain,core,2,128,0.30
Chain,core,2,256,0.33
Chain,core,2,512,0.32
Chain,core,2,1024,0.38
Chain,core,2,2048,0.51
Chain,core,2,4096,0.76
Chain,core,2,8192,1.20
Chain,core,2,16384,2.81
Chain,core,2,32768,4.72
Chain,core,2,65536,5.99
Chain,core,2,131072,8.74
Chain,core,2,262144,14.07
Chain,core,2,524288,25.20
Chain,core,2,1048576,51.75
Chain,core,4,1,0.18
Chain,core,4,2,0.19
Chain,core,4,4,0.19
Chain,core,4,8,0.19
Chain,core,4,16,0.19
Chain,core,4,32,0.23
Chain,core,4,64,0.23
Chain,core,4,128,0.38
Chain,core,4,256,0.41
Chain,core,4,512,0.49
Chain,core,4,1024,0.68
Chain,core,4,2048,0.94
Chain,core,4,4096,1.52
Chain,core,4,8192,2.42
Chain,core,4,16384,4.78
Chain,core,4,32768,7.97
Chain,core,4,65536,13.25
Chain,core,4,131072,24.01
Chain,core,4,262144,47.20
Chain,core,4,524288,98.46
Chain,core,4,1048576,199.89
Chain,core,8,1,0.50
Chain,core,8,2,0.50
Chain,core,8,4,0.50
Chain,core,8,8,0.50
Chain,core,8,16,0.51
Chain,core,8,32,0.59
Chain,core,8,64,0.61
Chain,core,8,128,1.00
Chain,core,8,256,1.08
Chain,core,8,512,1.13
Chain,core,8,1024,1.52
Chain,core,8,2048,1.83
Chain,core,8,4096,2.85
Chain,core,8,8192,4.57
Chain,core,8,16384,9.06
Chain,core,8,32768,15.36
Chain,core,8,65536,26.84
Chain,core,8,131072,49.91
Chain,core,8,262144,94.85
Chain,core,8,524288,188.57
Chain,core,8,1048576,326.36
Chain,core,12,1,1.57
Chain,core,12,2,1.12
Chain,core,12,4,0.94
Chain,core,12,8,0.89
Chain,core,12,16,0.89
Chain,core,12,32,1.02
Chain,core,12,64,0.99
Chain,core,12,128,1.35
Chain,core,12,256,1.39
Chain,core,12,512,1.48
Chain,core,12,1024,1.90
Chain,core,12,2048,2.34
Chain,core,12,4096,3.46
Chain,core,12,8192,5.82
Chain,core,12,16384,12.42
Chain,core,12,32768,20.13
Chain,core,12,65536,35.02
Chain,core,12,131072,64.90
Chain,core,12,262144,118.74
Chain,core,12,524288,233.57
Chain,core,12,1048576,439.83
Chain,core,14,1,0.93
Chain,core,14,2,0.88
Chain,core,14,4,0.86
Chain,core,14,8,0.86
Chain,core,14,16,0.86
Chain,core,14,32,0.98
Chain,core,14,64,1.02
Chain,core,14,128,1.27
Chain,core,14,256,1.35
Chain,core,14,512,1.61
Chain,core,14,1024,1.92
Chain,core,14,2048,2.47
Chain,core,14,4096,3.93
Chain,core,14,8192,5.80
Chain,core,14,16384,14.17
Chain,core,14,32768,21.35
Chain,core,14,65536,36.88
Chain,core,14,131072,69.04
Chain,core,14,262144,129.83
Chain,core,14,524288,245.96
Chain,core,14,1048576,477.30
Chain,core,16,1,1.35
Chain,core,16,2,1.37
Chain,core,16,4,1.35
Chain,core,16,8,1.36
Chain,core,16,16,1.35
Chain,core,16,32,1.50
Chain,core,16,64,1.53
Chain,core,16,128,1.97
Chain,core,16,256,2.12
Chain,core,16,512,2.51
Chain,core,16,1024,2.69
Chain,core,16,2048,3.36
Chain,core,16,4096,5.01
Chain,core,16,8192,7.59
Chain,core,16,16384,15.97
Chain,core,16,32768,24.46
Chain,core,16,65536,39.65
Chain,core,16,131072,66.67
Chain,core,16,262144,124.54
Chain,core,16,524288,244.22
Chain,core,16,1048576,451.54
Chain,core,20,1,2.88
Chain,core,20,2,2.89
Chain,core,20,4,2.90
Chain,core,20,8,2.87
Chain,core,20,16,3.30
Chain,core,20,32,3.16
Chain,core,20,64,3.08
Chain,core,20,128,3.62
Chain,core,20,256,3.78
Chain,core,20,512,3.93
Chain,core,20,1024,4.47
Chain,core,20,2048,5.40
Chain,core,20,4096,7.43
Chain,core,20,8192,10.41
Chain,core,20,16384,20.37
Chain,core,20,32768,29.12
Chain,core,20,65536,45.41
Chain,core,20,131072,77.96
Chain,core,20,262144,137.84
Chain,core,20,524288,271.03
Chain,core,20,1048576,510.61
Chain,core,24,1,2.39
Chain,core,24,2,2.36
Chain,core,24,4,2.37
Chain,core,24,8,2.36
Chain,core,24,16,2.63
Chain,core,24,32,2.78
Chain,core,24,64,2.64
Chain,core,24,128,3.12
Chain,core,24,256,3.48
Chain,core,24,512,3.61
Chain,core,24,1024,4.14
Chain,core,24,2048,5.02
Chain,core,24,4096,7.39
Chain,core,24,8192,10.84
Chain,core,24,16384,21.66
Chain,core,24,32768,31.44
Chain,core,24,65536,48.90
Chain,core,24,131072,83.77
Chain,core,24,262144,151.74
Chain,core,24,524288,291.12
Chain,core,24,1048576,582.71
Chain,socket,2,1,0.41
Chain,socket,2,2,0.40
Chain,socket,2,4,0.40
Chain,socket,2,8,0.40
Chain,socket,2,16,0.39
Chain,socket,2,32,0.56
Chain,socket,2,64,0.54
Chain,socket,2,128,0.79
Chain,socket,2,256,0.83
Chain,socket,2,512,0.94
Chain,socket,2,1024,1.09
Chain,socket,2,2048,1.48
Chain,socket,2,4096,2.13
Chain,socket,2,8192,3.37
Chain,socket,2,16384,3.43
Chain,socket,2,32768,5.46
Chain,socket,2,65536,7.07
Chain,socket,2,131072,9.81
Chain,socket,2,262144,14.63
Chain,socket,2,524288,26.86
Chain,socket,2,1048576,60.06
Chain,socket,4,1,0.36
Chain,socket,4,2,0.34
Chain,socket,4,4,0.33
Chain,socket,4,8,0.32
Chain,socket,4,16,0.35
Chain,socket,4,32,0.66
Chain,socket,4,64,0.59
Chain,socket,4,128,1.11
Chain,socket,4,256,1.18
Chain,socket,4,512,1.36
Chain,socket,4,1024,1.71
Chain,socket,4,2048,2.46
Chain,socket,4,4096,3.65
Chain,socket,4,8192,5.81
Chain,socket,4,16384,8.73
Chain,socket,4,32768,14.27
Chain,socket,4,65536,23.03
Chain,socket,4,131072,41.37
Chain,socket,4,262144,81.35
Chain,socket,4,524288,168.76
Chain,socket,4,1048576,348.62
Chain,socket,8,1,1.00
Chain,socket,8,2,1.00
Chain,socket,8,4,0.98
Chain,socket,8,8,1.02
Chain,socket,8,16,0.99
Chain,socket,8,32,1.67
Chain,socket,8,64,1.55
Chain,socket,8,128,2.61
Chain,socket,8,256,2.79
Chain,socket,8,512,3.10
Chain,socket,8,1024,3.81
Chain,socket,8,2048,5.22
Chain,socket,8,4096,6.90
Chain,socket,8,8192,10.97
Chain,socket,8,16384,14.30
Chain,socket,8,32768,23.57
Chain,socket,8,65536,43.10
Chain,socket,8,131072,79.64
Chain,socket,8,262144,162.13
Chain,socket,8,524288,337.95
Chain,socket,8,1048576,556.56
Chain,socket,12,1,1.55
Chain,socket,12,2,1.55
Chain,socket,12,4,1.55
Chain,socket,12,8,1.55
Chain,socket,12,16,1.55
Chain,socket,12,32,2.12
Chain,socket,12,64,1.91
Chain,socket,12,128,3.01
Chain,socket,12,256,3.30
Chain,socket,12,512,3.48
Chain,socket,12,1024,4.37
Chain,socket,12,2048,5.58
Chain,socket,12,4096,7.94
Chain,socket,12,8192,12.11
Chain,socket,12,16384,23.09
Chain,socket,12,32768,37.93
Chain,socket,12,65536,70.05
Chain,socket,12,131072,132.16
Chain,socket,12,262144,252.78
Chain,socket,12,524288,502.91
Chain,socket,12,1048576,918.40
Chain,socket,14,1,1.45
Chain,socket,14,2,1.42
Chain,socket,14,4,1.41
Chain,socket,14,8,1.41
Chain,socket,14,16,1.41
Chain,socket,14,32,1.96
Chain,socket,14,64,1.80
Chain,socket,14,128,3.23
Chain,socket,14,256,3.04
Chain,socket,14,512,3.42
Chain,socket,14,1024,4.43
Chain,socket,14,2048,5.77
Chain,socket,14,4096,8.39
Chain,socket,14,8192,13.12
Chain,socket,14,16384,23.50
Chain,socket,14,32768,39.09
Chain,socket,14,65536,75.27
Chain,socket,14,131072,140.24
Chain,socket,14,262144,259.92
Chain,socket,14,524288,531.72
Chain,socket,14,1048576,879.92
Chain,socket,16,1,2.02
Chain,socket,16,2,1.99
Chain,socket,16,4,1.92
Chain,socket,16,8,1.95
Chain,socket,16,16,1.96
Chain,socket,16,32,2.67
Chain,socket,16,64,2.79
Chain,socket,16,128,4.28
Chain,socket,16,256,4.37
Chain,socket,16,512,4.85
Chain,socket,16,1024,5.67
Chain,socket,16,2048,7.54
Chain,socket,16,4096,10.65
Chain,socket,16,8192,16.32
Chain,socket,16,16384,23.47
Chain,socket,16,32768,38.51
Chain,socket,16,65536,66.66
Chain,socket,16,131072,121.77
Chain,socket,16,262144,235.14
Chain,socket,16,524288,461.58
Chain,socket,16,1048576,863.51
Chain,socket,20,1,3.62
Chain,socket,20,2,3.64
Chain,socket,20,4,3.61
Chain,socket,20,8,3.61
Chain,socket,20,16,4.08
Chain,socket,20,32,4.34
Chain,socket,20,64,4.26
Chain,socket,20,128,5.76
Chain,socket,20,256,6.04
Chain,socket,20,512,6.65
Chain,socket,20,1024,7.63
Chain,socket,20,2048,9.63
Chain,socket,20,4096,12.97
Chain,socket,20,8192,19.16
Chain,socket,20,16384,30.96
Chain,socket,20,32768,49.11
Chain,socket,20,65536,85.28
Chain,socket,20,131072,157.65
Chain,socket,20,262144,307.07
Chain,socket,20,524288,600.37
Chain,socket,20,1048576,1035.19
Chain,socket,24,1,3.25
Chain,socket,24,2,3.23
Chain,socket,24,4,3.22
Chain,socket,24,8,3.42
Chain,socket,24,16,3.48
Chain,socket,24,32,4.15
Chain,socket,24,64,4.05
Chain,socket,24,128,5.80
Chain,socket,24,256,6.22
Chain,socket,24,512,6.76
Chain,socket,24,1024,7.95
Chain,socket,24,2048,10.15
Chain,socket,24,4096,14.44
Chain,socket,24,8192,21.54
Chain,socket,24,16384,35.19
Chain,socket,24,32768,55.51
Chain,socket,24,65536,93.32
Chain,socket,24,131072,160.38
Chain,socket,24,262144,318.22
Chain,socket,24,524288,603.48
Chain,socket,24,1048576,1182.21
Chain,node,2,1,1.01
Chain,node,2,2,0.98
Chain,node,2,4,1.00
Chain,node,2,8,0.98
Chain,node,2,16,1.00
Chain,node,2,32,1.00
Chain,node,2,64,1.24
Chain,node,2,128,1.08
Chain,node,2,256,1.20
Chain,node,2,512,1.25
Chain,node,2,1024,1.36
Chain,node,2,2048,1.71
Chain,node,2,4096,3.10
Chain,node,2,8192,4.04
Chain,node,2,16384,5.76
Chain,node,2,32768,9.22
Chain,node,2,65536,12.02
Chain,node,2,131072,21.16
Chain,node,2,262144,32.05
Chain,node,2,524288,53.31
Chain,node,2,1048576,96.00
Chain,node,4,1,0.41
Chain,node,4,2,0.31
Chain,node,4,4,0.29
Chain,node,4,8,0.29
Chain,node,4,16,0.29
Chain,node,4,32,0.33
Chain,node,4,64,0.63
Chain,node,4,128,0.45
Chain,node,4,256,0.76
Chain,node,4,512,0.83
Chain,node,4,1024,0.91
Chain,node,4,2048,1.40
Chain,node,4,4096,2.23
Chain,node,4,8192,3.36
Chain,node,4,16384,5.25
Chain,node,4,32768,9.79
Chain,node,4,65536,14.47
Chain,node,4,131072,29.29
Chain,node,4,262144,47.21
Chain,node,4,524288,83.50
Chain,node,4,1048576,168.53
Chain,node,8,1,1.31
Chain,node,8,2,1.29
Chain,node,8,4,1.28
Chain,node,8,8,1.29
Chain,node,8,16,1.28
Chain,node,8,32,1.32
Chain,node,8,64,1.50
Chain,node,8,128,1.58
Chain,node,8,256,2.01
Chain,node,8,512,2.26
Chain,node,8,1024,2.64
Chain,node,8,2048,3.38
Chain,node,8,4096,4.91
Chain,node,8,8192,7.33
Chain,node,8,16384,10.83
Chain,node,8,32768,17.50
Chain,node,8,65536,27.99
Chain,node,8,131072,50.17
Chain,node,8,262144,134.91
Chain,node,8,524288,268.18
Chain,node,8,1048576,527.97
Chain,node,12,1,2.20
Chain,node,12,2,2.23
Chain,node,12,4,2.22
Chain,node,12,8,2.23
Chain,node,12,16,2.22
Chain,node,12,32,2.34
