Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
Default,2,0.21,0.12,0.31
Default,3,0.49,0.11,0.78
Default,4,0.34,0.20,0.43
Default,5,0.44,0.19,0.53
Default,6,0.49,0.18,0.64
Default,7,0.61,0.18,0.83
Default,8,0.93,0.59,1.34
Default,9,0.97,0.38,1.29
Default,10,0.82,0.36,1.11
Default,11,0.69,0.20,1.05
Default,12,1.44,0.94,1.87
Default,13,0.87,0.43,1.89
Default,14,1.56,0.72,2.24
Default,15,0.78,0.45,2.09
Default,16,1.66,1.33,2.12
Default,17,2.37,0.74,3.09
Default,18,2.21,0.87,3.03
Default,19,2.09,0.90,2.98
Default,20,2.10,1.10,3.14
Default,21,1.66,0.60,2.61
Default,22,2.33,1.38,3.31
Default,23,1.77,0.89,3.00
Default,24,1.65,0.79,2.76
Default,25,1.62,0.53,2.95
Default,26,1.58,0.45,2.94
Default,27,1.54,0.49,3.18
Default,28,1.41,0.45,2.78
Default,29,1.39,0.37,3.45
Default,30,1.39,0.40,3.45
Default,31,1.43,0.44,3.38
Default,32,2.09,0.87,3.76
Default,33,4.03,0.90,4.97
Default,34,3.93,0.94,4.86
Default,35,4.01,0.99,5.10
Default,36,3.62,0.84,4.58
Default,37,3.62,0.91,4.69
Default,38,3.46,0.89,4.55
Default,39,3.42,0.96,4.60
Default,40,3.31,0.91,4.58
Default,41,3.34,0.90,4.69
Default,42,3.09,0.80,4.43
Default,43,3.02,0.72,4.51
Default,44,3.04,0.69,4.52
Default,45,2.85,0.70,4.47
Default,46,2.93,0.79,4.64
Default,47,2.93,0.80,4.78
Default,48,2.96,0.86,4.85
