Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,2,1,0.20
Default,core,2,2,0.21
Default,core,2,4,0.20
Default,core,2,8,0.21
Default,core,2,16,0.20
Default,core,2,32,0.26
Default,core,2,64,0.25
Default,core,2,128,0.32
Default,core,2,256,0.34
Default,core,2,512,0.36
Default,core,2,1024,0.42
Default,core,2,2048,0.54
Default,core,2,4096,0.84
Default,core,2,8192,1.34
Default,core,2,16384,3.10
Default,core,2,32768,5.32
Default,core,2,65536,6.74
Default,core,2,131072,9.81
Default,core,2,262144,16.09
Default,core,2,524288,29.41
Default,core,2,1048576,62.06
Default,core,4,1,0.37
Default,core,4,2,0.35
Default,core,4,4,0.33
Default,core,4,8,0.32
Default,core,4,16,0.32
Default,core,4,32,0.37
Default,core,4,64,0.37
Default,core,4,128,0.50
Default,core,4,256,0.55
Default,core,4,512,0.63
Default,core,4,1024,0.82
Default,core,4,2048,1.15
Default,core,4,4096,1.73
Default,core,4,8192,2.58
Default,core,4,16384,5.75
Default,core,4,32768,8.96
Default,core,4,65536,15.26
Default,core,4,131072,27.83
Default,core,4,262144,54.85
Default,core,4,524288,109.35
Default,core,4,1048576,239.71
Default,core,8,1,0.56
Default,core,8,2,0.56
Default,core,8,4,0.58
Default,core,8,8,0.66
Default,core,8,16,0.65
Default,core,8,32,0.80
Default,core,8,64,0.73
Default,core,8,128,1.12
Default,core,8,256,1.14
Default,core,8,512,1.25
Default,core,8,1024,1.51
Default,core,8,2048,2.05
Default,core,8,4096,3.03
Default,core,8,8192,4.59
Default,core,8,16384,11.26
Default,core,8,32768,15.05
Default,core,8,65536,28.92
Default,core,8,131072,56.60
Default,core,8,262144,111.68
Default,core,8,524288,226.74
Default,core,8,1048576,442.58
Default,core,12,1,0.72
Default,core,12,2,0.80
Default,core,12,4,0.75
Default,core,12,8,0.95
Default,core,12,16,0.96
Default,core,12,32,1.11
Default,core,12,64,0.85
Default,core,12,128,1.35
Default,core,12,256,1.40
Default,core,12,512,1.45
Default,core,12,1024,1.82
Default,core,12,2048,2.57
Default,core,12,4096,3.97
Default,core,12,8192,6.19
Default,core,12,16384,12.39
Default,core,12,32768,21.18
Default,core,12,65536,41.81
Default,core,12,131072,82.99
Default,core,12,262144,164.45
Default,core,12,524288,331.83
Default,core,12,1048576,636.83
Default,core,14,1,0.91
Default,core,14,2,0.92
Default,core,14,4,0.91
Default,core,14,8,1.15
Default,core,14,16,1.14
Default,core,14,32,1.26
Default,core,14,64,1.03
Default,core,14,128,1.39
Default,core,14,256,1.61
Default,core,14,512,1.50
Default,core,14,1024,1.91
Default,core,14,2048,2.60
Default,core,14,4096,4.15
Default,core,14,8192,6.48
Default,core,14,16384,13.19
Default,core,14,32768,20.87
Default,core,14,65536,38.86
Default,core,14,131072,75.83
Default,core,14,262144,150.27
Default,core,14,524288,301.93
Default,core,14,1048576,579.41
Default,core,16,1,1.15
Default,core,16,2,1.17
Default,core,16,4,1.19
Default,core,16,8,1.17
Default,core,16,16,1.17
Default,core,16,32,1.34
Default,core,16,64,1.41
Default,core,16,128,1.89
Default,core,16,256,2.06
Default,core,16,512,2.33
Default,core,16,1024,2.61
Default,core,16,2048,3.34
Default,core,16,4096,4.83
Default,core,16,8192,7.26
Default,core,16,16384,15.39
Default,core,16,32768,24.97
Default,core,16,65536,43.80
Default,core,16,131072,79.73
Default,core,16,262144,153.32
Default,core,16,524288,299.10
Default,core,16,1048576,391.14
Default,core,20,1,2.61
Default,core,20,2,2.61
Default,core,20,4,2.63
Default,core,20,8,2.60
Default,core,20,16,2.59
Default,core,20,32,2.91
Default,core,20,64,2.84
Default,core,20,128,3.24
Default,core,20,256,3.59
Default,core,20,512,3.71
Default,core,20,1024,4.13
Default,core,20,2048,4.96
Default,core,20,4096,6.94
Default,core,20,8192,9.68
Default,core,20,16384,17.83
Default,core,20,32768,27.72
Default,core,20,65536,45.40
Default,core,20,131072,88.68
Default,core,20,262144,161.86
Default,core,20,524288,306.97
Default,core,20,1048576,734.96
Default,core,24,1,2.27
Default,core,24,2,2.26
Default,core,24,4,2.23
Default,core,24,8,2.24
Default,core,24,16,2.24
Default,core,24,32,2.52
Default,core,24,64,2.60
Default,core,24,128,2.86
Default,core,24,256,3.24
Default,core,24,512,3.35
Default,core,24,1024,3.79
Default,core,24,2048,4.70
Default,core,24,4096,7.58
Default,core,24,8192,11.53
Default,core,24,16384,18.91
Default,core,24,32768,30.69
Default,core,24,65536,53.11
Default,core,24,131072,111.93
Default,core,24,262144,218.66
Default,core,24,524288,432.85
Default,core,24,1048576,827.53
Default,socket,2,1,0.37
Default,socket,2,2,0.36
Default,socket,2,4,0.37
Default,socket,2,8,0.36
Default,socket,2,16,0.37
Default,socket,2,32,0.51
Default,socket,2,64,0.50
Default,socket,2,128,0.75
Default,socket,2,256,0.82
Default,socket,2,512,0.88
Default,socket,2,1024,1.03
Default,socket,2,2048,1.29
Default,socket,2,4096,2.00
Default,socket,2,8192,3.21
Default,socket,2,16384,3.62
Default,socket,2,32768,5.70
Default,socket,2,65536,7.18
Default,socket,2,131072,10.64
Default,socket,2,262144,16.18
Default,socket,2,524288,28.98
Default,socket,2,1048576,59.87
Default,socket,4,1,0.55
Default,socket,4,2,0.56
Default,socket,4,4,0.56
Default,socket,4,8,0.56
Default,socket,4,16,0.52
Default,socket,4,32,0.75
Default,socket,4,64,0.75
Default,socket,4,128,1.08
