Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
Linear,2,0.18,0.10,0.27
Linear,3,0.41,0.21,0.65
Linear,4,0.22,0.20,0.24
Linear,5,0.27,0.27,0.28
Linear,6,0.30,0.28,0.31
Linear,7,0.35,0.35,0.36
Linear,8,0.65,0.40,0.88
Linear,9,0.90,0.73,1.05
Linear,10,0.85,0.27,1.05
Linear,11,0.81,0.15,1.09
Linear,12,0.88,0.23,1.27
Linear,13,0.93,0.11,1.50
Linear,14,0.97,0.14,1.64
Linear,15,1.00,0.13,1.83
Linear,16,1.48,0.30,2.61
Linear,17,2.37,1.58,3.14
Linear,18,2.27,0.53,2.86
Linear,19,2.25,0.49,3.05
Linear,20,2.37,0.36,3.15
Linear,21,2.31,0.43,3.25
Linear,22,2.45,0.48,3.46
Linear,23,2.37,0.35,3.43
Linear,24,2.62,0.35,3.93
Linear,25,2.41,0.37,4.39
Linear,26,2.36,0.42,4.36
Linear,27,2.44,0.46,4.51
Linear,28,2.45,0.51,4.73
Linear,29,2.70,0.32,4.93
Linear,30,2.77,0.48,5.11
Linear,31,2.90,0.52,5.28
Linear,32,3.33,0.58,6.01
Linear,33,4.87,2.87,6.25
Linear,34,4.75,0.54,6.12
Linear,35,4.67,0.50,6.14
Linear,36,4.58,0.54,6.18
Linear,37,4.20,0.29,6.08
Linear,38,4.23,0.31,6.06
Linear,39,4.19,0.33,6.09
Linear,40,4.27,0.37,6.46
Linear,41,4.57,0.49,6.79
Linear,42,4.43,0.37,6.83
Linear,43,4.38,0.33,6.94
Linear,44,4.40,0.28,7.08
Linear,45,4.53,0.24,7.15
Linear,46,4.64,0.28,7.43
Linear,47,4.76,0.27,7.69
Linear,48,4.94,0.43,7.92
