Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,2,1,0.19
Linear,core,2,2,0.19
Linear,core,2,4,0.19
Linear,core,2,8,0.19
Linear,core,2,16,0.19
Linear,core,2,32,0.24
Linear,core,2,64,0.24
Linear,core,2,128,0.31
Linear,core,2,256,0.32
Linear,core,2,512,0.35
Linear,core,2,1024,0.41
Linear,core,2,2048,0.54
Linear,core,2,4096,0.85
Linear,core,2,8192,1.36
Linear,core,2,16384,3.10
Linear,core,2,32768,5.22
Linear,core,2,65536,6.65
Linear,core,2,131072,9.64
Linear,core,2,262144,16.04
Linear,core,2,524288,29.47
Linear,core,2,1048576,62.24
Linear,core,4,1,0.20
Linear,core,4,2,0.20
Linear,core,4,4,0.20
Linear,core,4,8,0.20
Linear,core,4,16,0.20
Linear,core,4,32,0.27
Linear,core,4,64,0.26
Linear,core,4,128,0.43
Linear,core,4,256,0.47
Linear,core,4,512,0.53
Linear,core,4,1024,0.72
Linear,core,4,2048,1.04
Linear,core,4,4096,1.80
Linear,core,4,8192,2.82
Linear,core,4,16384,5.88
Linear,core,4,32768,9.21
Linear,core,4,65536,15.01
Linear,core,4,131072,26.74
Linear,core,4,262144,52.00
Linear,core,4,524288,106.30
Linear,core,4,1048576,224.77
Linear,core,6,1,0.31
Linear,core,6,2,0.31
Linear,core,6,4,0.31
Linear,core,6,8,0.32
Linear,core,6,16,0.32
Linear,core,6,32,0.46
Linear,core,6,64,0.43
Linear,core,6,128,0.67
Linear,core,6,256,0.73
Linear,core,6,512,0.82
Linear,core,6,1024,1.08
Linear,core,6,2048,1.53
Linear,core,6,4096,2.42
Linear,core,6,8192,3.64
Linear,core,6,16384,6.84
Linear,core,6,32768,11.64
Linear,core,6,65536,20.99
Linear,core,6,131072,42.91
Linear,core,6,262144,84.83
Linear,core,6,524288,172.85
Linear,core,6,1048576,338.96
Linear,core,8,1,0.66
Linear,core,8,2,0.65
Linear,core,8,4,0.67
Linear,core,8,8,0.66
Linear,core,8,16,0.67
Linear,core,8,32,0.86
Linear,core,8,64,0.83
Linear,core,8,128,1.32
Linear,core,8,256,1.34
Linear,core,8,512,1.37
Linear,core,8,1024,1.72
Linear,core,8,2048,2.39
Linear,core,8,4096,3.38
Linear,core,8,8192,4.99
Linear,core,8,16384,8.41
Linear,core,8,32768,14.78
Linear,core,8,65536,28.49
Linear,core,8,131072,56.28
Linear,core,8,262144,112.38
Linear,core,8,524288,227.42
Linear,core,8,1048576,439.92
Linear,core,12,1,0.83
Linear,core,12,2,0.89
Linear,core,12,4,0.85
Linear,core,12,8,0.85
Linear,core,12,16,0.85
Linear,core,12,32,1.15
Linear,core,12,64,1.06
Linear,core,12,128,1.75
Linear,core,12,256,1.81
Linear,core,12,512,1.74
Linear,core,12,1024,2.54
Linear,core,12,2048,3.24
Linear,core,12,4096,4.56
Linear,core,12,8192,7.38
Linear,core,12,16384,11.30
Linear,core,12,32768,21.44
Linear,core,12,65536,41.60
Linear,core,12,131072,82.17
Linear,core,12,262144,163.41
Linear,core,12,524288,332.84
Linear,core,12,1048576,645.81
Linear,core,14,1,1.02
Linear,core,14,2,0.85
Linear,core,14,4,0.84
Linear,core,14,8,0.84
Linear,core,14,16,0.84
Linear,core,14,32,1.11
Linear,core,14,64,1.09
Linear,core,14,128,1.79
Linear,core,14,256,1.86
Linear,core,14,512,1.95
Linear,core,14,1024,2.57
Linear,core,14,2048,3.43
Linear,core,14,4096,5.18
Linear,core,14,8192,7.79
Linear,core,14,16384,11.34
Linear,core,14,32768,20.81
Linear,core,14,65536,39.14
Linear,core,14,131072,76.37
Linear,core,14,262144,150.30
Linear,core,14,524288,278.99
Linear,core,14,1048576,538.04
Linear,core,16,1,1.75
