Algorithm,Allocation,Processes,MessageSize,Latency
BinaryTree,core,2,1,0.20
BinaryTree,core,2,2,0.21
BinaryTree,core,2,4,0.20
BinaryTree,core,2,8,0.20
BinaryTree,core,2,16,0.22
BinaryTree,core,2,32,0.26
BinaryTree,core,2,64,0.25
BinaryTree,core,2,128,0.31
BinaryTree,core,2,256,0.34
BinaryTree,core,2,512,0.35
BinaryTree,core,2,1024,0.43
BinaryTree,core,2,2048,0.57
BinaryTree,core,2,4096,0.84
BinaryTree,core,2,8192,1.36
BinaryTree,core,2,16384,3.12
BinaryTree,core,2,32768,5.22
BinaryTree,core,2,65536,6.74
BinaryTree,core,2,131072,9.98
BinaryTree,core,2,262144,16.62
BinaryTree,core,2,524288,30.55
BinaryTree,core,2,1048576,63.21
BinaryTree,core,4,1,0.34
BinaryTree,core,4,2,0.34
BinaryTree,core,4,4,0.34
BinaryTree,core,4,8,0.33
BinaryTree,core,4,16,0.34
BinaryTree,core,4,32,0.39
BinaryTree,core,4,64,0.39
BinaryTree,core,4,128,0.53
BinaryTree,core,4,256,0.58
BinaryTree,core,4,512,0.64
BinaryTree,core,4,1024,0.84
BinaryTree,core,4,2048,1.14
BinaryTree,core,4,4096,1.75
BinaryTree,core,4,8192,2.78
BinaryTree,core,4,16384,6.78
BinaryTree,core,4,32768,11.29
BinaryTree,core,4,65536,16.32
BinaryTree,core,4,131072,27.92
BinaryTree,core,4,262144,49.19
BinaryTree,core,4,524288,91.38
BinaryTree,core,4,1048576,184.59
BinaryTree,core,6,1,0.51
BinaryTree,core,6,2,0.51
BinaryTree,core,6,4,0.52
BinaryTree,core,6,8,0.52
BinaryTree,core,6,16,0.51
BinaryTree,core,6,32,0.60
BinaryTree,core,6,64,0.59
BinaryTree,core,6,128,0.83
BinaryTree,core,6,256,0.90
BinaryTree,core,6,512,0.94
BinaryTree,core,6,1024,1.22
BinaryTree,core,6,2048,1.68
BinaryTree,core,6,4096,2.44
BinaryTree,core,6,8192,3.77
BinaryTree,core,6,16384,9.63
