Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,2,1,0.21
Default,core,2,2,0.21
Default,core,2,4,0.21
Default,core,2,8,0.21
Default,core,2,16,0.20
Default,core,2,32,0.26
Default,core,2,64,0.27
Default,core,2,128,0.33
Default,core,2,256,0.34
Default,core,2,512,0.40
Default,core,2,1024,0.42
Default,core,2,2048,0.53
Default,core,2,4096,0.84
Default,core,2,8192,1.35
Default,core,2,16384,3.11
Default,core,2,32768,5.29
Default,core,2,65536,6.64
Default,core,2,131072,9.69
Default,core,2,262144,15.73
Default,core,2,524288,28.67
Default,core,2,1048576,60.09
Default,core,4,1,0.30
Default,core,4,2,0.30
Default,core,4,4,0.30
Default,core,4,8,0.30
Default,core,4,16,0.31
Default,core,4,32,0.36
Default,core,4,64,0.35
Default,core,4,128,0.51
Default,core,4,256,0.56
Default,core,4,512,0.64
Default,core,4,1024,0.83
Default,core,4,2048,1.14
Default,core,4,4096,1.73
Default,core,4,8192,2.55
Default,core,4,16384,5.37
Default,core,4,32768,8.63
Default,core,4,65536,14.57
Default,core,4,131072,26.68
Default,core,4,262144,51.87
Default,core,4,524288,102.43
Default,core,4,1048576,236.33
Default,core,6,1,0.79
Default,core,6,2,0.61
Default,core,6,4,0.55
Default,core,6,8,0.50
Default,core,6,16,0.49
Default,core,6,32,0.58
Default,core,6,64,0.52
Default,core,6,128,0.80
Default,core,6,256,0.85
Default,core,6,512,0.92
Default,core,6,1024,1.20
Default,core,6,2048,1.57
Default,core,6,4096,2.37
Default,core,6,8192,3.55
Default,core,6,16384,6.88
Default,core,6,32768,11.67
Default,core,6,65536,21.91
Default,core,6,131072,42.51
Default,core,6,262144,84.45
Default,core,6,524288,171.60
Default,core,6,1048576,414.55
Default,core,8,1,0.57
Default,core,8,2,0.58
Default,core,8,4,0.60
Default,core,8,8,0.66
Default,core,8,16,0.65
Default,core,8,32,0.82
Default,core,8,64,0.72
Default,core,8,128,1.14
Default,core,8,256,1.15
Default,core,8,512,1.25
Default,core,8,1024,1.50
Default,core,8,2048,2.08
Default,core,8,4096,3.05
Default,core,8,8192,4.61
Default,core,8,16384,11.03
Default,core,8,32768,14.82
Default,core,8,65536,28.64
Default,core,8,131072,56.54
Default,core,8,262144,112.09
Default,core,8,524288,225.41
Default,core,8,1048576,430.34
Default,core,10,1,0.76
Default,core,10,2,0.77
Default,core,10,4,0.77
Default,core,10,8,0.84
Default,core,10,16,0.84
Default,core,10,32,0.99
Default,core,10,64,0.84
Default,core,10,128,1.35
Default,core,10,256,1.40
Default,core,10,512,1.46
Default,core,10,1024,1.80
Default,core,10,2048,2.33
Default,core,10,4096,3.41
Default,core,10,8192,5.43
Default,core,10,16384,11.64
Default,core,10,32768,17.95
Default,core,10,65536,35.69
Default,core,10,131072,70.21
Default,core,10,262144,139.17
Default,core,10,524288,279.80
Default,core,10,1048576,507.84
Default,core,12,1,0.76
Default,core,12,2,0.74
Default,core,12,4,0.73
Default,core,12,8,0.95
Default,core,12,16,0.93
Default,core,12,32,1.10
Default,core,12,64,0.86
Default,core,12,128,1.31
Default,core,12,256,1.37
Default,core,12,512,1.45
Default,core,12,1024,1.84
Default,core,12,2048,2.42
Default,core,12,4096,3.76
Default,core,12,8192,6.03
Default,core,12,16384,12.08
Default,core,12,32768,20.63
Default,core,12,65536,41.35
Default,core,12,131072,82.53
Default,core,12,262144,136.25
Default,core,12,524288,287.84
Default,core,12,1048576,584.52
Default,core,14,1,0.81
Default,core,14,2,0.83
Default,core,14,4,0.83
Default,core,14,8,0.93
Default,core,14,16,0.93
Default,core,14,32,1.12
Default,core,14,64,0.93
Default,core,14,128,1.44
Default,core,14,256,1.50
Default,core,14,512,1.67
Default,core,14,1024,2.09
Default,core,14,2048,3.06
Default,core,14,4096,4.79
Default,core,14,8192,7.10
Default,core,14,16384,14.53
Default,core,14,32768,29.03
Default,core,14,65536,59.02
Default,core,14,131072,119.28
Default,core,14,262144,240.83
Default,core,14,524288,484.07
Default,core,14,1048576,792.08
Default,core,16,1,1.18
Default,core,16,2,1.19
Default,core,16,4,1.20
Default,core,16,8,1.20
Default,core,16,16,1.19
Default,core,16,32,1.37
Default,core,16,64,1.35
Default,core,16,128,2.24
Default,core,16,256,2.31
Default,core,16,512,2.42
Default,core,16,1024,2.97
Default,core,16,2048,3.83
Default,core,16,4096,5.08
Default,core,16,8192,7.55
Default,core,16,16384,16.95
Default,core,16,32768,28.45
Default,core,16,65536,52.16
Default,core,16,131072,98.30
Default,core,16,262144,199.69
Default,core,16,524288,398.63
Default,core,16,1048576,491.66
Default,core,18,1,2.30
Default,core,18,2,2.29
Default,core,18,4,2.29
Default,core,18,8,2.29
Default,core,18,16,2.31
Default,core,18,32,2.52
Default,core,18,64,2.49
Default,core,18,128,3.67
Default,core,18,256,3.74
Default,core,18,512,3.93
Default,core,18,1024,4.63
Default,core,18,2048,5.89
Default,core,18,4096,6.40
Default,core,18,8192,9.05
Default,core,18,16384,20.71
Default,core,18,32768,35.07
Default,core,18,65536,67.69
Default,core,18,131072,131.29
Default,core,18,262144,254.59
Default,core,18,524288,515.00
Default,core,18,1048576,892.66
Default,core,20,1,1.96
Default,core,20,2,1.97
Default,core,20,4,1.99
Default,core,20,8,1.97
Default,core,20,16,1.95
Default,core,20,32,2.19
Default,core,20,64,2.17
Default,core,20,128,3.47
Default,core,20,256,3.72
Default,core,20,512,3.66
Default,core,20,1024,4.41
Default,core,20,2048,5.58
Default,core,20,4096,6.52
