Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,2,1,0.21
Linear,core,2,2,0.22
Linear,core,2,4,0.21
Linear,core,2,8,0.21
Linear,core,2,16,0.21
Linear,core,2,32,0.26
Linear,core,2,64,0.26
Linear,core,2,128,0.32
Linear,core,2,256,0.34
Linear,core,2,512,0.38
Linear,core,2,1024,0.43
Linear,core,2,2048,0.56
Linear,core,2,4096,0.85
Linear,core,2,8192,1.36
Linear,core,2,16384,3.07
Linear,core,2,32768,5.24
Linear,core,2,65536,6.66
Linear,core,2,131072,9.67
Linear,core,2,262144,15.83
Linear,core,2,524288,28.87
Linear,core,2,1048576,59.58
Linear,core,4,1,0.19
Linear,core,4,2,0.19
Linear,core,4,4,0.19
Linear,core,4,8,0.19
Linear,core,4,16,0.19
Linear,core,4,32,0.25
Linear,core,4,64,0.24
Linear,core,4,128,0.42
Linear,core,4,256,0.45
Linear,core,4,512,0.53
Linear,core,4,1024,0.72
Linear,core,4,2048,1.03
Linear,core,4,4096,1.66
Linear,core,4,8192,2.53
Linear,core,4,16384,5.81
Linear,core,4,32768,9.10
Linear,core,4,65536,15.26
Linear,core,4,131072,27.85
Linear,core,4,262144,54.61
Linear,core,4,524288,108.22
Linear,core,4,1048576,209.97
Linear,core,6,1,0.29
Linear,core,6,2,0.30
Linear,core,6,4,0.30
Linear,core,6,8,0.30
Linear,core,6,16,0.30
Linear,core,6,32,0.41
Linear,core,6,64,0.39
Linear,core,6,128,0.66
Linear,core,6,256,0.71
Linear,core,6,512,0.73
Linear,core,6,1024,1.04
Linear,core,6,2048,1.60
Linear,core,6,4096,2.54
Linear,core,6,8192,3.83
Linear,core,6,16384,6.91
Linear,core,6,32768,11.82
Linear,core,6,65536,22.46
Linear,core,6,131072,43.22
Linear,core,6,262144,85.33
Linear,core,6,524288,172.92
Linear,core,6,1048576,330.84
Linear,core,8,1,0.65
Linear,core,8,2,0.71
Linear,core,8,4,0.67
Linear,core,8,8,0.65
Linear,core,8,16,0.66
Linear,core,8,32,0.88
Linear,core,8,64,0.86
Linear,core,8,128,1.32
Linear,core,8,256,1.36
Linear,core,8,512,1.38
Linear,core,8,1024,1.76
Linear,core,8,2048,2.34
Linear,core,8,4096,3.34
Linear,core,8,8192,4.90
Linear,core,8,16384,8.20
Linear,core,8,32768,14.53
Linear,core,8,65536,28.70
Linear,core,8,131072,56.51
Linear,core,8,262144,111.96
Linear,core,8,524288,225.82
Linear,core,8,1048576,429.02
Linear,core,10,1,1.58
Linear,core,10,2,1.00
Linear,core,10,4,0.83
Linear,core,10,8,0.81
Linear,core,10,16,0.80
Linear,core,10,32,0.98
Linear,core,10,64,0.92
Linear,core,10,128,1.49
Linear,core,10,256,1.54
Linear,core,10,512,1.53
Linear,core,10,1024,2.17
Linear,core,10,2048,2.75
Linear,core,10,4096,4.08
Linear,core,10,8192,6.07
Linear,core,10,16384,9.68
Linear,core,10,32768,17.70
Linear,core,10,65536,34.79
Linear,core,10,131072,69.00
Linear,core,10,262144,138.83
Linear,core,10,524288,279.98
Linear,core,10,1048576,527.02
Linear,core,12,1,0.87
Linear,core,12,2,0.93
Linear,core,12,4,0.87
Linear,core,12,8,0.88
Linear,core,12,16,0.86
Linear,core,12,32,1.14
Linear,core,12,64,1.05
Linear,core,12,128,1.78
Linear,core,12,256,1.83
Linear,core,12,512,1.78
Linear,core,12,1024,2.53
Linear,core,12,2048,3.29
Linear,core,12,4096,4.61
Linear,core,12,8192,6.95
Linear,core,12,16384,11.26
Linear,core,12,32768,21.62
Linear,core,12,65536,42.76
Linear,core,12,131072,83.86
Linear,core,12,262144,166.84
Linear,core,12,524288,337.42
Linear,core,12,1048576,642.24
Linear,core,14,1,0.92
Linear,core,14,2,0.94
Linear,core,14,4,0.93
Linear,core,14,8,0.93
Linear,core,14,16,0.92
Linear,core,14,32,1.22
Linear,core,14,64,1.13
Linear,core,14,128,2.10
Linear,core,14,256,2.16
Linear,core,14,512,2.33
Linear,core,14,1024,3.20
Linear,core,14,2048,3.94
Linear,core,14,4096,5.75
Linear,core,14,8192,8.52
Linear,core,14,16384,14.56
Linear,core,14,32768,28.87
Linear,core,14,65536,59.08
Linear,core,14,131072,108.90
Linear,core,14,262144,197.41
Linear,core,14,524288,405.52
Linear,core,14,1048576,805.67
Linear,core,16,1,1.49
Linear,core,16,2,1.51
Linear,core,16,4,1.49
Linear,core,16,8,1.50
Linear,core,16,16,1.50
Linear,core,16,32,1.78
Linear,core,16,64,1.72
Linear,core,16,128,3.28
Linear,core,16,256,3.54
Linear,core,16,512,3.61
Linear,core,16,1024,4.53
Linear,core,16,2048,5.51
Linear,core,16,4096,7.79
Linear,core,16,8192,11.27
Linear,core,16,16384,15.93
Linear,core,16,32768,33.27
Linear,core,16,65536,68.85
Linear,core,16,131072,141.20
Linear,core,16,262144,288.07
Linear,core,16,524288,584.56
Linear,core,16,1048576,1003.99
Linear,core,18,1,2.25
Linear,core,18,2,2.29
Linear,core,18,4,2.27
Linear,core,18,8,2.26
Linear,core,18,16,2.27
Linear,core,18,32,2.68
Linear,core,18,64,2.58
Linear,core,18,128,4.11
Linear,core,18,256,4.03
Linear,core,18,512,4.09
Linear,core,18,1024,5.57
Linear,core,18,2048,6.68
Linear,core,18,4096,9.25
Linear,core,18,8192,13.39
Linear,core,18,16384,18.84
Linear,core,18,32768,37.88
Linear,core,18,65536,79.98
Linear,core,18,131072,163.23
Linear,core,18,262144,331.03
Linear,core,18,524288,674.07
Linear,core,18,1048576,1245.44
Linear,core,20,1,2.93
Linear,core,20,2,2.40
