Algorithm,Allocation,Processes,MessageSize,Latency
BinaryTree,core,2,1,0.23
BinaryTree,core,2,2,0.20
BinaryTree,core,2,4,0.20
BinaryTree,core,2,8,0.20
BinaryTree,core,2,16,0.20
BinaryTree,core,2,32,0.24
BinaryTree,core,2,64,0.26
BinaryTree,core,2,128,0.32
BinaryTree,core,2,256,0.33
BinaryTree,core,2,512,0.37
BinaryTree,core,2,1024,0.43
BinaryTree,core,2,2048,0.55
BinaryTree,core,2,4096,0.85
BinaryTree,core,2,8192,1.36
BinaryTree,core,2,16384,3.14
BinaryTree,core,2,32768,5.20
BinaryTree,core,2,65536,6.68
BinaryTree,core,2,131072,9.64
BinaryTree,core,2,262144,15.93
BinaryTree,core,2,524288,28.88
BinaryTree,core,2,1048576,59.59
BinaryTree,core,3,1,0.39
BinaryTree,core,3,2,0.40
BinaryTree,core,3,4,0.40
BinaryTree,core,3,8,0.39
BinaryTree,core,3,16,0.39
BinaryTree,core,3,32,0.43
BinaryTree,core,3,64,0.42
BinaryTree,core,3,128,0.53
BinaryTree,core,3,256,0.59
BinaryTree,core,3,512,0.61
BinaryTree,core,3,1024,0.80
BinaryTree,core,3,2048,0.99
BinaryTree,core,3,4096,1.47
BinaryTree,core,3,8192,2.20
BinaryTree,core,3,16384,4.35
BinaryTree,core,3,32768,7.43
BinaryTree,core,3,65536,10.75
BinaryTree,core,3,131072,18.37
BinaryTree,core,3,262144,30.54
BinaryTree,core,3,524288,57.44
BinaryTree,core,3,1048576,116.95
BinaryTree,core,4,1,0.32
BinaryTree,core,4,2,0.33
BinaryTree,core,4,4,0.32
BinaryTree,core,4,8,0.33
BinaryTree,core,4,16,0.32
BinaryTree,core,4,32,0.39
BinaryTree,core,4,64,0.39
BinaryTree,core,4,128,0.53
BinaryTree,core,4,256,0.56
BinaryTree,core,4,512,0.61
BinaryTree,core,4,1024,0.82
BinaryTree,core,4,2048,1.12
BinaryTree,core,4,4096,1.73
