Algorithm,Allocation,Processes,MessageSize,Latency
Chain,core,2,1,0.20
Chain,core,2,2,0.20
Chain,core,2,4,0.21
Chain,core,2,8,0.20
Chain,core,2,16,0.20
Chain,core,2,32,0.26
Chain,core,2,64,0.27
Chain,core,2,128,0.32
Chain,core,2,256,0.33
Chain,core,2,512,0.37
Chain,core,2,1024,0.44
Chain,core,2,2048,0.55
Chain,core,2,4096,0.91
Chain,core,2,8192,1.44
Chain,core,2,16384,3.10
Chain,core,2,32768,5.27
Chain,core,2,65536,6.78
Chain,core,2,131072,9.91
Chain,core,2,262144,16.70
Chain,core,2,524288,30.19
Chain,core,2,1048576,62.52
Chain,core,3,1,0.40
Chain,core,3,2,0.40
Chain,core,3,4,0.40
Chain,core,3,8,0.40
Chain,core,3,16,0.40
Chain,core,3,32,0.43
Chain,core,3,64,0.44
Chain,core,3,128,0.51
Chain,core,3,256,0.55
Chain,core,3,512,0.59
Chain,core,3,1024,0.78
Chain,core,3,2048,0.97
Chain,core,3,4096,1.45
Chain,core,3,8192,2.16
Chain,core,3,16384,4.88
Chain,core,3,32768,8.02
Chain,core,3,65536,12.30
Chain,core,3,131072,19.55
Chain,core,3,262144,34.49
Chain,core,3,524288,64.73
Chain,core,3,1048576,128.93
Chain,core,4,1,0.21
Chain,core,4,2,0.22
Chain,core,4,4,0.22
Chain,core,4,8,0.22
Chain,core,4,16,0.21
Chain,core,4,32,0.28
Chain,core,4,64,0.28
Chain,core,4,128,0.48
Chain,core,4,256,0.51
Chain,core,4,512,0.55
Chain,core,4,1024,0.74
Chain,core,4,2048,1.06
Chain,core,4,4096,1.68
Chain,core,4,8192,2.55
Chain,core,4,16384,5.53
Chain,core,4,32768,8.51
Chain,core,4,65536,14.22
Chain,core,4,131072,25.64
Chain,core,4,262144,48.56
Chain,core,4,524288,98.03
Chain,core,4,1048576,210.63
Chain,core,5,1,0.28
Chain,core,5,2,0.28
Chain,core,5,4,0.29
Chain,core,5,8,0.29
Chain,core,5,16,0.29
Chain,core,5,32,0.38
Chain,core,5,64,0.36
Chain,core,5,128,0.60
Chain,core,5,256,0.64
Chain,core,5,512,0.68
Chain,core,5,1024,0.92
Chain,core,5,2048,1.31
Chain,core,5,4096,2.04
Chain,core,5,8192,3.07
Chain,core,5,16384,6.18
Chain,core,5,32768,10.61
Chain,core,5,65536,19.49
Chain,core,5,131072,36.25
Chain,core,5,262144,71.42
Chain,core,5,524288,146.26
Chain,core,5,1048576,285.80
Chain,core,6,1,0.37
Chain,core,6,2,0.37
Chain,core,6,4,0.38
