Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,2,1,0.20
Default,core,2,2,0.20
Default,core,2,4,0.20
Default,core,2,8,0.20
Default,core,2,16,0.20
Default,core,2,32,0.27
Default,core,2,64,0.28
Default,core,2,128,0.31
Default,core,2,256,0.32
Default,core,2,512,0.36
Default,core,2,1024,0.41
Default,core,2,2048,0.52
Default,core,2,4096,0.83
Default,core,2,8192,1.32
Default,core,2,16384,3.10
Default,core,2,32768,5.25
Default,core,2,65536,6.83
Default,core,2,131072,9.94
Default,core,2,262144,16.50
Default,core,2,524288,30.05
Default,core,2,1048576,63.81
Default,core,3,1,0.52
Default,core,3,2,0.51
Default,core,3,4,0.52
Default,core,3,8,0.51
Default,core,3,16,0.52
Default,core,3,32,0.44
Default,core,3,64,0.45
Default,core,3,128,0.56
Default,core,3,256,0.73
Default,core,3,512,0.62
Default,core,3,1024,0.80
Default,core,3,2048,0.98
Default,core,3,4096,1.46
Default,core,3,8192,2.18
Default,core,3,16384,4.18
Default,core,3,32768,7.13
Default,core,3,65536,10.25
Default,core,3,131072,25.85
Default,core,3,262144,31.11
Default,core,3,524288,58.49
Default,core,3,1048576,120.28
Default,core,4,1,0.33
Default,core,4,2,0.33
Default,core,4,4,0.33
Default,core,4,8,0.33
Default,core,4,16,0.33
Default,core,4,32,0.40
Default,core,4,64,0.39
Default,core,4,128,0.53
Default,core,4,256,0.58
Default,core,4,512,0.62
Default,core,4,1024,0.82
Default,core,4,2048,1.16
Default,core,4,4096,1.78
Default,core,4,8192,2.56
Default,core,4,16384,5.75
Default,core,4,32768,9.18
Default,core,4,65536,15.35
Default,core,4,131072,27.55
Default,core,4,262144,54.01
Default,core,4,524288,108.72
Default,core,4,1048576,243.34
Default,core,5,1,0.44
Default,core,5,2,0.43
Default,core,5,4,0.43
Default,core,5,8,0.43
Default,core,5,16,0.43
Default,core,5,32,0.52
Default,core,5,64,0.40
Default,core,5,128,0.70
Default,core,5,256,0.75
Default,core,5,512,0.78
Default,core,5,1024,1.05
Default,core,5,2048,1.28
Default,core,5,4096,1.96
Default,core,5,8192,3.08
