Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,2,1,0.18
Linear,core,2,2,0.18
Linear,core,2,4,0.18
Linear,core,2,8,0.18
Linear,core,2,16,0.18
Linear,core,2,32,0.22
Linear,core,2,64,0.25
Linear,core,2,128,0.30
Linear,core,2,256,0.32
Linear,core,2,512,0.34
Linear,core,2,1024,0.41
Linear,core,2,2048,0.53
Linear,core,2,4096,0.83
Linear,core,2,8192,1.34
Linear,core,2,16384,3.05
Linear,core,2,32768,5.12
Linear,core,2,65536,6.64
Linear,core,2,131072,9.82
Linear,core,2,262144,15.93
Linear,core,2,524288,29.20
Linear,core,2,1048576,63.11
Linear,core,3,1,0.37
Linear,core,3,2,0.38
Linear,core,3,4,0.37
Linear,core,3,8,0.38
Linear,core,3,16,0.38
Linear,core,3,32,0.41
Linear,core,3,64,0.41
Linear,core,3,128,0.53
Linear,core,3,256,0.54
Linear,core,3,512,0.58
Linear,core,3,1024,0.75
Linear,core,3,2048,0.96
Linear,core,3,4096,1.43
Linear,core,3,8192,2.15
Linear,core,3,16384,4.60
Linear,core,3,32768,7.53
Linear,core,3,65536,11.47
Linear,core,3,131072,18.17
Linear,core,3,262144,31.88
Linear,core,3,524288,59.60
Linear,core,3,1048576,120.77
Linear,core,4,1,0.18
Linear,core,4,2,0.19
Linear,core,4,4,0.20
Linear,core,4,8,0.19
Linear,core,4,16,0.20
Linear,core,4,32,0.27
Linear,core,4,64,0.28
Linear,core,4,128,0.42
Linear,core,4,256,0.45
Linear,core,4,512,0.53
Linear,core,4,1024,0.72
Linear,core,4,2048,1.04
Linear,core,4,4096,1.66
Linear,core,4,8192,2.54
Linear,core,4,16384,5.45
Linear,core,4,32768,8.75
Linear,core,4,65536,14.98
Linear,core,4,131072,26.89
Linear,core,4,262144,53.50
Linear,core,4,524288,107.43
Linear,core,4,1048576,219.54
Linear,core,5,1,0.24
Linear,core,5,2,0.25
Linear,core,5,4,0.25
Linear,core,5,8,0.25
Linear,core,5,16,0.25
Linear,core,5,32,0.32
Linear,core,5,64,0.31
Linear,core,5,128,0.53
Linear,core,5,256,0.61
Linear,core,5,512,0.64
Linear,core,5,1024,0.89
Linear,core,5,2048,1.27
Linear,core,5,4096,2.02
Linear,core,5,8192,3.06
Linear,core,5,16384,5.90
Linear,core,5,32768,10.00
Linear,core,5,65536,18.46
Linear,core,5,131072,34.07
Linear,core,5,262144,66.78
Linear,core,5,524288,136.91
Linear,core,5,1048576,272.75
Linear,core,6,1,0.30
Linear,core,6,2,0.32
Linear,core,6,4,0.30
Linear,core,6,8,0.31
Linear,core,6,16,0.31
Linear,core,6,32,0.43
Linear,core,6,64,0.41
Linear,core,6,128,0.66
Linear,core,6,256,0.71
Linear,core,6,512,0.76
Linear,core,6,1024,1.07
Linear,core,6,2048,1.49
Linear,core,6,4096,2.37
Linear,core,6,8192,3.57
Linear,core,6,16384,6.91
Linear,core,6,32768,12.06
Linear,core,6,65536,22.41
Linear,core,6,131072,43.01
Linear,core,6,262144,84.17
Linear,core,6,524288,163.95
Linear,core,6,1048576,304.09
Linear,core,7,1,0.35
Linear,core,7,2,0.35
Linear,core,7,4,0.35
Linear,core,7,8,0.35
Linear,core,7,16,0.35
Linear,core,7,32,0.49
Linear,core,7,64,0.45
Linear,core,7,128,0.79
Linear,core,7,256,0.85
Linear,core,7,512,0.88
Linear,core,7,1024,1.23
Linear,core,7,2048,1.75
Linear,core,7,4096,2.71
Linear,core,7,8192,4.06
Linear,core,7,16384,7.86
Linear,core,7,32768,13.00
Linear,core,7,65536,24.45
Linear,core,7,131072,48.72
Linear,core,7,262144,96.22
Linear,core,7,524288,195.22
Linear,core,7,1048576,363.27
Linear,core,8,1,0.64
Linear,core,8,2,0.64
Linear,core,8,4,0.65
Linear,core,8,8,0.64
Linear,core,8,16,0.65
Linear,core,8,32,0.79
Linear,core,8,64,0.78
Linear,core,8,128,1.33
Linear,core,8,256,1.39
Linear,core,8,512,1.37
Linear,core,8,1024,1.75
Linear,core,8,2048,2.36
Linear,core,8,4096,3.34
Linear,core,8,8192,4.94
Linear,core,8,16384,8.09
Linear,core,8,32768,14.54
Linear,core,8,65536,28.37
Linear,core,8,131072,56.58
Linear,core,8,262144,111.87
Linear,core,8,524288,228.02
Linear,core,8,1048576,418.48
Linear,core,9,1,0.83
Linear,core,9,2,0.84
Linear,core,9,4,0.86
Linear,core,9,8,0.83
Linear,core,9,16,0.84
Linear,core,9,32,0.97
Linear,core,9,64,0.94
Linear,core,9,128,1.44
Linear,core,9,256,1.47
Linear,core,9,512,1.49
Linear,core,9,1024,2.01
Linear,core,9,2048,2.53
Linear,core,9,4096,3.62
Linear,core,9,8192,5.47
Linear,core,9,16384,9.18
Linear,core,9,32768,16.15
Linear,core,9,65536,31.65
Linear,core,9,131072,62.99
Linear,core,9,262144,125.35
Linear,core,9,524288,227.87
Linear,core,9,1048576,441.69
Linear,core,10,1,0.87
Linear,core,10,2,0.88
Linear,core,10,4,0.87
Linear,core,10,8,0.86
Linear,core,10,16,0.86
Linear,core,10,32,1.04
Linear,core,10,64,0.97
Linear,core,10,128,1.57
Linear,core,10,256,1.65
Linear,core,10,512,1.60
Linear,core,10,1024,2.24
Linear,core,10,2048,2.81
Linear,core,10,4096,4.07
Linear,core,10,8192,6.07
Linear,core,10,16384,10.07
Linear,core,10,32768,17.28
Linear,core,10,65536,34.89
Linear,core,10,131072,70.91
Linear,core,10,262144,141.25
Linear,core,10,524288,283.80
Linear,core,10,1048576,439.18
Linear,core,11,1,0.87
Linear,core,11,2,0.86
Linear,core,11,4,0.86
Linear,core,11,8,0.83
Linear,core,11,16,0.84
Linear,core,11,32,1.05
Linear,core,11,64,0.94
Linear,core,11,128,1.62
Linear,core,11,256,1.68
Linear,core,11,512,1.64
Linear,core,11,1024,2.35
Linear,core,11,2048,2.99
Linear,core,11,4096,4.34
Linear,core,11,8192,6.43
Linear,core,11,16384,11.33
Linear,core,11,32768,19.74
Linear,core,11,65536,38.38
Linear,core,11,131072,74.96
Linear,core,11,262144,150.88
Linear,core,11,524288,304.72
Linear,core,11,1048576,586.28
Linear,core,12,1,1.02
Linear,core,12,2,1.01
Linear,core,12,4,0.99
Linear,core,12,8,1.00
Linear,core,12,16,0.99
Linear,core,12,32,1.25
Linear,core,12,64,1.12
Linear,core,12,128,1.76
Linear,core,12,256,1.82
Linear,core,12,512,1.77
Linear,core,12,1024,2.54
Linear,core,12,2048,3.24
Linear,core,12,4096,4.69
Linear,core,12,8192,6.90
Linear,core,12,16384,11.27
Linear,core,12,32768,20.93
Linear,core,12,65536,41.38
Linear,core,12,131072,81.37
Linear,core,12,262144,136.46
Linear,core,12,524288,290.72
Linear,core,12,1048576,589.10
Linear,core,13,1,0.88
Linear,core,13,2,0.88
Linear,core,13,4,0.88
Linear,core,13,8,0.90
Linear,core,13,16,0.90
Linear,core,13,32,1.11
Linear,core,13,64,1.03
Linear,core,13,128,1.84
Linear,core,13,256,1.90
Linear,core,13,512,1.89
Linear,core,13,1024,2.89
Linear,core,13,2048,3.48
Linear,core,13,4096,5.15
Linear,core,13,8192,7.61
Linear,core,13,16384,13.81
Linear,core,13,32768,25.88
Linear,core,13,65536,51.37
Linear,core,13,131072,103.40
Linear,core,13,262144,206.21
Linear,core,13,524288,410.23
Linear,core,13,1048576,792.02
Linear,core,14,1,0.93
Linear,core,14,2,0.95
Linear,core,14,4,0.94
Linear,core,14,8,0.93
Linear,core,14,16,0.93
Linear,core,14,32,1.17
Linear,core,14,64,1.10
Linear,core,14,128,2.09
Linear,core,14,256,2.14
Linear,core,14,512,2.23
Linear,core,14,1024,3.22
Linear,core,14,2048,3.93
Linear,core,14,4096,5.74
Linear,core,14,8192,8.52
Linear,core,14,16384,15.29
Linear,core,14,32768,27.91
Linear,core,14,65536,59.05
Linear,core,14,131072,123.95
Linear,core,14,262144,205.18
Linear,core,14,524288,394.80
Linear,core,14,1048576,833.84
Linear,core,15,1,0.98
Linear,core,15,2,0.99
Linear,core,15,4,1.00
Linear,core,15,8,0.97
Linear,core,15,16,0.97
Linear,core,15,32,1.23
Linear,core,15,64,1.15
Linear,core,15,128,2.29
Linear,core,15,256,2.35
Linear,core,15,512,2.60
Linear,core,15,1024,3.46
Linear,core,15,2048,4.34
Linear,core,15,4096,6.37
Linear,core,15,8192,9.43
Linear,core,15,16384,15.32
Linear,core,15,32768,30.23
Linear,core,15,65536,64.26
Linear,core,15,131072,132.57
Linear,core,15,262144,269.22
Linear,core,15,524288,548.14
Linear,core,15,1048576,1009.01
Linear,core,16,1,1.52
Linear,core,16,2,1.58
Linear,core,16,4,1.56
Linear,core,16,8,1.54
Linear,core,16,16,1.56
Linear,core,16,32,1.85
Linear,core,16,64,1.77
Linear,core,16,128,3.36
Linear,core,16,256,3.78
Linear,core,16,512,3.56
Linear,core,16,1024,4.61
Linear,core,16,2048,5.55
Linear,core,16,4096,7.85
Linear,core,16,8192,11.34
Linear,core,16,16384,16.77
Linear,core,16,32768,33.43
Linear,core,16,65536,69.50
Linear,core,16,131072,141.50
Linear,core,16,262144,288.90
Linear,core,16,524288,578.18
Linear,core,16,1048576,1105.03
Linear,core,17,1,2.53
Linear,core,17,2,2.49
Linear,core,17,4,2.49
Linear,core,17,8,2.50
Linear,core,17,16,2.50
Linear,core,17,32,2.77
Linear,core,17,64,2.64
Linear,core,17,128,3.69
Linear,core,17,256,3.60
Linear,core,17,512,3.71
Linear,core,17,1024,4.92
Linear,core,17,2048,5.86
Linear,core,17,4096,8.22
Linear,core,17,8192,11.95
Linear,core,17,16384,20.03
Linear,core,17,32768,36.70
Linear,core,17,65536,76.70
Linear,core,17,131072,159.64
Linear,core,17,262144,324.53
Linear,core,17,524288,648.17
Linear,core,17,1048576,1205.70
Linear,core,18,1,2.24
Linear,core,18,2,2.27
Linear,core,18,4,2.24
Linear,core,18,8,2.22
Linear,core,18,16,2.24
Linear,core,18,32,2.63
Linear,core,18,64,2.51
Linear,core,18,128,3.89
Linear,core,18,256,3.91
Linear,core,18,512,4.12
Linear,core,18,1024,5.56
Linear,core,18,2048,6.61
Linear,core,18,4096,9.27
Linear,core,18,8192,13.34
Linear,core,18,16384,21.05
Linear,core,18,32768,39.65
Linear,core,18,65536,80.90
Linear,core,18,131072,167.70
Linear,core,18,262144,341.57
Linear,core,18,524288,682.86
Linear,core,18,1048576,1305.44
Linear,core,19,1,2.35
Linear,core,19,2,2.31
Linear,core,19,4,2.29
Linear,core,19,8,2.29
Linear,core,19,16,2.30
Linear,core,19,32,2.75
Linear,core,19,64,2.61
Linear,core,19,128,4.51
Linear,core,19,256,4.35
Linear,core,19,512,4.53
Linear,core,19,1024,6.03
Linear,core,19,2048,7.24
Linear,core,19,4096,10.14
Linear,core,19,8192,14.57
Linear,core,19,16384,20.96
Linear,core,19,32768,41.31
