Algorithm,Allocation,Processes,MessageSize,Latency
BinaryTree,core,2,1,0.21
BinaryTree,core,2,2,0.20
BinaryTree,core,2,4,0.20
BinaryTree,core,2,8,0.20
BinaryTree,core,2,16,0.20
BinaryTree,core,2,32,0.25
BinaryTree,core,2,64,0.25
BinaryTree,core,2,128,0.32
BinaryTree,core,2,256,0.34
BinaryTree,core,2,512,0.38
BinaryTree,core,2,1024,0.44
BinaryTree,core,2,2048,0.55
BinaryTree,core,2,4096,0.84
BinaryTree,core,2,8192,1.36
BinaryTree,core,2,16384,3.11
BinaryTree,core,2,32768,5.28
BinaryTree,core,2,65536,6.73
BinaryTree,core,2,131072,9.84
BinaryTree,core,2,262144,16.32
BinaryTree,core,2,524288,29.81
BinaryTree,core,2,1048576,62.40
BinaryTree,core,4,1,0.32
BinaryTree,core,4,2,0.32
BinaryTree,core,4,4,0.32
BinaryTree,core,4,8,0.32
BinaryTree,core,4,16,0.33
BinaryTree,core,4,32,0.38
BinaryTree,core,4,64,0.37
BinaryTree,core,4,128,0.52
BinaryTree,core,4,256,0.56
BinaryTree,core,4,512,0.63
BinaryTree,core,4,1024,0.82
BinaryTree,core,4,2048,1.12
BinaryTree,core,4,4096,1.73
BinaryTree,core,4,8192,2.72
BinaryTree,core,4,16384,6.88
BinaryTree,core,4,32768,11.53
BinaryTree,core,4,65536,16.83
BinaryTree,core,4,131072,27.29
BinaryTree,core,4,262144,48.35
BinaryTree,core,4,524288,91.20
BinaryTree,core,4,1048576,183.52
BinaryTree,core,8,1,0.72
BinaryTree,core,8,2,0.71
BinaryTree,core,8,4,0.71
BinaryTree,core,8,8,0.70
BinaryTree,core,8,16,0.71
BinaryTree,core,8,32,0.87
BinaryTree,core,8,64,0.87
BinaryTree,core,8,128,1.18
BinaryTree,core,8,256,1.23
BinaryTree,core,8,512,1.35
BinaryTree,core,8,1024,1.58
BinaryTree,core,8,2048,2.08
BinaryTree,core,8,4096,3.05
BinaryTree,core,8,8192,4.61
BinaryTree,core,8,16384,11.87
BinaryTree,core,8,32768,17.53
BinaryTree,core,8,65536,29.13
BinaryTree,core,8,131072,52.38
BinaryTree,core,8,262144,98.95
BinaryTree,core,8,524288,189.57
BinaryTree,core,8,1048576,367.11
BinaryTree,core,12,1,0.91
BinaryTree,core,12,2,0.92
BinaryTree,core,12,4,0.91
BinaryTree,core,12,8,0.91
BinaryTree,core,12,16,0.91
BinaryTree,core,12,32,1.09
BinaryTree,core,12,64,1.06
BinaryTree,core,12,128,1.42
BinaryTree,core,12,256,1.47
BinaryTree,core,12,512,1.58
BinaryTree,core,12,1024,1.97
BinaryTree,core,12,2048,2.61
BinaryTree,core,12,4096,3.94
BinaryTree,core,12,8192,5.85
BinaryTree,core,12,16384,15.18
BinaryTree,core,12,32768,22.73
BinaryTree,core,12,65536,37.53
BinaryTree,core,12,131072,65.87
BinaryTree,core,12,262144,122.49
BinaryTree,core,12,524288,236.24
BinaryTree,core,12,1048576,479.05
BinaryTree,core,16,1,1.24
BinaryTree,core,16,2,1.24
BinaryTree,core,16,4,1.23
BinaryTree,core,16,8,1.23
BinaryTree,core,16,16,1.22
BinaryTree,core,16,32,1.46
BinaryTree,core,16,64,1.46
BinaryTree,core,16,128,2.17
BinaryTree,core,16,256,2.23
BinaryTree,core,16,512,2.80
BinaryTree,core,16,1024,2.86
BinaryTree,core,16,2048,3.79
BinaryTree,core,16,4096,5.47
BinaryTree,core,16,8192,8.20
BinaryTree,core,16,16384,18.81
BinaryTree,core,16,32768,30.01
BinaryTree,core,16,65536,51.93
BinaryTree,core,16,131072,93.85
BinaryTree,core,16,262144,182.51
BinaryTree,core,16,524288,342.74
BinaryTree,core,16,1048576,656.22
BinaryTree,core,20,1,2.10
BinaryTree,core,20,2,2.09
BinaryTree,core,20,4,2.06
BinaryTree,core,20,8,2.10
BinaryTree,core,20,16,2.07
BinaryTree,core,20,32,2.38
BinaryTree,core,20,64,2.35
BinaryTree,core,20,128,3.35
BinaryTree,core,20,256,3.23
BinaryTree,core,20,512,3.30
BinaryTree,core,20,1024,3.89
BinaryTree,core,20,2048,4.80
BinaryTree,core,20,4096,6.93
BinaryTree,core,20,8192,10.13
BinaryTree,core,20,16384,23.13
BinaryTree,core,20,32768,36.11
BinaryTree,core,20,65536,63.37
BinaryTree,core,20,131072,116.35
BinaryTree,core,20,262144,224.79
BinaryTree,core,20,524288,434.40
BinaryTree,core,20,1048576,837.41
BinaryTree,core,24,1,2.02
BinaryTree,core,24,2,2.01
