Algorithm,Processes,AvgLatency(us),MinLatency,MaxLatency
Chain,2,0.21,0.11,0.31
Chain,3,0.40,0.17,0.66
Chain,4,0.22,0.22,0.22
Chain,5,0.29,0.28,0.29
Chain,6,0.34,0.25,0.51
Chain,7,0.49,0.31,0.71
Chain,8,1.03,0.75,1.25
Chain,9,1.17,0.54,1.49
Chain,10,1.59,0.78,2.24
Chain,11,0.90,0.30,1.54
Chain,12,1.49,0.83,2.07
Chain,13,0.95,0.22,1.93
Chain,14,0.99,0.28,2.82
Chain,15,1.00,0.38,2.50
Chain,16,1.19,0.42,2.11
Chain,17,2.27,0.52,3.01
Chain,18,2.33,0.64,3.11
Chain,19,2.30,0.66,3.30
Chain,20,2.48,0.66,3.89
Chain,21,2.81,0.89,4.21
Chain,22,2.24,0.69,3.83
Chain,23,2.40,0.68,3.46
Chain,24,2.34,0.65,3.82
Chain,25,2.17,0.28,3.86
Chain,26,2.28,0.31,4.13
Chain,27,2.18,0.28,4.26
Chain,28,2.13,0.25,4.18
Chain,29,2.24,0.38,4.79
Chain,30,2.12,0.36,4.91
Chain,31,2.14,0.30,5.05
Chain,32,2.56,0.67,5.39
Chain,33,4.45,0.69,6.77
Chain,34,4.54,0.63,6.89
Chain,35,4.43,0.64,6.57
Chain,36,4.67,0.65,7.27
Chain,37,4.44,0.67,6.58
Chain,38,4.30,0.63,6.83
Chain,39,4.22,0.67,6.69
Chain,40,4.33,0.63,6.97
Chain,41,4.27,0.66,6.88
Chain,42,4.16,0.66,6.72
Chain,43,3.72,0.62,6.78
Chain,44,3.61,0.61,6.60
Chain,45,3.84,0.45,8.20
Chain,46,3.83,0.39,8.13
Chain,47,4.11,0.56,8.26
Chain,48,4.11,0.59,8.74
