Algorithm,Allocation,Processes,MessageSize,Latency
Chain,core,2,1,0.20
Chain,core,2,2,0.21
Chain,core,2,4,0.21
Chain,core,2,8,0.21
Chain,core,2,16,0.20
Chain,core,2,32,0.23
Chain,core,2,64,0.23
Chain,core,2,128,0.32
Chain,core,2,256,0.34
Chain,core,2,512,0.37
Chain,core,2,1024,0.42
Chain,core,2,2048,0.56
Chain,core,2,4096,0.85
Chain,core,2,8192,1.36
Chain,core,2,16384,3.06
Chain,core,2,32768,5.15
Chain,core,2,65536,6.61
Chain,core,2,131072,9.76
Chain,core,2,262144,16.50
Chain,core,2,524288,30.29
Chain,core,2,1048576,61.87
Chain,core,4,1,0.21
Chain,core,4,2,0.21
Chain,core,4,4,0.21
Chain,core,4,8,0.21
Chain,core,4,16,0.21
Chain,core,4,32,0.28
Chain,core,4,64,0.27
Chain,core,4,128,0.41
Chain,core,4,256,0.47
Chain,core,4,512,0.54
Chain,core,4,1024,0.73
Chain,core,4,2048,1.05
Chain,core,4,4096,1.69
Chain,core,4,8192,2.64
Chain,core,4,16384,5.63
Chain,core,4,32768,8.68
Chain,core,4,65536,14.71
Chain,core,4,131072,26.98
Chain,core,4,262144,53.09
Chain,core,4,524288,106.84
Chain,core,4,1048576,223.68
Chain,core,8,1,0.59
Chain,core,8,2,0.59
Chain,core,8,4,0.59
Chain,core,8,8,0.59
Chain,core,8,16,0.59
Chain,core,8,32,0.70
Chain,core,8,64,0.73
Chain,core,8,128,1.10
Chain,core,8,256,1.13
Chain,core,8,512,1.20
Chain,core,8,1024,1.46
Chain,core,8,2048,1.92
Chain,core,8,4096,2.82
Chain,core,8,8192,4.33
Chain,core,8,16384,10.44
Chain,core,8,32768,16.26
Chain,core,8,65536,28.97
Chain,core,8,131072,52.79
Chain,core,8,262144,101.82
Chain,core,8,524288,195.88
Chain,core,8,1048576,369.23
Chain,core,12,1,0.92
Chain,core,12,2,0.94
Chain,core,12,4,0.91
Chain,core,12,8,0.92
Chain,core,12,16,0.92
Chain,core,12,32,1.06
Chain,core,12,64,1.04
Chain,core,12,128,1.42
Chain,core,12,256,1.47
Chain,core,12,512,1.52
Chain,core,12,1024,1.95
Chain,core,12,2048,2.50
Chain,core,12,4096,3.82
Chain,core,12,8192,5.83
Chain,core,12,16384,13.58
Chain,core,12,32768,21.32
Chain,core,12,65536,36.74
Chain,core,12,131072,66.78
Chain,core,12,262144,126.09
Chain,core,12,524288,244.97
Chain,core,12,1048576,488.95
Chain,core,16,1,1.26
Chain,core,16,2,1.21
Chain,core,16,4,1.21
Chain,core,16,8,1.20
Chain,core,16,16,1.19
Chain,core,16,32,1.44
Chain,core,16,64,1.43
Chain,core,16,128,2.17
Chain,core,16,256,2.25
Chain,core,16,512,2.41
Chain,core,16,1024,2.97
Chain,core,16,2048,3.61
Chain,core,16,4096,5.37
Chain,core,16,8192,8.19
Chain,core,16,16384,19.72
Chain,core,16,32768,31.16
Chain,core,16,65536,54.44
Chain,core,16,131072,103.37
Chain,core,16,262144,199.41
Chain,core,16,524288,403.18
Chain,core,16,1048576,683.74
Chain,core,20,1,2.42
Chain,core,20,2,2.44
Chain,core,20,4,2.42
Chain,core,20,8,2.42
Chain,core,20,16,2.40
Chain,core,20,32,2.73
Chain,core,20,64,2.85
Chain,core,20,128,3.67
Chain,core,20,256,3.52
Chain,core,20,512,3.64
Chain,core,20,1024,4.21
Chain,core,20,2048,5.05
Chain,core,20,4096,7.20
Chain,core,20,8192,10.49
Chain,core,20,16384,24.06
Chain,core,20,32768,37.00
Chain,core,20,65536,62.11
Chain,core,20,131072,114.90
Chain,core,20,262144,222.92
Chain,core,20,524288,428.85
Chain,core,20,1048576,757.02
Chain,core,24,1,2.33
Chain,core,24,2,2.26
Chain,core,24,4,2.25
Chain,core,24,8,2.24
Chain,core,24,16,2.33
Chain,core,24,32,2.70
Chain,core,24,64,3.28
Chain,core,24,128,3.53
Chain,core,24,256,3.62
Chain,core,24,512,3.92
Chain,core,24,1024,4.69
Chain,core,24,2048,5.77
Chain,core,24,4096,8.26
Chain,core,24,8192,12.08
Chain,core,24,16384,26.46
Chain,core,24,32768,40.83
Chain,core,24,65536,69.92
Chain,core,24,131072,129.53
Chain,core,24,262144,245.56
Chain,core,24,524288,475.11
Chain,core,24,1048576,871.43
Chain,core,26,1,2.07
Chain,core,26,2,2.07
Chain,core,26,4,2.08
Chain,core,26,8,2.05
Chain,core,26,16,2.13
Chain,core,26,32,2.72
Chain,core,26,64,2.62
Chain,core,26,128,3.21
Chain,core,26,256,3.35
Chain,core,26,512,3.62
Chain,core,26,1024,4.35
Chain,core,26,2048,5.46
Chain,core,26,4096,8.00
Chain,core,26,8192,12.00
Chain,core,26,16384,26.89
Chain,core,26,32768,41.69
Chain,core,26,65536,71.12
Chain,core,26,131072,128.54
Chain,core,26,262144,258.87
Chain,core,26,524288,506.54
Chain,core,26,1048576,935.66
Chain,core,28,1,2.10
Chain,core,28,2,2.10
Chain,core,28,4,2.08
Chain,core,28,8,2.09
Chain,core,28,16,2.08
Chain,core,28,32,3.00
Chain,core,28,64,2.57
Chain,core,28,128,3.26
Chain,core,28,256,3.49
Chain,core,28,512,3.73
Chain,core,28,1024,4.59
Chain,core,28,2048,5.79
Chain,core,28,4096,8.55
Chain,core,28,8192,12.79
Chain,core,28,16384,28.68
Chain,core,28,32768,44.15
Chain,core,28,65536,73.08
Chain,core,28,131072,134.80
Chain,core,28,262144,264.43
