Algorithm,Processes,Avg Latency(us)
1,2,0.13
1,3,0.27
1,4,0.14
1,5,0.22
1,6,0.29
1,7,0.42
1,8,0.97
1,9,1.15
1,10,1.04
1,11,1.08
1,12,1.13
1,13,1.14
1,14,1.41
1,15,1.48
1,16,1.70
1,17,2.02
1,18,1.97
1,19,1.97
1,20,2.02
1,21,2.15
1,22,2.23
1,23,2.28
1,24,2.44
1,25,2.39
1,26,2.39
1,27,2.58
1,28,2.68
1,29,2.73
1,30,2.87
1,31,2.88
1,32,3.30
1,33,3.95
1,34,3.70
1,35,3.78
1,36,3.59
1,37,3.57
1,38,3.87
1,39,3.75
1,40,4.05
1,41,4.06
1,42,4.09
1,43,4.14
1,44,4.51
1,45,4.44
1,46,4.71
1,47,4.73
1,48,4.84
1,49,4.93
1,50,4.93
1,51,5.13
1,52,5.07
1,53,5.16
1,54,5.58
1,55,5.41
1,56,5.73
1,57,5.65
1,58,5.59
1,59,5.71
1,60,5.90
1,61,5.90
1,62,6.49
1,63,6.18
1,64,5.11
1,65,5.17
1,66,6.08
1,67,6.07
1,68,5.80
1,69,6.32
1,70,6.51
1,71,6.34
1,72,6.28
1,73,7.60
1,74,7.07
1,75,7.30
1,76,7.49
1,77,8.08
1,78,7.64
1,79,7.50
1,80,8.19
1,81,7.94
1,82,8.51
1,83,8.63
1,84,8.40
1,85,9.59
1,86,8.91
1,87,9.51
1,88,9.70
1,89,9.52
1,90,10.07
1,91,9.50
1,92,10.17
1,93,10.13
1,94,9.95
1,95,10.47
1,96,10.58
1,97,10.73
1,98,11.79
1,99,11.41
1,100,11.53
1,101,11.27
1,102,11.98
1,103,12.37
1,104,11.81
1,105,11.65
1,106,11.87
1,107,13.12
1,108,12.42
1,109,12.65
1,110,12.73
1,111,12.97
1,112,12.66
1,113,13.22
1,114,14.67
1,115,12.50
1,116,13.59
1,117,13.76
1,118,13.12
1,119,13.22
1,120,13.48
1,121,13.56
1,122,14.39
1,123,13.49
1,124,13.98
