Algorithm,Allocation,Processes,MessageSize,Latency
Binomial,core,2,1,0.20
Binomial,core,2,2,0.19
Binomial,core,2,4,0.20
Binomial,core,2,8,0.19
Binomial,core,2,16,0.19
Binomial,core,2,32,0.26
Binomial,core,2,64,0.26
Binomial,core,2,128,0.30
Binomial,core,2,256,0.32
Binomial,core,2,512,0.36
Binomial,core,2,1024,0.41
Binomial,core,2,2048,0.56
Binomial,core,2,4096,0.87
Binomial,core,2,8192,1.63
Binomial,core,2,16384,2.89
Binomial,core,2,32768,5.24
Binomial,core,2,65536,9.94
Binomial,core,2,131072,15.21
Binomial,core,2,262144,25.90
Binomial,core,2,524288,49.57
Binomial,core,2,1048576,114.05
Binomial,core,3,1,0.41
Binomial,core,3,2,0.40
Binomial,core,3,4,0.40
Binomial,core,3,8,0.40
Binomial,core,3,16,0.40
Binomial,core,3,32,0.43
Binomial,core,3,64,0.43
Binomial,core,3,128,0.56
Binomial,core,3,256,0.60
Binomial,core,3,512,0.68
Binomial,core,3,1024,0.79
Binomial,core,3,2048,1.01
Binomial,core,3,4096,1.54
Binomial,core,3,8192,2.47
Binomial,core,3,16384,4.30
Binomial,core,3,32768,7.80
Binomial,core,3,65536,14.88
Binomial,core,3,131072,20.85
Binomial,core,3,262144,38.56
Binomial,core,3,524288,75.41
Binomial,core,3,1048576,172.63
Binomial,core,4,1,0.35
Binomial,core,4,2,0.35
Binomial,core,4,4,0.36
Binomial,core,4,8,0.35
Binomial,core,4,16,0.38
Binomial,core,4,32,0.40
Binomial,core,4,64,0.48
Binomial,core,4,128,0.59
Binomial,core,4,256,0.63
Binomial,core,4,512,0.79
Binomial,core,4,1024,1.08
Binomial,core,4,2048,1.07
Binomial,core,4,4096,2.64
Binomial,core,4,8192,2.82
Binomial,core,4,16384,5.20
Binomial,core,4,32768,8.31
Binomial,core,4,65536,15.07
Binomial,core,4,131072,27.59
Binomial,core,4,262144,54.75
Binomial,core,4,524288,103.97
Binomial,core,4,1048576,229.76
Binomial,core,5,1,0.37
Binomial,core,5,2,0.37
Binomial,core,5,4,0.36
Binomial,core,5,8,0.36
Binomial,core,5,16,0.39
Binomial,core,5,32,0.41
Binomial,core,5,64,0.48
Binomial,core,5,128,0.63
Binomial,core,5,256,0.69
Binomial,core,5,512,0.83
Binomial,core,5,1024,1.15
Binomial,core,5,2048,1.33
Binomial,core,5,4096,2.79
Binomial,core,5,8192,3.37
Binomial,core,5,16384,6.21
Binomial,core,5,32768,10.31
Binomial,core,5,65536,19.44
Binomial,core,5,131072,37.90
Binomial,core,5,262144,73.88
Binomial,core,5,524288,107.85
Binomial,core,5,1048576,296.77
Binomial,core,6,1,0.50
Binomial,core,6,2,0.49
Binomial,core,6,4,0.48
Binomial,core,6,8,0.49
Binomial,core,6,16,0.53
Binomial,core,6,32,0.54
Binomial,core,6,64,0.69
Binomial,core,6,128,0.81
Binomial,core,6,256,0.85
Binomial,core,6,512,1.05
Binomial,core,6,1024,1.44
Binomial,core,6,2048,1.58
Binomial,core,6,4096,3.52
Binomial,core,6,8192,3.92
Binomial,core,6,16384,7.21
Binomial,core,6,32768,11.49
Binomial,core,6,65536,15.81
Binomial,core,6,131072,34.90
Binomial,core,6,262144,88.25
Binomial,core,6,524288,125.89
Binomial,core,6,1048576,346.31
Binomial,core,7,1,0.57
Binomial,core,7,2,0.55
Binomial,core,7,4,0.54
Binomial,core,7,8,0.55
Binomial,core,7,16,0.58
Binomial,core,7,32,0.69
Binomial,core,7,64,0.75
Binomial,core,7,128,0.91
Binomial,core,7,256,1.03
Binomial,core,7,512,1.25
Binomial,core,7,1024,1.75
Binomial,core,7,2048,1.78
Binomial,core,7,4096,4.36
Binomial,core,7,8192,4.45
Binomial,core,7,16384,8.23
Binomial,core,7,32768,12.55
Binomial,core,7,65536,25.84
Binomial,core,7,131072,51.72
Binomial,core,7,262144,69.87
Binomial,core,7,524288,141.83
Binomial,core,7,1048576,418.14
Binomial,core,8,1,0.72
Binomial,core,8,2,0.69
Binomial,core,8,4,0.70
Binomial,core,8,8,0.73
Binomial,core,8,16,0.76
Binomial,core,8,32,0.91
Binomial,core,8,64,1.04
Binomial,core,8,128,1.21
Binomial,core,8,256,1.35
Binomial,core,8,512,1.64
Binomial,core,8,1024,2.31
Binomial,core,8,2048,3.51
Binomial,core,8,4096,5.33
Binomial,core,8,8192,8.72
Binomial,core,8,16384,7.60
Binomial,core,8,32768,13.97
Binomial,core,8,65536,28.54
Binomial,core,8,131072,57.69
Binomial,core,8,262144,82.84
Binomial,core,8,524288,136.38
Binomial,core,8,1048576,454.89
Binomial,core,9,1,1.12
Binomial,core,9,2,1.11
Binomial,core,9,4,1.11
Binomial,core,9,8,1.16
Binomial,core,9,16,1.16
Binomial,core,9,32,1.31
Binomial,core,9,64,1.41
Binomial,core,9,128,1.65
Binomial,core,9,256,1.80
Binomial,core,9,512,2.06
Binomial,core,9,1024,2.78
Binomial,core,9,2048,3.91
Binomial,core,9,4096,6.00
Binomial,core,9,8192,9.08
Binomial,core,9,16384,8.11
Binomial,core,9,32768,14.01
Binomial,core,9,65536,31.52
Binomial,core,9,131072,64.26
Binomial,core,9,262144,113.64
Binomial,core,9,524288,185.70
Binomial,core,9,1048576,563.89
Binomial,core,10,1,0.93
Binomial,core,10,2,0.93
Binomial,core,10,4,0.93
Binomial,core,10,8,0.96
Binomial,core,10,16,1.01
Binomial,core,10,32,1.15
Binomial,core,10,64,1.31
Binomial,core,10,128,1.47
Binomial,core,10,256,1.64
Binomial,core,10,512,2.01
Binomial,core,10,1024,2.67
Binomial,core,10,2048,3.92
Binomial,core,10,4096,5.97
Binomial,core,10,8192,9.56
Binomial,core,10,16384,9.09
Binomial,core,10,32768,16.76
Binomial,core,10,65536,34.23
Binomial,core,10,131072,70.08
Binomial,core,10,262144,91.54
Binomial,core,10,524288,154.40
Binomial,core,10,1048576,630.63
Binomial,core,11,1,0.87
Binomial,core,11,2,0.88
Binomial,core,11,4,0.86
Binomial,core,11,8,0.92
Binomial,core,11,16,0.96
Binomial,core,11,32,1.16
Binomial,core,11,64,1.35
Binomial,core,11,128,1.47
Binomial,core,11,256,1.69
Binomial,core,11,512,1.98
Binomial,core,11,1024,2.71
Binomial,core,11,2048,4.01
Binomial,core,11,4096,6.50
Binomial,core,11,8192,10.10
Binomial,core,11,16384,8.17
Binomial,core,11,32768,15.40
Binomial,core,11,65536,33.73
Binomial,core,11,131072,77.87
Binomial,core,11,262144,109.79
Binomial,core,11,524288,157.17
Binomial,core,11,1048576,683.44
Binomial,core,12,1,0.86
Binomial,core,12,2,0.84
Binomial,core,12,4,0.84
Binomial,core,12,8,0.92
Binomial,core,12,16,0.94
Binomial,core,12,32,1.12
Binomial,core,12,64,1.24
Binomial,core,12,128,1.43
Binomial,core,12,256,1.63
Binomial,core,12,512,2.03
Binomial,core,12,1024,2.85
Binomial,core,12,2048,4.35
Binomial,core,12,4096,7.17
Binomial,core,12,8192,11.13
Binomial,core,12,16384,9.88
Binomial,core,12,32768,19.28
Binomial,core,12,65536,40.45
Binomial,core,12,131072,83.07
Binomial,core,12,262144,106.02
Binomial,core,12,524288,160.93
Binomial,core,12,1048576,778.36
Binomial,core,13,1,0.92
Binomial,core,13,2,0.91
Binomial,core,13,4,0.91
Binomial,core,13,8,0.95
Binomial,core,13,16,1.01
Binomial,core,13,32,1.16
Binomial,core,13,64,1.31
Binomial,core,13,128,1.63
Binomial,core,13,256,1.80
Binomial,core,13,512,2.26
Binomial,core,13,1024,3.18
Binomial,core,13,2048,5.23
Binomial,core,13,4096,7.73
Binomial,core,13,8192,12.73
Binomial,core,13,16384,12.12
Binomial,core,13,32768,16.49
Binomial,core,13,65536,35.62
Binomial,core,13,131072,83.54
Binomial,core,13,262144,118.51
Binomial,core,13,524288,172.89
Binomial,core,13,1048576,841.30
Binomial,core,14,1,0.80
Binomial,core,14,2,0.79
Binomial,core,14,4,0.79
Binomial,core,14,8,0.82
Binomial,core,14,16,0.96
Binomial,core,14,32,1.07
Binomial,core,14,64,1.29
Binomial,core,14,128,1.51
Binomial,core,14,256,1.76
Binomial,core,14,512,2.29
Binomial,core,14,1024,3.37
Binomial,core,14,2048,5.67
Binomial,core,14,4096,8.58
Binomial,core,14,8192,14.47
Binomial,core,14,16384,12.03
Binomial,core,14,32768,22.81
Binomial,core,14,65536,48.31
Binomial,core,14,131072,112.72
Binomial,core,14,262144,130.58
Binomial,core,14,524288,188.99
Binomial,core,14,1048576,910.81
Binomial,core,15,1,0.87
Binomial,core,15,2,0.85
Binomial,core,15,4,0.86
Binomial,core,15,8,0.89
Binomial,core,15,16,1.05
Binomial,core,15,32,1.29
Binomial,core,15,64,1.43
Binomial,core,15,128,1.69
Binomial,core,15,256,1.96
Binomial,core,15,512,2.93
Binomial,core,15,1024,3.84
Binomial,core,15,2048,6.07
Binomial,core,15,4096,9.89
Binomial,core,15,8192,16.69
Binomial,core,15,16384,13.34
Binomial,core,15,32768,27.29
Binomial,core,15,65536,44.82
Binomial,core,15,131072,80.27
Binomial,core,15,262144,110.85
Binomial,core,15,524288,171.51
Binomial,core,15,1048576,932.25
Binomial,core,16,1,1.31
Binomial,core,16,2,1.32
Binomial,core,16,4,1.35
Binomial,core,16,8,1.36
Binomial,core,16,16,1.55
Binomial,core,16,32,1.89
Binomial,core,16,64,2.14
Binomial,core,16,128,2.45
Binomial,core,16,256,2.80
Binomial,core,16,512,3.82
Binomial,core,16,1024,5.15
Binomial,core,16,2048,7.64
Binomial,core,16,4096,11.89
Binomial,core,16,8192,20.07
Binomial,core,16,16384,21.52
Binomial,core,16,32768,25.93
Binomial,core,16,65536,62.64
Binomial,core,16,131072,137.44
Binomial,core,16,262144,153.25
Binomial,core,16,524288,194.70
Binomial,core,16,1048576,286.81
Binomial,core,17,1,2.55
Binomial,core,17,2,2.52
Binomial,core,17,4,2.55
Binomial,core,17,8,2.61
Binomial,core,17,16,2.78
Binomial,core,17,32,3.16
Binomial,core,17,64,3.35
Binomial,core,17,128,4.30
Binomial,core,17,256,4.30
Binomial,core,17,512,5.15
Binomial,core,17,1024,6.86
Binomial,core,17,2048,9.56
Binomial,core,17,4096,14.01
Binomial,core,17,8192,22.59
Binomial,core,17,16384,23.38
Binomial,core,17,32768,32.78
Binomial,core,17,65536,72.30
Binomial,core,17,131072,123.16
Binomial,core,17,262144,157.24
Binomial,core,17,524288,191.47
Binomial,core,17,1048576,294.47
Binomial,core,18,1,2.60
Binomial,core,18,2,2.52
Binomial,core,18,4,2.54
Binomial,core,18,8,2.62
Binomial,core,18,16,2.80
Binomial,core,18,32,3.09
Binomial,core,18,64,3.57
Binomial,core,18,128,4.59
Binomial,core,18,256,4.29
Binomial,core,18,512,5.31
Binomial,core,18,1024,6.98
Binomial,core,18,2048,9.76
Binomial,core,18,4096,14.55
Binomial,core,18,8192,24.27
Binomial,core,18,16384,25.90
Binomial,core,18,32768,33.74
Binomial,core,18,65536,74.84
Binomial,core,18,131072,141.30
Binomial,core,18,262144,150.42
Binomial,core,18,524288,157.25
Binomial,core,18,1048576,274.23
Binomial,core,19,1,2.29
Binomial,core,19,2,2.29
Binomial,core,19,4,2.33
Binomial,core,19,8,2.39
Binomial,core,19,16,2.62
Binomial,core,19,32,3.22
Binomial,core,19,64,3.42
Binomial,core,19,128,4.00
Binomial,core,19,256,4.32
Binomial,core,19,512,5.23
Binomial,core,19,1024,6.93
Binomial,core,19,2048,9.86
Binomial,core,19,4096,15.66
Binomial,core,19,8192,26.24
Binomial,core,19,16384,28.28
Binomial,core,19,32768,36.43
Binomial,core,19,65536,64.23
Binomial,core,19,131072,100.03
Binomial,core,19,262144,126.49
Binomial,core,19,524288,207.27
Binomial,core,19,1048576,288.84
Binomial,core,20,1,2.30
Binomial,core,20,2,2.30
Binomial,core,20,4,2.35
Binomial,core,20,8,2.45
Binomial,core,20,16,2.64
Binomial,core,20,32,3.26
Binomial,core,20,64,3.47
Binomial,core,20,128,4.26
Binomial,core,20,256,4.51
Binomial,core,20,512,5.48
Binomial,core,20,1024,7.35
Binomial,core,20,2048,10.43
Binomial,core,20,4096,16.65
Binomial,core,20,8192,30.56
Binomial,core,20,16384,31.36
Binomial,core,20,32768,30.75
Binomial,core,20,65536,54.42
Binomial,core,20,131072,142.63
Binomial,core,20,262144,216.81
Binomial,core,20,524288,244.74
Binomial,core,20,1048576,284.24
Binomial,core,21,1,2.18
Binomial,core,21,2,2.12
Binomial,core,21,4,2.20
Binomial,core,21,8,2.35
Binomial,core,21,16,2.45
Binomial,core,21,32,3.11
Binomial,core,21,64,3.38
Binomial,core,21,128,4.28
Binomial,core,21,256,4.40
Binomial,core,21,512,5.38
Binomial,core,21,1024,7.27
Binomial,core,21,2048,11.22
Binomial,core,21,4096,17.74
Binomial,core,21,8192,30.71
Binomial,core,21,16384,33.22
Binomial,core,21,32768,40.73
Binomial,core,21,65536,49.34
Binomial,core,21,131072,132.39
Binomial,core,21,262144,211.70
Binomial,core,21,524288,235.34
Binomial,core,21,1048576,279.97
Binomial,core,22,1,2.07
Binomial,core,22,2,2.08
Binomial,core,22,4,2.15
Binomial,core,22,8,2.26
Binomial,core,22,16,2.60
Binomial,core,22,32,3.03
Binomial,core,22,64,3.23
Binomial,core,22,128,4.44
Binomial,core,22,256,4.39
Binomial,core,22,512,5.44
Binomial,core,22,1024,7.50
Binomial,core,22,2048,11.59
Binomial,core,22,4096,18.60
Binomial,core,22,8192,33.00
Binomial,core,22,16384,36.05
Binomial,core,22,32768,39.70
Binomial,core,22,65536,97.56
Binomial,core,22,131072,130.16
Binomial,core,22,262144,144.96
Binomial,core,22,524288,207.04
Binomial,core,22,1048576,293.86
Binomial,core,23,1,1.96
Binomial,core,23,2,1.95
Binomial,core,23,4,2.02
Binomial,core,23,8,2.11
Binomial,core,23,16,2.51
