Algorithm,Allocation,Processes,MessageSize,Latency
Default,core,2,1,0.21
Default,core,2,2,0.20
Default,core,2,4,0.20
Default,core,2,8,0.20
Default,core,2,16,0.20
Default,core,2,32,0.25
Default,core,2,64,0.25
Default,core,2,128,0.33
Default,core,2,256,0.35
Default,core,2,512,0.39
Default,core,2,1024,0.45
Default,core,2,2048,0.60
Default,core,2,4096,0.92
Default,core,2,8192,1.74
Default,core,2,16384,3.09
Default,core,2,32768,5.56
Default,core,2,65536,10.45
Default,core,2,131072,14.96
Default,core,2,262144,25.83
Default,core,2,524288,49.76
Default,core,2,1048576,114.49
Default,core,3,1,0.39
Default,core,3,2,0.38
Default,core,3,4,0.37
Default,core,3,8,0.37
Default,core,3,16,0.37
Default,core,3,32,0.41
Default,core,3,64,0.40
Default,core,3,128,0.53
Default,core,3,256,0.57
Default,core,3,512,0.64
Default,core,3,1024,0.76
Default,core,3,2048,1.00
Default,core,3,4096,1.54
Default,core,3,8192,2.49
Default,core,3,16384,4.38
Default,core,3,32768,7.95
Default,core,3,65536,15.30
Default,core,3,131072,16.56
Default,core,3,262144,38.18
Default,core,3,524288,74.22
Default,core,3,1048576,170.52
Default,core,4,1,0.36
Default,core,4,2,0.36
Default,core,4,4,0.36
Default,core,4,8,0.35
Default,core,4,16,0.38
Default,core,4,32,0.41
Default,core,4,64,0.50
Default,core,4,128,0.60
Default,core,4,256,0.64
Default,core,4,512,0.79
Default,core,4,1024,1.08
Default,core,4,2048,1.08
Default,core,4,4096,2.62
Default,core,4,8192,2.89
Default,core,4,16384,5.28
Default,core,4,32768,8.18
Default,core,4,65536,14.16
Default,core,4,131072,26.47
Default,core,4,262144,50.93
Default,core,4,524288,108.76
Default,core,4,1048576,223.63
Default,core,5,1,0.53
Default,core,5,2,0.47
Default,core,5,4,0.48
Default,core,5,8,0.43
Default,core,5,16,0.41
Default,core,5,32,0.42
Default,core,5,64,0.49
Default,core,5,128,0.65
Default,core,5,256,0.72
Default,core,5,512,0.88
Default,core,5,1024,1.19
Default,core,5,2048,1.37
Default,core,5,4096,2.85
Default,core,5,8192,3.49
Default,core,5,16384,6.42
Default,core,5,32768,10.05
Default,core,5,65536,18.96
Default,core,5,131072,37.72
Default,core,5,262144,45.95
Default,core,5,524288,139.92
Default,core,5,1048576,302.16
Default,core,6,1,0.46
Default,core,6,2,0.46
Default,core,6,4,0.45
Default,core,6,8,0.45
Default,core,6,16,0.49
Default,core,6,32,0.51
Default,core,6,64,0.67
Default,core,6,128,0.79
Default,core,6,256,0.87
Default,core,6,512,1.06
Default,core,6,1024,1.46
Default,core,6,2048,1.60
Default,core,6,4096,3.55
Default,core,6,8192,4.03
Default,core,6,16384,7.38
Default,core,6,32768,10.41
Default,core,6,65536,20.77
Default,core,6,131072,42.66
Default,core,6,262144,87.77
Default,core,6,524288,123.39
Default,core,6,1048576,354.39
Default,core,7,1,0.56
Default,core,7,2,0.56
Default,core,7,4,0.55
Default,core,7,8,0.55
Default,core,7,16,0.58
Default,core,7,32,0.69
Default,core,7,64,0.75
Default,core,7,128,0.92
Default,core,7,256,1.03
Default,core,7,512,1.28
Default,core,7,1024,1.76
Default,core,7,2048,1.82
Default,core,7,4096,4.40
Default,core,7,8192,4.57
Default,core,7,16384,8.38
Default,core,7,32768,12.07
Default,core,7,65536,24.40
Default,core,7,131072,50.56
Default,core,7,262144,101.38
Default,core,7,524288,144.11
Default,core,7,1048576,410.33
Default,core,8,1,0.76
Default,core,8,2,0.75
Default,core,8,4,0.75
Default,core,8,8,0.78
Default,core,8,16,0.83
Default,core,8,32,0.95
Default,core,8,64,1.08
Default,core,8,128,1.23
Default,core,8,256,1.39
Default,core,8,512,1.70
Default,core,8,1024,2.37
Default,core,8,2048,3.54
Default,core,8,4096,5.70
Default,core,8,8192,9.13
Default,core,8,16384,7.00
Default,core,8,32768,14.05
Default,core,8,65536,28.79
Default,core,8,131072,58.43
Default,core,8,262144,94.87
Default,core,8,524288,146.52
Default,core,8,1048576,481.10
Default,core,9,1,1.13
Default,core,9,2,1.12
Default,core,9,4,1.12
Default,core,9,8,1.16
Default,core,9,16,1.16
Default,core,9,32,1.33
Default,core,9,64,1.44
Default,core,9,128,1.66
Default,core,9,256,1.86
Default,core,9,512,2.12
Default,core,9,1024,2.82
Default,core,9,2048,3.97
Default,core,9,4096,6.04
Default,core,9,8192,9.67
Default,core,9,16384,8.04
Default,core,9,32768,14.66
Default,core,9,65536,30.82
Default,core,9,131072,53.28
Default,core,9,262144,86.11
Default,core,9,524288,144.94
Default,core,9,1048576,533.45
Default,core,10,1,1.01
Default,core,10,2,0.99
Default,core,10,4,0.98
Default,core,10,8,1.01
Default,core,10,16,1.08
Default,core,10,32,1.17
Default,core,10,64,1.37
Default,core,10,128,1.55
Default,core,10,256,1.71
Default,core,10,512,2.06
Default,core,10,1024,2.73
Default,core,10,2048,4.18
Default,core,10,4096,6.33
Default,core,10,8192,10.19
Default,core,10,16384,8.89
Default,core,10,32768,15.97
Default,core,10,65536,33.69
Default,core,10,131072,69.61
Default,core,10,262144,103.19
Default,core,10,524288,155.71
Default,core,10,1048576,694.45
Default,core,11,1,0.91
Default,core,11,2,0.91
Default,core,11,4,0.90
Default,core,11,8,0.95
Default,core,11,16,0.98
Default,core,11,32,1.19
Default,core,11,64,1.32
Default,core,11,128,1.50
Default,core,11,256,1.71
Default,core,11,512,2.04
Default,core,11,1024,2.78
Default,core,11,2048,4.08
Default,core,11,4096,6.57
Default,core,11,8192,10.35
Default,core,11,16384,9.28
Default,core,11,32768,16.94
Default,core,11,65536,36.64
Default,core,11,131072,51.65
Default,core,11,262144,106.06
Default,core,11,524288,149.63
Default,core,11,1048576,765.88
Default,core,12,1,1.03
Default,core,12,2,0.93
Default,core,12,4,0.91
Default,core,12,8,0.94
Default,core,12,16,0.98
Default,core,12,32,1.13
Default,core,12,64,1.26
Default,core,12,128,1.46
Default,core,12,256,1.67
Default,core,12,512,2.05
Default,core,12,1024,2.89
Default,core,12,2048,4.42
Default,core,12,4096,7.34
Default,core,12,8192,11.57
Default,core,12,16384,10.04
Default,core,12,32768,18.04
Default,core,12,65536,39.39
Default,core,12,131072,81.64
Default,core,12,262144,104.03
Default,core,12,524288,159.03
Default,core,12,1048576,841.03
Default,core,13,1,0.94
Default,core,13,2,0.94
Default,core,13,4,0.93
Default,core,13,8,0.98
Default,core,13,16,1.03
Default,core,13,32,1.21
Default,core,13,64,1.35
Default,core,13,128,1.66
Default,core,13,256,1.85
Default,core,13,512,2.31
Default,core,13,1024,3.22
Default,core,13,2048,5.25
Default,core,13,4096,8.32
Default,core,13,8192,13.38
Default,core,13,16384,12.06
Default,core,13,32768,22.75
Default,core,13,65536,31.69
Default,core,13,131072,78.26
Default,core,13,262144,118.93
Default,core,13,524288,180.98
Default,core,13,1048576,948.85
Default,core,14,1,0.84
Default,core,14,2,0.83
Default,core,14,4,0.81
Default,core,14,8,0.85
Default,core,14,16,0.97
Default,core,14,32,1.12
Default,core,14,64,1.34
Default,core,14,128,1.59
Default,core,14,256,1.82
Default,core,14,512,2.41
Default,core,14,1024,3.67
Default,core,14,2048,5.64
Default,core,14,4096,8.66
Default,core,14,8192,14.71
Default,core,14,16384,12.77
Default,core,14,32768,24.17
Default,core,14,65536,33.28
Default,core,14,131072,79.08
Default,core,14,262144,115.85
Default,core,14,524288,182.83
Default,core,14,1048576,994.51
