Algorithm,Allocation,Processes,MessageSize,Latency
Linear,core,2,1,0.20
Linear,core,2,2,0.19
Linear,core,2,4,0.19
Linear,core,2,8,0.19
Linear,core,2,16,0.19
Linear,core,2,32,0.27
Linear,core,2,64,0.25
Linear,core,2,128,0.31
Linear,core,2,256,0.32
Linear,core,2,512,0.36
Linear,core,2,1024,0.42
Linear,core,2,2048,0.56
Linear,core,2,4096,0.87
Linear,core,2,8192,1.62
Linear,core,2,16384,2.96
Linear,core,2,32768,5.42
Linear,core,2,65536,10.27
Linear,core,2,131072,15.11
Linear,core,2,262144,25.88
Linear,core,2,524288,49.56
Linear,core,2,1048576,112.98
Linear,core,3,1,0.41
Linear,core,3,2,0.39
Linear,core,3,4,0.39
Linear,core,3,8,0.39
Linear,core,3,16,0.39
Linear,core,3,32,0.42
Linear,core,3,64,0.42
Linear,core,3,128,0.52
Linear,core,3,256,0.54
Linear,core,3,512,0.63
Linear,core,3,1024,0.76
Linear,core,3,2048,0.99
Linear,core,3,4096,1.52
Linear,core,3,8192,2.47
Linear,core,3,16384,4.38
Linear,core,3,32768,8.02
Linear,core,3,65536,15.42
Linear,core,3,131072,20.34
Linear,core,3,262144,38.56
Linear,core,3,524288,78.04
Linear,core,3,1048576,173.45
Linear,core,4,1,0.33
Linear,core,4,2,0.33
Linear,core,4,4,0.34
Linear,core,4,8,0.33
Linear,core,4,16,0.37
Linear,core,4,32,0.39
Linear,core,4,64,0.45
Linear,core,4,128,0.57
Linear,core,4,256,0.63
Linear,core,4,512,0.76
Linear,core,4,1024,1.06
Linear,core,4,2048,1.08
Linear,core,4,4096,2.59
Linear,core,4,8192,2.88
Linear,core,4,16384,5.31
Linear,core,4,32768,8.60
Linear,core,4,65536,15.04
Linear,core,4,131072,27.19
Linear,core,4,262144,33.79
Linear,core,4,524288,89.99
Linear,core,4,1048576,233.17
Linear,core,5,1,0.38
Linear,core,5,2,0.37
Linear,core,5,4,0.37
Linear,core,5,8,0.37
Linear,core,5,16,0.38
Linear,core,5,32,0.40
Linear,core,5,64,0.49
Linear,core,5,128,0.65
Linear,core,5,256,0.68
Linear,core,5,512,0.84
Linear,core,5,1024,1.16
Linear,core,5,2048,1.34
Linear,core,5,4096,2.80
