Algorithm,Allocation,Processes,MessageSize,Latency
Linear_NonBlocking,core,2,1,0.21
Linear_NonBlocking,core,2,2,0.20
Linear_NonBlocking,core,2,4,0.20
Linear_NonBlocking,core,2,8,0.20
Linear_NonBlocking,core,2,16,0.20
Linear_NonBlocking,core,2,32,0.25
Linear_NonBlocking,core,2,64,0.26
Linear_NonBlocking,core,2,128,0.31
Linear_NonBlocking,core,2,256,0.32
Linear_NonBlocking,core,2,512,0.39
Linear_NonBlocking,core,2,1024,0.43
Linear_NonBlocking,core,2,2048,0.60
Linear_NonBlocking,core,2,4096,0.87
Linear_NonBlocking,core,2,8192,1.61
Linear_NonBlocking,core,2,16384,2.88
Linear_NonBlocking,core,2,32768,5.24
Linear_NonBlocking,core,2,65536,9.92
Linear_NonBlocking,core,2,131072,15.19
Linear_NonBlocking,core,2,262144,25.61
Linear_NonBlocking,core,2,524288,49.69
Linear_NonBlocking,core,2,1048576,116.06
Linear_NonBlocking,core,3,1,0.40
Linear_NonBlocking,core,3,2,0.39
Linear_NonBlocking,core,3,4,0.39
Linear_NonBlocking,core,3,8,0.39
Linear_NonBlocking,core,3,16,0.39
Linear_NonBlocking,core,3,32,0.43
Linear_NonBlocking,core,3,64,0.42
Linear_NonBlocking,core,3,128,0.53
Linear_NonBlocking,core,3,256,0.56
Linear_NonBlocking,core,3,512,0.60
Linear_NonBlocking,core,3,1024,0.76
Linear_NonBlocking,core,3,2048,0.98
Linear_NonBlocking,core,3,4096,1.52
Linear_NonBlocking,core,3,8192,2.44
Linear_NonBlocking,core,3,16384,4.29
Linear_NonBlocking,core,3,32768,7.79
Linear_NonBlocking,core,3,65536,14.77
Linear_NonBlocking,core,3,131072,21.15
Linear_NonBlocking,core,3,262144,38.82
Linear_NonBlocking,core,3,524288,76.09
Linear_NonBlocking,core,3,1048576,172.38
Linear_NonBlocking,core,4,1,0.35
Linear_NonBlocking,core,4,2,0.33
Linear_NonBlocking,core,4,4,0.34
Linear_NonBlocking,core,4,8,0.33
Linear_NonBlocking,core,4,16,0.37
Linear_NonBlocking,core,4,32,0.39
Linear_NonBlocking,core,4,64,0.45
Linear_NonBlocking,core,4,128,0.57
Linear_NonBlocking,core,4,256,0.64
Linear_NonBlocking,core,4,512,0.78
Linear_NonBlocking,core,4,1024,1.05
Linear_NonBlocking,core,4,2048,1.07
Linear_NonBlocking,core,4,4096,2.63
Linear_NonBlocking,core,4,8192,2.85
Linear_NonBlocking,core,4,16384,5.20
Linear_NonBlocking,core,4,32768,8.52
Linear_NonBlocking,core,4,65536,15.25
Linear_NonBlocking,core,4,131072,28.22
Linear_NonBlocking,core,4,262144,51.39
Linear_NonBlocking,core,4,524288,77.41
Linear_NonBlocking,core,4,1048576,240.71
Linear_NonBlocking,core,5,1,0.38
Linear_NonBlocking,core,5,2,0.36
Linear_NonBlocking,core,5,4,0.36
Linear_NonBlocking,core,5,8,0.36
Linear_NonBlocking,core,5,16,0.38
Linear_NonBlocking,core,5,32,0.43
Linear_NonBlocking,core,5,64,0.47
