Algorithm,Processes,AvgTime
Chain,2,0.566845
Chain,3,3.065054
Chain,4,2.857634
Chain,5,4.241295
Chain,6,5.589675
Chain,7,6.675347
Chain,8,7.237198
Chain,9,7.832583
Chain,10,8.521217
Chain,11,8.798878
Chain,12,9.191081
Chain,13,10.375070
Chain,14,10.032281
Chain,15,11.137011
Chain,16,10.822311
Chain,17,11.814644
Chain,18,13.263873
Chain,19,12.986160
Chain,20,14.178770
Chain,21,14.583806
Chain,22,17.250202
Chain,23,15.561890
Chain,24,17.652906
Chain,25,18.513230
Chain,26,17.257214
Chain,27,22.898966
Chain,28,19.395756
Chain,29,20.230774
Chain,30,20.855317
Chain,31,22.464457
Chain,32,25.373109
Chain,33,26.044482
Chain,34,24.496179
Chain,35,25.078805
Chain,36,29.385984
Chain,37,27.178997
Chain,38,28.394763
Chain,39,28.626846
Chain,40,29.559719
Chain,41,31.428848
Chain,42,30.221283
Chain,43,30.128297
Chain,44,30.952631
Chain,45,32.162864
Chain,46,33.520312
Chain,47,34.155619
Chain,48,36.908985
Chain,49,34.292137
Chain,50,35.097874
Chain,51,35.625316
Chain,52,36.081394
Chain,53,35.981451
Chain,54,36.637959
Chain,55,38.318777
Chain,56,38.391738
Chain,57,38.379505
Chain,58,45.052117
Chain,59,39.267089
Chain,60,39.590964
Chain,61,41.782135
Chain,62,41.361852
Chain,63,42.115755
Chain,64,55.259280
Chain,65,53.716403
Chain,66,54.737326
Chain,67,57.746151
Chain,68,56.627438
Chain,69,57.996705
Chain,70,58.306626
Chain,71,56.879004
Chain,72,62.543948
Chain,73,61.399180
Chain,74,62.566399
Chain,75,76.593986
Chain,76,65.116877
Chain,77,65.254792
Chain,78,64.353091
Chain,79,67.139616
Chain,80,65.447862
Chain,81,67.487474
Chain,82,69.538470
Chain,83,70.444537
Chain,84,70.795891
Chain,85,71.961672
Chain,86,73.317587
Chain,87,72.766586
Chain,88,73.378541
Chain,89,74.529425
Chain,90,75.238847
Chain,91,76.520184
Chain,92,78.874227
Chain,93,81.919510
Chain,94,79.555140
Chain,95,79.611930
Chain,96,80.164915
Chain,97,83.992913
Chain,98,90.946541
Chain,99,128.911358
Chain,100,90.307747
Chain,101,88.488734
Chain,102,85.827195
Chain,103,86.147724
Chain,104,97.101204
Chain,105,117.617906
Chain,106,97.786158
Chain,107,122.238329
Chain,108,101.065676
Chain,109,93.879292
Chain,110,93.724016
Chain,111,112.343077
Chain,112,96.470647
Chain,113,98.520104
Chain,114,104.469965
Chain,115,105.548843
Chain,116,102.839474
Chain,117,132.697953
Chain,118,140.272280
Chain,119,101.949881
Chain,120,103.080981
Chain,121,114.991614
Chain,122,109.974752
Chain,123,107.400290
Chain,124,119.589160
Chain,125,121.959255
Chain,126,132.103071
Chain,127,114.112296
Chain,128,147.439680
