Algorithm,Processes,AvgTime
Chain_corecore,2,7.274438
Chain_corecore,3,0.987172
Chain_corecore,4,0.831468
Chain_corecore,5,3.459322
Chain_corecore,6,1.986289
Chain_corecore,7,12.385176
Chain_corecore,8,2.793860
Chain_corecore,9,10.240513
Chain_corecore,10,4.708280
Chain_corecore,11,10.585680
Chain_corecore,12,5.438242
Chain_corecore,13,9.094655
Chain_corecore,14,6.825927
Chain_corecore,15,10.254825
Chain_corecore,16,12.405339
Chain_corecore,17,7.588311
Chain_corecore,18,8.271275
Chain_corecore,19,8.621230
Chain_corecore,20,9.150213
Chain_corecore,21,9.653430
Chain_corecore,22,10.422183
Chain_corecore,23,10.637603
Chain_corecore,24,11.209410
Chain_corecore,25,11.653020
Chain_corecore,26,17.578959
Chain_corecore,27,12.442201
Chain_corecore,28,13.530351
Chain_corecore,29,13.327333
Chain_corecore,30,14.071415
Chain_corecore,31,26.036170
Chain_corecore,32,13.312097
Chain_corecore,33,15.083152
Chain_corecore,34,14.680210
Chain_corecore,35,15.158393
Chain_corecore,36,21.634953
Chain_corecore,37,17.341866
Chain_corecore,38,18.627938
Chain_corecore,39,17.612718
Chain_corecore,40,17.606722
Chain_corecore,41,21.327222
Chain_corecore,42,28.875879
Chain_corecore,43,25.452394
Chain_corecore,44,19.373787
Chain_corecore,45,20.587201
Chain_corecore,46,31.934381
Chain_corecore,47,22.318819
Chain_corecore,48,28.296873
Chain_corecore,49,23.390930
Chain_corecore,50,26.421047
Chain_corecore,51,22.554359
Chain_corecore,52,26.936852
Chain_corecore,53,25.865741
Chain_corecore,54,27.194005
Chain_corecore,55,28.701848
Chain_corecore,56,26.417901
Chain_corecore,57,28.464132
Chain_corecore,58,27.003691
Chain_corecore,59,26.064942
Chain_corecore,60,27.127872
Chain_corecore,61,27.564580
Chain_corecore,62,30.190104
Chain_corecore,63,28.494219
Chain_corecore,64,26.054592
Chain_corecore,65,29.018624
Chain_corecore,66,35.498458
Chain_corecore,67,32.833662
Chain_corecore,68,31.510777
Chain_corecore,69,31.709531
Chain_corecore,70,31.246907
Chain_corecore,71,31.749312
Chain_corecore,72,32.183505
Chain_corecore,73,32.932597
Chain_corecore,74,34.246691
Chain_corecore,75,33.299071
Chain_corecore,76,35.515509
Chain_corecore,77,36.427316
Chain_corecore,78,37.713294
Chain_corecore,79,35.638007
Chain_corecore,80,36.933451
Chain_corecore,81,36.261200
Chain_corecore,82,38.381151
Chain_corecore,83,37.195875
Chain_corecore,84,41.002701
Chain_corecore,85,41.665895
Chain_corecore,86,39.811442
Chain_corecore,87,40.117316
Chain_corecore,88,39.853251
Chain_corecore,89,41.549453
Chain_corecore,90,43.839460
Chain_corecore,91,41.259202
Chain_corecore,92,42.934424
Chain_corecore,93,42.497078
Chain_corecore,94,43.077906
Chain_corecore,95,41.025927
Chain_corecore,96,45.117780
Chain_corecore,97,44.745248
Chain_corecore,98,42.630789
Chain_corecore,99,45.607927
Chain_corecore,100,42.991124
Chain_corecore,101,46.318467
Chain_corecore,102,47.579725
Chain_corecore,103,49.815759
Chain_corecore,104,45.553683
Chain_corecore,105,46.543671
Chain_corecore,106,50.677095
Chain_corecore,107,48.077585
Chain_corecore,108,56.719804
Chain_corecore,109,51.521086
Chain_corecore,110,48.367829
Chain_corecore,111,51.986263
Chain_corecore,112,52.374226
Chain_corecore,113,54.984398
Chain_corecore,114,58.275611
Chain_corecore,115,52.085687
Chain_corecore,116,60.400863
Chain_corecore,117,52.883010
Chain_corecore,118,54.869410
Chain_corecore,119,54.906940
Chain_corecore,120,63.407569
Chain_corecore,121,57.506186
Chain_corecore,122,58.541624
Chain_corecore,123,57.066222
Chain_corecore,124,53.203623
Chain_corecore,125,59.938402
Chain_corecore,126,57.885927
Chain_corecore,127,61.206040
Chain_corecore,128,59.613681
