Algorithm,Processes,AvgTime
Chain_Numa,2,1.037119
Chain_Numa,3,3.069500
Chain_Numa,4,2.285733
Chain_Numa,5,4.271655
Chain_Numa,6,5.299848
Chain_Numa,7,6.036791
Chain_Numa,8,7.180765
Chain_Numa,9,9.264641
Chain_Numa,10,9.510949
Chain_Numa,11,9.674903
Chain_Numa,12,10.125386
Chain_Numa,13,10.377408
Chain_Numa,14,11.363034
Chain_Numa,15,12.187470
Chain_Numa,16,10.087985
Chain_Numa,17,11.870157
Chain_Numa,18,13.498436
Chain_Numa,19,13.652186
Chain_Numa,20,15.296201
Chain_Numa,21,16.909112
Chain_Numa,22,17.257531
Chain_Numa,23,18.491041
Chain_Numa,24,18.523956
Chain_Numa,25,18.614600
Chain_Numa,26,21.197130
Chain_Numa,27,25.152924
Chain_Numa,28,23.497029
Chain_Numa,29,24.087634
Chain_Numa,30,22.895999
Chain_Numa,31,25.194671
Chain_Numa,32,21.126759
Chain_Numa,33,24.332255
Chain_Numa,34,25.380676
Chain_Numa,35,27.617795
Chain_Numa,36,26.256624
Chain_Numa,37,28.294988
Chain_Numa,38,29.955342
Chain_Numa,39,27.355603
Chain_Numa,40,29.380037
Chain_Numa,41,29.159113
Chain_Numa,42,30.591755
Chain_Numa,43,31.219188
Chain_Numa,44,31.707507
Chain_Numa,45,37.251452
Chain_Numa,46,34.258019
Chain_Numa,47,36.220060
Chain_Numa,48,38.854048
Chain_Numa,49,35.947206
Chain_Numa,50,34.808601
Chain_Numa,51,36.327055
Chain_Numa,52,36.904348
Chain_Numa,53,37.932646
Chain_Numa,54,38.827669
Chain_Numa,55,38.540380
Chain_Numa,56,40.472214
Chain_Numa,57,39.698359
Chain_Numa,58,47.720290
Chain_Numa,59,39.598699
Chain_Numa,60,44.541647
Chain_Numa,61,48.035115
Chain_Numa,62,42.796922
Chain_Numa,63,42.415930
Chain_Numa,64,36.525329
Chain_Numa,65,35.603620
Chain_Numa,66,36.670081
Chain_Numa,67,35.945729
Chain_Numa,68,37.380289
Chain_Numa,69,39.835437
Chain_Numa,70,51.391830
Chain_Numa,71,39.219842
Chain_Numa,72,41.188813
Chain_Numa,73,39.148826
Chain_Numa,74,39.953007
Chain_Numa,75,41.070227
Chain_Numa,76,44.414169
Chain_Numa,77,42.424566
Chain_Numa,78,45.962760
Chain_Numa,79,45.662928
Chain_Numa,80,48.576528
Chain_Numa,81,47.411766
Chain_Numa,82,45.514852
Chain_Numa,83,49.692151
Chain_Numa,84,45.623575
Chain_Numa,85,49.647424
Chain_Numa,86,57.909345
Chain_Numa,87,54.701613
Chain_Numa,88,49.324162
Chain_Numa,89,50.226883
Chain_Numa,90,52.141626
Chain_Numa,91,51.495160
Chain_Numa,92,50.871109
Chain_Numa,93,49.860195
Chain_Numa,94,50.963973
Chain_Numa,95,50.954742
Chain_Numa,96,54.183474
Chain_Numa,97,52.056417
Chain_Numa,98,55.093574
Chain_Numa,99,53.720491
Chain_Numa,100,54.999006
Chain_Numa,101,58.683958
Chain_Numa,102,55.597041
Chain_Numa,103,58.166683
Chain_Numa,104,63.399741
Chain_Numa,105,56.407439
Chain_Numa,106,57.863548
Chain_Numa,107,61.600407
Chain_Numa,108,61.198600
Chain_Numa,109,61.801650
Chain_Numa,110,59.382960
Chain_Numa,111,67.459493
Chain_Numa,112,81.250969
Chain_Numa,113,62.458861
Chain_Numa,114,63.000906
Chain_Numa,115,95.449181
Chain_Numa,116,65.749660
Chain_Numa,117,64.735057
Chain_Numa,118,74.951680
Chain_Numa,119,78.188220
Chain_Numa,120,68.652545
Chain_Numa,121,133.521292
Chain_Numa,122,80.038811
Chain_Numa,123,66.178398
Chain_Numa,124,69.103106
Chain_Numa,125,105.184832
Chain_Numa,126,214.568896
Chain_Numa,127,68.366013
Chain_Numa,128,67.865656
