Algorithm,Processes,AvgTime
Default,2,2.599617
Default,3,1.053431
Default,4,8.350584
Default,5,1.347422
Default,6,1.452669
Default,7,1.835825
Default,8,2.075147
Default,9,10.033126
Default,10,2.772081
Default,11,3.627315
Default,12,3.466589
Default,13,3.613035
Default,14,3.771804
Default,15,5.802964
Default,16,9.669673
Default,17,3.832708
Default,18,4.054899
Default,19,11.105818
Default,20,7.615759
Default,21,4.401203
Default,22,4.913873
Default,23,4.442678
Default,24,5.436340
Default,25,4.667611
Default,26,4.434533
Default,27,12.787043
Default,28,4.573586
Default,29,4.852451
Default,30,5.064579
Default,31,4.899480
Default,32,4.526548
Default,33,5.250784
Default,34,5.138313
Default,35,5.601672
Default,36,5.321732
Default,37,7.200375
Default,38,6.291716
Default,39,5.879778
Default,40,7.202656
Default,41,5.843122
Default,42,6.645155
Default,43,5.989784
Default,44,5.934803
Default,45,6.747959
Default,46,7.703862
Default,47,6.987083
Default,48,6.474413
Default,49,6.759948
Default,50,6.786472
Default,51,6.539221
Default,52,15.356090
Default,53,7.385406
Default,54,6.403395
Default,55,6.880135
Default,56,7.052395
Default,57,7.357925
Default,58,6.841660
Default,59,7.558453
Default,60,7.529585
Default,61,6.861354
Default,62,10.516641
Default,63,7.201099
Default,64,5.479420
Default,65,7.712569
Default,66,7.840537
Default,67,8.431490
Default,68,8.307687
Default,69,8.994653
Default,70,8.318395
Default,71,8.989213
Default,72,9.543811
Default,73,9.472979
Default,74,10.171481
Default,75,9.600045
Default,76,9.615067
Default,77,9.100177
Default,78,9.075972
Default,79,8.820571
Default,80,8.632493
Default,81,9.769782
Default,82,8.953933
Default,83,10.620377
Default,84,9.250074
Default,85,8.946967
Default,86,9.063869
Default,87,9.135361
Default,88,8.890745
Default,89,9.919920
Default,90,10.163405
Default,91,9.021329
Default,92,10.183619
Default,93,11.440048
Default,94,10.321837
Default,95,9.288023
Default,96,9.135412
Default,97,10.931770
Default,98,9.480288
Default,99,8.253929
Default,100,10.580968
Default,101,8.871127
Default,102,9.281775
Default,103,9.958079
Default,104,9.390207
Default,105,9.037851
Default,106,9.315986
Default,107,10.189787
Default,108,9.811981
Default,109,10.844162
Default,110,9.292954
Default,111,10.280656
Default,112,9.919422
Default,113,20.090807
Default,114,10.513395
Default,115,9.886598
Default,116,9.333446
Default,117,12.485608
Default,118,9.681807
Default,119,8.914240
Default,120,10.261437
Default,121,8.566276
Default,122,12.265107
Default,123,11.039191
Default,124,10.761451
Default,125,9.487227
Default,126,10.071121
Default,127,9.190285
Default,128,10.999608
