Algorithm,Processes,AvgTime
FlatTree,2,0.570995
FlatTree,3,0.863140
FlatTree,4,1.360422
FlatTree,5,1.537310
FlatTree,6,1.386889
FlatTree,7,1.697989
FlatTree,8,2.275508
FlatTree,9,3.200161
FlatTree,10,5.837486
FlatTree,11,3.718980
FlatTree,12,4.033007
FlatTree,13,4.385670
FlatTree,14,13.167572
FlatTree,15,13.911571
FlatTree,16,4.891480
FlatTree,17,5.791912
FlatTree,18,6.139281
FlatTree,19,6.464538
FlatTree,20,6.979269
FlatTree,21,7.241346
FlatTree,22,7.839678
FlatTree,23,9.162627
FlatTree,24,8.810838
FlatTree,25,8.890280
FlatTree,26,9.471400
FlatTree,27,9.732507
FlatTree,28,10.220228
FlatTree,29,10.568524
FlatTree,30,11.112628
FlatTree,31,28.731441
FlatTree,32,10.487792
FlatTree,33,13.231224
FlatTree,34,11.280859
FlatTree,35,11.720949
FlatTree,36,12.433990
FlatTree,37,13.896822
FlatTree,38,12.987526
FlatTree,39,13.355427
FlatTree,40,28.322995
FlatTree,41,16.303099
FlatTree,42,14.656674
FlatTree,43,19.268990
FlatTree,44,15.529532
FlatTree,45,16.653000
FlatTree,46,17.586668
FlatTree,47,17.663591
FlatTree,48,17.327017
FlatTree,49,17.561041
FlatTree,50,19.597275
FlatTree,51,18.382477
FlatTree,52,18.913353
FlatTree,53,20.136961
FlatTree,54,21.748739
FlatTree,55,20.261216
FlatTree,56,21.940475
FlatTree,57,23.457780
FlatTree,58,23.830813
FlatTree,59,29.571088
FlatTree,60,29.844075
FlatTree,61,22.288277
FlatTree,62,22.953334
FlatTree,63,23.944058
FlatTree,64,23.834768
FlatTree,65,25.383561
FlatTree,66,26.708515
FlatTree,67,28.451124
FlatTree,68,28.780334
FlatTree,69,29.042314
FlatTree,70,32.982825
FlatTree,71,30.077853
FlatTree,72,31.845746
FlatTree,73,30.998597
FlatTree,74,35.376998
FlatTree,75,32.820668
FlatTree,76,35.710912
FlatTree,77,34.843146
FlatTree,78,33.897610
FlatTree,79,35.037499
FlatTree,80,36.461943
FlatTree,81,38.170490
FlatTree,82,37.630212
FlatTree,83,38.839681
FlatTree,84,39.002263
FlatTree,85,42.084151
FlatTree,86,39.733232
FlatTree,87,40.986993
FlatTree,88,40.192315
FlatTree,89,43.244390
FlatTree,90,44.627189
FlatTree,91,42.684259
FlatTree,92,43.053832
FlatTree,93,42.350765
FlatTree,94,48.738391
FlatTree,95,45.149021
FlatTree,96,44.422461
FlatTree,97,45.507471
FlatTree,98,45.734089
FlatTree,99,48.804480
FlatTree,100,48.583302
FlatTree,101,49.559369
FlatTree,102,49.115502
FlatTree,103,52.103419
FlatTree,104,50.205682
FlatTree,105,54.083776
FlatTree,106,55.701781
FlatTree,107,52.622042
FlatTree,108,54.313629
FlatTree,109,52.976695
FlatTree,110,58.327054
FlatTree,111,56.659798
FlatTree,112,59.172830
FlatTree,113,56.571510
FlatTree,114,57.310768
FlatTree,115,57.910156
FlatTree,116,63.097513
FlatTree,117,57.209004
FlatTree,118,63.543162
FlatTree,119,61.602923
FlatTree,120,65.368520
FlatTree,121,68.616478
FlatTree,122,62.521674
FlatTree,123,61.870833
FlatTree,124,63.342171
FlatTree,125,56.737469
FlatTree,126,66.214137
FlatTree,127,65.953377
FlatTree,128,64.357812
