Algorithm,Processes,AvgTime
Chain_corecore,2,8.146187
Chain_corecore,3,1.438395
Chain_corecore,4,1.160660
Chain_corecore,5,1.279506
Chain_corecore,6,1.451137
Chain_corecore,7,1.643164
Chain_corecore,8,1.440798
Chain_corecore,9,2.067488
Chain_corecore,10,2.176364
Chain_corecore,11,2.182893
Chain_corecore,12,2.326148
Chain_corecore,13,2.390443
Chain_corecore,14,2.511798
Chain_corecore,15,2.537953
Chain_corecore,16,2.179840
Chain_corecore,17,2.663893
Chain_corecore,18,2.615164
Chain_corecore,19,3.096721
Chain_corecore,20,3.847120
Chain_corecore,21,3.507608
Chain_corecore,22,3.723199
Chain_corecore,23,4.176805
Chain_corecore,24,4.462017
Chain_corecore,25,4.190394
Chain_corecore,26,5.285606
Chain_corecore,27,4.411251
Chain_corecore,28,4.992831
Chain_corecore,29,4.746500
Chain_corecore,30,5.801624
Chain_corecore,31,5.194010
Chain_corecore,32,4.792409
Chain_corecore,33,6.441875
Chain_corecore,34,6.679244
Chain_corecore,35,6.882580
Chain_corecore,36,13.909693
