Algorithm,Processes,AvgTime
Chain_corecore,2,0.624132
Chain_corecore,3,1.465342
Chain_corecore,4,8.981032
Chain_corecore,5,0.969832
Chain_corecore,6,1.121463
Chain_corecore,7,1.340324
Chain_corecore,8,1.821369
Chain_corecore,9,2.374890
Chain_corecore,10,2.595103
Chain_corecore,11,2.923678
Chain_corecore,12,3.120024
Chain_corecore,13,3.407235
Chain_corecore,14,3.473323
Chain_corecore,15,3.641295
Chain_corecore,16,3.304293
Chain_corecore,17,3.947977
Chain_corecore,18,3.859283
Chain_corecore,19,4.419350
Chain_corecore,20,5.017601
Chain_corecore,21,5.339515
Chain_corecore,22,5.828468
Chain_corecore,23,6.716225
Chain_corecore,24,7.085745
Chain_corecore,25,7.267791
Chain_corecore,26,7.180459
Chain_corecore,27,7.586687
Chain_corecore,28,8.643447
Chain_corecore,29,9.085487
Chain_corecore,30,9.180193
Chain_corecore,31,9.136112
Chain_corecore,32,8.745657
Chain_corecore,33,13.214197
Chain_corecore,34,9.659283
Chain_corecore,35,9.816677
Chain_corecore,36,11.109932
