Algorithm,Processes,AvgTime
FlatTree,2,0.612232
FlatTree,3,0.858682
FlatTree,4,0.717858
FlatTree,5,1.198523
FlatTree,6,1.279873
FlatTree,7,1.518883
FlatTree,8,2.316474
FlatTree,9,3.112084
FlatTree,10,3.575615
FlatTree,11,4.136816
FlatTree,12,4.320946
FlatTree,13,15.082199
FlatTree,14,6.203233
FlatTree,15,5.710625
FlatTree,16,4.797360
FlatTree,17,5.798193
FlatTree,18,6.336140
FlatTree,19,6.519704
FlatTree,20,8.722701
FlatTree,21,7.393128
FlatTree,22,7.754709
FlatTree,23,8.248741
FlatTree,24,8.702652
FlatTree,25,8.940978
FlatTree,26,12.325023
FlatTree,27,9.693420
FlatTree,28,10.267726
FlatTree,29,10.542393
FlatTree,30,11.100914
FlatTree,31,11.282571
FlatTree,32,10.458396
FlatTree,33,21.127142
FlatTree,34,11.954212
FlatTree,35,25.213246
FlatTree,36,11.900240
FlatTree,37,12.343352
FlatTree,38,13.014363
FlatTree,39,13.352782
FlatTree,40,15.992255
FlatTree,41,14.057420
FlatTree,42,18.228152
FlatTree,43,16.398554
FlatTree,44,17.737582
FlatTree,45,19.425443
FlatTree,46,25.194818
FlatTree,47,17.660208
FlatTree,48,22.379048
FlatTree,49,19.316104
FlatTree,50,31.642396
FlatTree,51,39.069727
FlatTree,52,19.077196
FlatTree,53,23.748814
FlatTree,54,20.189665
FlatTree,55,22.197742
FlatTree,56,20.939647
FlatTree,57,20.919321
FlatTree,58,22.122442
FlatTree,59,23.131255
FlatTree,60,23.679997
FlatTree,61,24.248356
FlatTree,62,25.299378
FlatTree,63,23.938317
FlatTree,64,23.751927
FlatTree,65,25.646282
FlatTree,66,27.296468
FlatTree,67,27.834173
FlatTree,68,28.879731
FlatTree,69,28.338926
FlatTree,70,30.112034
FlatTree,71,29.268406
FlatTree,72,31.189991
FlatTree,73,31.461799
FlatTree,74,35.115777
FlatTree,75,33.367080
FlatTree,76,33.210901
FlatTree,77,34.661387
FlatTree,78,34.889342
FlatTree,79,34.636353
FlatTree,80,38.081717
FlatTree,81,37.081164
FlatTree,82,39.541833
FlatTree,83,37.820253
FlatTree,84,38.715880
FlatTree,85,38.827976
FlatTree,86,39.668771
FlatTree,87,40.348940
FlatTree,88,40.579778
FlatTree,89,44.740692
FlatTree,90,43.060068
FlatTree,91,44.556965
FlatTree,92,44.137341
FlatTree,93,43.990809
FlatTree,94,43.012526
FlatTree,95,44.488986
FlatTree,96,44.238884
FlatTree,97,48.426416
FlatTree,98,45.409067
FlatTree,99,45.199332
FlatTree,100,48.360949
FlatTree,101,46.170286
FlatTree,102,50.456861
FlatTree,103,54.238637
FlatTree,104,50.994629
FlatTree,105,48.612910
FlatTree,106,53.276240
FlatTree,107,55.788114
FlatTree,108,53.500431
FlatTree,109,53.724144
FlatTree,110,54.555866
FlatTree,111,51.499200
FlatTree,112,54.721930
FlatTree,113,61.018306
FlatTree,114,56.740542
FlatTree,115,63.457849
FlatTree,116,57.301321
FlatTree,117,58.784566
FlatTree,118,58.939345
FlatTree,119,58.741698
FlatTree,120,60.017641
FlatTree,121,64.748095
FlatTree,122,63.237351
FlatTree,123,62.815633
FlatTree,124,62.987095
FlatTree,125,60.123558
FlatTree,126,64.484365
FlatTree,127,62.859208
FlatTree,128,62.338704
