Algorithm,Processes,AvgTime
Default,2,0.384356
Default,3,1.467227
Default,4,9.963495
Default,5,1.349223
Default,6,9.236059
Default,7,1.695141
Default,8,7.685769
Default,9,2.830271
Default,10,2.834646
Default,11,3.020281
Default,12,3.284219
Default,13,3.406897
Default,14,3.570313
Default,15,6.890517
Default,16,3.156142
Default,17,4.067279
Default,18,3.821057
Default,19,4.007864
Default,20,4.206172
Default,21,4.520127
Default,22,4.237558
Default,23,4.449910
Default,24,4.876856
Default,25,4.796046
Default,26,12.295481
Default,27,4.947144
Default,28,4.962518
Default,29,5.072683
Default,30,5.769849
Default,31,4.930106
Default,32,4.293840
Default,33,5.146036
Default,34,14.774877
Default,35,5.239337
Default,36,5.481076
Default,37,5.434988
Default,38,5.562279
Default,39,5.890380
Default,40,8.911735
Default,41,6.625779
Default,42,8.417664
Default,43,6.702593
Default,44,7.454975
Default,45,6.190183
Default,46,6.252644
Default,47,7.069503
Default,48,7.237999
Default,49,6.586259
Default,50,6.962077
Default,51,9.293083
Default,52,6.734150
Default,53,6.753885
Default,54,7.398807
Default,55,6.452438
Default,56,12.638907
Default,57,7.115705
Default,58,6.957780
Default,59,8.675217
Default,60,6.605619
Default,61,6.822864
Default,62,8.597015
Default,63,7.777336
Default,64,5.627899
Default,65,6.756132
Default,66,7.220080
Default,67,7.701503
Default,68,8.136863
Default,69,8.615526
Default,70,8.221684
Default,71,8.686248
Default,72,8.446094
Default,73,8.943721
Default,74,9.536632
Default,75,8.658044
Default,76,9.044837
Default,77,9.307092
Default,78,9.321978
Default,79,8.719649
Default,80,8.970647
Default,81,9.681378
Default,82,10.458130
Default,83,9.197072
Default,84,9.193834
Default,85,9.169969
Default,86,9.349841
Default,87,10.481886
Default,88,9.597580
Default,89,8.942210
Default,90,10.796298
Default,91,9.478134
Default,92,9.952528
Default,93,11.174921
Default,94,10.094929
Default,95,10.306184
Default,96,9.279467
Default,97,8.629391
Default,98,9.272814
Default,99,8.578197
Default,100,8.804055
Default,101,9.319370
Default,102,11.017553
Default,103,10.400527
Default,104,9.622693
Default,105,11.404856
Default,106,10.106329
Default,107,8.962614
Default,108,11.221686
Default,109,9.682842
Default,110,10.776902
Default,111,9.125040
Default,112,9.641405
Default,113,10.061249
Default,114,9.358769
Default,115,9.320389
Default,116,9.828039
Default,117,10.281671
Default,118,9.221954
Default,119,12.442166
Default,120,9.775076
Default,121,9.968136
Default,122,9.827168
Default,123,9.394310
Default,124,9.541255
Default,125,9.612992
Default,126,11.466471
Default,127,9.690323
Default,128,12.428182
