Algorithm,Processes,AvgTime
Chain_corecore,2,0.397087
Chain_corecore,3,1.552479
Chain_corecore,4,9.427944
Chain_corecore,5,1.537033
Chain_corecore,6,1.961095
Chain_corecore,7,2.298139
Chain_corecore,8,2.639202
Chain_corecore,9,3.502545
Chain_corecore,10,4.206779
Chain_corecore,11,4.252323
Chain_corecore,12,4.466783
Chain_corecore,13,4.736497
Chain_corecore,14,5.024292
Chain_corecore,15,5.417698
Chain_corecore,16,5.232945
Chain_corecore,17,6.008464
Chain_corecore,18,6.292953
Chain_corecore,19,7.172646
Chain_corecore,20,7.978564
Chain_corecore,21,8.790248
Chain_corecore,22,9.277530
Chain_corecore,23,10.036562
Chain_corecore,24,10.867402
Chain_corecore,25,11.139947
Chain_corecore,26,12.112528
Chain_corecore,27,13.626742
Chain_corecore,28,13.425318
Chain_corecore,29,13.676131
Chain_corecore,30,14.409673
Chain_corecore,31,16.837179
Chain_corecore,32,16.014471
Chain_corecore,33,16.673173
Chain_corecore,34,16.095009
Chain_corecore,35,15.995829
Chain_corecore,36,16.799385
