Algorithm,Processes,AvgTime
Default_corecore,2,8.146187
Default_corecore,3,1.438395
Default_corecore,4,1.160660
Default_corecore,5,1.279506
Default_corecore,6,1.451137
Default_corecore,7,1.643164
Default_corecore,8,1.440798
Default_corecore,9,2.067488
Default_corecore,10,2.176364
Default_corecore,11,2.182893
Default_corecore,12,2.326148
Default_corecore,13,2.390443
Default_corecore,14,2.511798
Default_corecore,15,2.537953
Default_corecore,16,2.179840
Default_corecore,17,2.663893
Default_corecore,18,2.615164
Default_corecore,19,3.096721
Default_corecore,20,3.847120
Default_corecore,21,3.507608
Default_corecore,22,3.723199
Default_corecore,23,4.176805
Default_corecore,24,4.462017
Default_corecore,25,4.190394
Default_corecore,26,5.285606
Default_corecore,27,4.411251
Default_corecore,28,4.992831
Default_corecore,29,4.746500
Default_corecore,30,5.801624
Default_corecore,31,5.194010
Default_corecore,32,4.792409
Default_corecore,33,6.441875
Default_corecore,34,6.679244
Default_corecore,35,6.882580
Default_corecore,36,13.909693
