Algorithm,Processes,AvgTime
Default,2,0.403808
Default,3,3.081787
Default,4,2.069382
Default,5,3.226074
Default,6,4.203125
Default,7,4.926717
Default,8,4.226340
Default,9,5.541109
Default,10,5.251245
Default,11,5.187513
Default,12,4.644101
Default,13,5.064898
Default,14,4.458353
Default,15,4.685708
Default,16,4.791969
Default,17,5.105348
Default,18,5.217149
Default,19,4.965423
Default,20,6.591774
Default,21,5.150061
Default,22,5.197765
Default,23,5.242690
Default,24,5.296720
Default,25,6.253065
Default,26,5.347271
Default,27,6.009705
Default,28,9.001685
Default,29,5.259190
Default,30,5.340904
Default,31,7.050281
Default,32,6.433933
Default,33,8.725677
Default,34,8.047338
Default,35,6.775017
Default,36,6.691733
Default,37,6.937446
Default,38,7.004701
Default,39,7.600448
Default,40,7.751045
Default,41,7.960858
Default,42,8.870333
Default,43,8.999080
Default,44,7.880918
Default,45,7.895285
Default,46,7.955968
Default,47,8.387159
Default,48,8.272298
Default,49,8.263479
Default,50,8.444020
Default,51,8.358232
Default,52,7.869279
Default,53,8.677209
Default,54,8.225276
Default,55,8.027266
Default,56,8.060756
Default,57,8.431794
Default,58,8.180182
Default,59,8.459714
Default,60,7.960996
Default,61,7.495960
Default,62,15.794291
Default,63,7.801006
Default,64,7.898852
Default,65,7.813428
Default,66,8.622548
Default,67,9.216668
Default,68,8.826207
Default,69,25.475253
Default,70,8.909183
Default,71,8.849140
Default,72,7.811729
Default,73,7.924208
Default,74,26.558141
Default,75,9.092253
Default,76,10.232920
Default,77,20.161398
Default,78,8.722269
Default,79,10.128959
Default,80,7.967827
Default,81,10.146964
Default,82,9.324049
Default,83,10.077400
Default,84,9.630323
Default,85,12.865215
Default,86,14.144933
Default,87,9.855870
Default,88,8.506470
Default,89,9.310898
Default,90,8.755366
Default,91,9.156399
Default,92,9.281472
Default,93,9.421407
Default,94,8.748058
Default,95,8.457740
Default,96,8.407691
Default,97,9.295007
Default,98,8.612925
Default,99,32.947166
Default,100,15.539350
Default,101,10.499373
Default,102,10.564554
Default,103,8.142345
Default,104,9.129433
Default,105,21.717272
Default,106,9.640582
Default,107,9.222812
Default,108,30.477595
Default,109,9.304725
Default,110,9.224552
Default,111,9.958478
Default,112,8.093467
Default,113,15.554111
Default,114,11.980850
Default,115,9.911876
Default,116,19.509553
Default,117,10.137061
Default,118,9.546245
Default,119,21.475437
Default,120,11.169138
Default,121,21.662569
Default,122,8.811635
Default,123,9.889837
Default,124,13.113689
Default,125,10.233678
Default,126,10.061212
Default,127,13.176581
Default,128,9.836353
