Processes,Threads,Time

2,4,0.424100
2,4,0.460748
2,4,0.396293
2,4,0.442649
2,4,0.416676
3,4,0.898538
3,4,0.848193
3,4,1.048898
3,4,0.916236
3,4,0.863922
4,4,0.871735
4,4,1.115508
4,4,0.948849
4,4,1.019509
4,4,0.923318
5,4,1.444752
5,4,1.338070
5,4,1.237934
5,4,1.483042
5,4,1.468104
6,4,1.326611
6,4,1.654926
6,4,1.251002
6,4,1.584904
6,4,1.219888
7,4,1.331074
7,4,1.203380
7,4,1.298434
7,4,1.559331
7,4,1.350378
8,4,2.030885
8,4,0.987033
8,4,0.993263
8,4,1.011246
8,4,1.388606
9,4,1.909250
9,4,2.223437
9,4,2.123766
9,4,2.081113
9,4,1.822797
10,4,1.962246
10,4,1.643682
10,4,1.658333
10,4,2.067594
10,4,1.976145
11,4,1.629602
11,4,2.151140
11,4,2.525820
11,4,2.388162
11,4,2.221572
12,4,1.913845
12,4,2.074015
12,4,1.736043
12,4,2.337083
12,4,2.238882
13,4,1.811336
13,4,2.016482
13,4,2.398135
13,4,2.427497
13,4,2.184180
14,4,2.533028
14,4,1.990552
14,4,2.324390
14,4,1.899500
14,4,1.667719
15,4,2.797929
15,4,2.334842
15,4,2.443083
15,4,2.018815
15,4,2.108537
16,4,1.691992
16,4,2.503606
16,4,1.691631
16,4,1.689431
16,4,2.263865
17,4,2.612366
17,4,2.738617
17,4,2.522169
17,4,2.349911
17,4,2.932875
18,4,2.214785
18,4,2.540516
18,4,2.320393
18,4,2.751270
18,4,2.271701
19,4,2.540262
19,4,2.620287
19,4,2.682819
19,4,2.742473
19,4,2.624100
20,4,2.115486
20,4,2.954053
20,4,2.424349
20,4,2.253248
20,4,2.446605
21,4,2.755252
21,4,2.399592
21,4,2.962847
21,4,2.591311
21,4,2.810787
22,4,2.749915
22,4,2.622943
22,4,3.297904
22,4,2.324233
22,4,2.383030
23,4,2.753937
23,4,2.440654
23,4,2.493207
23,4,3.443601
23,4,3.019753
24,4,2.308248
24,4,2.536832
24,4,3.281848
24,4,2.386217
24,4,2.622277
25,4,3.447642
25,4,2.677329
25,4,2.708977
25,4,3.000717
25,4,3.003042
26,4,2.445023
26,4,2.359080
26,4,2.659231
26,4,2.501347
26,4,2.616092
27,4,2.579761
27,4,2.367515
27,4,2.636224
27,4,2.778473
27,4,2.544821
28,4,3.322814
28,4,2.282728
28,4,2.786400
28,4,2.295902
28,4,2.846413
29,4,2.671300
29,4,2.896051
29,4,2.382451
29,4,3.348066
29,4,2.709790
30,4,2.489434
30,4,2.680051
30,4,2.243427
30,4,2.508757
30,4,2.729626
31,4,3.019749
31,4,2.952319
31,4,2.582375
31,4,2.398820
31,4,2.735079
32,4,2.821624
32,4,2.084060
