Processes,Threads,Time

65,4,5.396656
65,4,4.605027
65,4,4.861084
65,4,4.782306
65,4,4.279635
66,4,5.328227
66,4,4.858761
66,4,7.202186
66,4,4.018300
66,4,4.743077
67,4,5.274932
67,4,4.753833
67,4,5.534544
67,4,4.816181
67,4,4.393630
68,4,4.711587
68,4,4.890143
68,4,5.285335
68,4,5.170033
68,4,5.385562
69,4,5.053566
69,4,5.260286
69,4,4.594539
69,4,4.569656
69,4,4.942302
70,4,5.160163
70,4,4.673420
70,4,4.892900
70,4,5.194287
70,4,4.933715
71,4,4.661468
71,4,4.565076
71,4,4.524217
71,4,4.394244
71,4,5.045157
72,4,5.156248
72,4,5.490823
72,4,5.770797
72,4,4.585936
72,4,4.635473
73,4,4.979504
73,4,4.838475
73,4,4.696184
73,4,5.740094
73,4,4.896430
74,4,5.068394
74,4,4.764132
74,4,5.246106
74,4,5.161870
74,4,5.082036
75,4,4.870647
75,4,4.765877
75,4,5.568531
75,4,5.583338
75,4,4.743562
76,4,4.807238
76,4,5.215837
76,4,5.556092
76,4,5.111597
76,4,5.415874
77,4,4.687218
77,4,4.710918
77,4,5.189355
77,4,6.212691
77,4,5.304663
78,4,4.486745
78,4,4.753078
78,4,4.630892
78,4,5.379722
78,4,5.347724
79,4,5.395748
79,4,5.495534
79,4,5.372876
79,4,6.276635
79,4,5.131925
80,4,5.347110
80,4,5.584104
80,4,4.751050
80,4,5.125265
80,4,4.730158
81,4,5.205963
81,4,5.334368
81,4,6.312317
81,4,5.475960
81,4,5.996234
82,4,5.430307
82,4,5.266173
82,4,5.141708
82,4,6.380507
82,4,5.638907
83,4,5.392561
83,4,5.777935
83,4,6.147794
83,4,5.152887
83,4,5.309654
84,4,5.883360
84,4,4.750757
84,4,4.945126
84,4,5.651912
84,4,5.838077
85,4,5.260482
85,4,5.287363
85,4,4.860991
85,4,5.693743
85,4,5.650703
86,4,5.409565
86,4,6.654027
86,4,5.357413
86,4,5.765948
86,4,5.803371
87,4,6.084229
87,4,6.100797
87,4,6.085531
87,4,5.308765
87,4,5.273968
88,4,5.186910
88,4,6.492358
88,4,5.461836
88,4,4.948155
88,4,5.419488
89,4,5.467863
89,4,5.986064
89,4,5.385505
89,4,5.989178
89,4,6.308406
90,4,5.708456
90,4,5.237004
90,4,5.814563
90,4,5.996602
90,4,5.940306
91,4,6.174532
91,4,5.722137
91,4,5.437073
91,4,5.675856
91,4,5.977003
92,4,5.352995
92,4,5.653175
92,4,6.015819
92,4,5.865013
92,4,5.476624
93,4,7.005750
93,4,5.432014
93,4,5.388586
93,4,5.209762
93,4,6.321039
94,4,6.478756
94,4,5.819205
94,4,5.752362
94,4,5.503984
94,4,5.712983
95,4,6.648422
95,4,5.705013
95,4,5.708744
95,4,5.828946
95,4,5.658248
96,4,5.669595
96,4,5.266087
96,4,5.471899
96,4,5.600581
96,4,6.334486
97,4,6.187550
97,4,6.018229
97,4,5.975275
97,4,6.271697
97,4,6.099624
98,4,6.907997
98,4,6.320198
98,4,6.054548
98,4,6.080841
98,4,6.585178
99,4,6.560240
99,4,5.530526
99,4,6.310258
99,4,6.085782
99,4,6.525813
100,4,6.048849
100,4,6.295367
100,4,5.967117
100,4,6.119878
100,4,6.028904
101,4,6.128574
101,4,6.539418
101,4,7.764401
101,4,5.965392
101,4,6.332984
102,4,6.165517
102,4,6.126799
102,4,6.544294
102,4,6.246445
102,4,6.432951
103,4,6.789638
103,4,6.643199
103,4,7.025267
103,4,6.383222
103,4,6.142716
104,4,6.303847
104,4,6.011418
104,4,6.526742
104,4,6.579169
104,4,6.412361
105,4,6.606725
105,4,6.671210
105,4,7.010937
105,4,6.374008
105,4,7.254773
106,4,6.536953
106,4,6.020903
106,4,7.818180
106,4,7.181285
106,4,6.346407
107,4,6.662120
107,4,6.997177
107,4,6.376691
107,4,6.469538
107,4,6.472722
108,4,6.170700
108,4,6.277999
108,4,6.342076
108,4,6.868503
108,4,6.492850
109,4,6.970039
109,4,6.783146
109,4,7.425879
109,4,6.798348
109,4,6.545615
110,4,7.012909
110,4,6.174080
110,4,7.396468
110,4,7.160808
110,4,6.274628
111,4,6.211962
111,4,6.385148
111,4,7.024775
111,4,6.722546
111,4,6.822465
112,4,6.361212
112,4,6.882136
112,4,6.913530
112,4,7.275755
112,4,6.762938
113,4,6.846918
113,4,6.922060
113,4,6.625732
113,4,6.851458
113,4,6.943385
114,4,6.849712
114,4,6.617202
114,4,8.040635
114,4,6.993388
114,4,7.028986
115,4,6.877372
115,4,6.592375
115,4,7.357725
115,4,6.238590
115,4,6.461453
116,4,6.849779
116,4,6.406709
116,4,6.827115
116,4,6.781863
116,4,6.512990
117,4,7.364619
117,4,7.485033
117,4,6.577097
117,4,6.808046
117,4,7.186350
118,4,7.008849
118,4,6.984271
118,4,7.021957
118,4,7.124321
118,4,7.452666
119,4,6.961351
119,4,7.747845
119,4,7.644058
119,4,6.644028
119,4,6.540250
120,4,6.680001
120,4,7.051298
120,4,6.821292
120,4,8.353858
120,4,7.151333
121,4,7.148641
121,4,6.853729
121,4,7.428540
121,4,7.143393
121,4,7.238567
122,4,6.885559
122,4,7.203075
122,4,7.170474
122,4,7.322218
122,4,7.777763
123,4,7.226545
123,4,7.689090
123,4,7.742817
123,4,7.648772
123,4,6.608144
124,4,7.145605
124,4,7.622412
124,4,7.933323
124,4,7.877219
124,4,8.108803
125,4,7.142211
125,4,7.729842
125,4,7.314905
125,4,6.766552
125,4,7.942160
126,4,7.658564
126,4,7.488278
126,4,8.485329
126,4,7.679225
126,4,7.134420
127,4,8.814861
127,4,7.562569
127,4,7.712850
127,4,7.567174
127,4,7.764239
128,4,8.566279
128,4,7.787502
128,4,7.526114
128,4,7.472592
128,4,8.271365
