Processes,Threads,Time

65,4,5.112211
65,4,4.306315
65,4,5.881380
65,4,4.882310
65,4,7.031822
66,4,4.805550
66,4,5.226681
66,4,5.438788
66,4,4.878772
66,4,4.112983
67,4,4.628512
67,4,4.696051
67,4,4.134782
67,4,4.485384
67,4,4.895552
68,4,5.058791
68,4,4.252388
68,4,3.947307
68,4,4.546442
68,4,4.934755
69,4,4.724025
69,4,4.463938
69,4,4.993662
69,4,4.420370
69,4,4.398675
70,4,4.622403
70,4,4.550104
70,4,5.803282
70,4,4.269019
70,4,4.530533
71,4,4.358693
71,4,4.971442
71,4,4.531674
71,4,4.536735
71,4,4.871586
72,4,4.685725
72,4,5.040379
72,4,4.498714
72,4,6.069572
72,4,4.387114
73,4,4.905074
73,4,4.590910
73,4,4.589948
73,4,4.333806
73,4,4.390586
74,4,5.439035
74,4,4.325992
74,4,4.827574
74,4,4.297641
74,4,4.099848
75,4,4.540756
75,4,5.127612
75,4,4.891189
75,4,4.875697
75,4,4.459566
76,4,4.646392
76,4,4.366473
76,4,4.701563
76,4,4.497389
76,4,4.664430
77,4,4.780978
77,4,4.578659
77,4,4.523785
77,4,5.132298
77,4,4.429704
78,4,4.323326
78,4,4.188745
78,4,3.915671
78,4,4.077815
78,4,4.495554
79,4,4.579542
79,4,4.411310
79,4,4.099442
79,4,4.186617
79,4,4.964603
80,4,4.272685
80,4,4.417000
80,4,3.917394
80,4,4.005854
80,4,4.645098
81,4,4.686596
81,4,4.720244
81,4,4.177699
81,4,4.658436
81,4,4.588722
82,4,4.237737
82,4,4.071438
82,4,4.200757
82,4,4.055162
82,4,4.917074
83,4,4.589885
83,4,4.198109
83,4,4.658273
83,4,4.041370
83,4,4.455034
84,4,3.942297
84,4,4.466873
84,4,4.133004
84,4,4.486241
84,4,4.927557
85,4,4.344924
85,4,3.949951
85,4,4.239355
85,4,4.456471
85,4,4.215954
86,4,4.293353
86,4,4.010290
86,4,4.184915
86,4,3.861980
86,4,3.986066
87,4,4.066125
87,4,4.697955
87,4,4.349851
87,4,4.168057
87,4,4.416698
88,4,4.282508
88,4,3.920649
88,4,4.847179
88,4,4.375403
88,4,3.894503
89,4,4.857002
89,4,4.399935
89,4,4.361788
89,4,4.809014
89,4,4.422058
90,4,4.321072
90,4,4.483141
90,4,3.975841
90,4,4.277566
90,4,4.133389
91,4,3.975680
91,4,4.404257
91,4,5.108935
91,4,4.303554
91,4,3.888675
92,4,4.463573
92,4,4.651930
92,4,4.794279
92,4,3.839412
92,4,3.882301
93,4,5.039179
93,4,4.191498
93,4,4.143556
93,4,3.947038
93,4,4.480413
94,4,3.860004
94,4,3.752269
94,4,4.045398
94,4,5.459775
94,4,4.262011
95,4,4.580675
95,4,3.930134
95,4,4.137088
95,4,3.999657
95,4,4.351399
96,4,4.136910
96,4,4.591267
96,4,4.107541
96,4,4.108775
96,4,4.443883
97,4,5.336289
97,4,4.028037
97,4,4.155678
97,4,4.515152
97,4,4.080214
98,4,4.213007
98,4,4.314860
98,4,4.157723
98,4,4.154872
98,4,4.059858
99,4,4.240590
99,4,4.415011
99,4,4.525551
99,4,4.482908
99,4,4.173173
100,4,4.479965
100,4,4.409546
100,4,4.271924
100,4,3.720111
100,4,3.791949
101,4,4.241499
101,4,4.286561
101,4,4.508146
101,4,4.121985
101,4,4.403986
102,4,4.348371
102,4,4.148796
102,4,4.632943
102,4,4.040047
102,4,4.798576
103,4,4.058455
103,4,4.168895
103,4,4.582358
103,4,4.031059
103,4,4.056171
104,4,3.778064
104,4,3.640978
104,4,3.997879
104,4,4.160450
104,4,4.028523
105,4,4.298552
105,4,3.956383
105,4,4.262388
105,4,4.133549
105,4,3.906810
106,4,4.023094
106,4,4.027407
106,4,4.188693
106,4,3.900696
106,4,3.961761
107,4,3.854317
107,4,3.890006
107,4,4.047626
107,4,4.279146
107,4,4.119976
108,4,3.789577
108,4,3.801108
108,4,4.166558
108,4,4.215963
