Processes,Threads,Time
1,1,74.999431
1,1,75.635221
1,1,66.281984
1,1,70.524399
1,1,66.273904

1,1,66.813483
2,1,58.488883
2,1,41.354870
2,1,54.573114
2,1,42.550315
2,1,46.080271
4,1,49.370120
4,1,40.742196
4,1,45.320470
4,1,55.482897
4,1,48.760897
8,1,39.893911
8,1,35.681988
8,1,24.537998
8,1,26.203755
8,1,33.652856
16,1,19.443893
16,1,29.111492
16,1,19.852343
16,1,19.366759
16,1,24.281046
32,1,11.404236
32,1,11.054587
32,1,16.113506
32,1,9.182092
32,1,12.497507
64,1,8.124731
64,1,7.574282
64,1,10.240977
64,1,8.165720
64,1,8.081085
