Processes,Threads,Time
1,1,74.999431
1,1,75.635221
1,1,66.281984
1,1,70.524399
1,1,66.273904
2,4,24.580408
2,4,27.589522
2,4,24.996435
2,4,23.488709
2,4,18.652059
4,4,22.900839
4,4,19.005454
4,4,27.073318
4,4,22.528050
4,4,26.895139
8,4,15.037044
8,4,17.545297
8,4,13.004878
8,4,15.092647
8,4,15.841202
16,4,15.304430
16,4,11.191199
16,4,11.032469
16,4,12.251593
16,4,9.849779
32,4,8.003438
32,4,6.326189
32,4,7.647192
32,4,10.689251
32,4,9.585594
64,4,6.819112
64,4,8.234083
64,4,6.480859
64,4,7.578883
64,4,8.022512
