Processes,Threads,Time

1,1,16.235265
2,1,11.744644
4,1,14.905794
8,1,7.070058
16,1,4.194085
32,1,3.094751
64,1,2.950004
1,1,17.385102
2,1,13.364043
4,1,9.208498
8,1,6.664940
16,1,4.922281
32,1,2.941533
64,1,3.187247
1,1,16.298251
2,1,13.938021
4,1,10.406999
8,1,8.816379
16,1,4.688984
32,1,2.899304
64,1,2.014486
1,1,18.189147
2,1,15.984542
4,1,9.592237
8,1,5.593511
16,1,4.051949
32,1,3.907835
64,1,3.062634
1,1,16.339835
2,1,12.159953
4,1,11.709036
8,1,9.969337
16,1,4.574507
32,1,3.782714
64,1,2.430473
1,1,16.402256
2,1,11.556769
4,1,9.447109
8,1,7.054459
16,1,5.748087
32,1,3.476437
64,1,3.063970
1,1,16.333024
2,1,15.269233
4,1,9.973431
8,1,9.209679
16,1,5.436863
32,1,3.308473
64,1,2.255860
1,1,16.356000
2,1,15.380195
4,1,10.626485
8,1,4.930078
16,1,6.374481
32,1,2.532673
64,1,2.635403
1,1,16.415524
2,1,11.324363
4,1,11.262076
8,1,9.982766
16,1,4.403741
32,1,3.095646
64,1,3.047778
1,1,18.954835
2,1,15.360993
4,1,10.737844
8,1,4.655883
16,1,5.308811
32,1,3.454316
64,1,2.044796
