Processes,Threads,Time

1,1,201.058298
1,2,120.991172
1,4,79.329209
1,8,75.463017
1,16,47.699109
1,32,82.027846
1,64,93.728755
1,1,201.433874
1,2,127.383659
1,4,73.429171
1,8,45.917085
1,16,37.725211
1,32,56.051067
1,64,77.011763
1,1,204.998708
1,2,141.941533
1,4,83.923375
1,8,70.153950
1,16,46.179588
1,32,58.401793
1,64,72.420383
1,1,214.269617
1,2,133.056389
1,4,86.165009
1,8,67.290017
1,16,53.642367
1,32,54.622015
1,64,56.453654
1,1,231.169999
1,2,123.590965
1,4,56.857926
1,8,48.189550
1,16,48.318107
1,32,71.428451
1,64,69.996889
1,1,203.784183
1,2,120.554501
1,4,65.252453
1,8,45.045434
1,16,38.681917
1,32,81.354880
1,64,55.271451
1,1,218.260356
1,2,120.902744
1,4,80.796336
1,8,60.438485
1,16,65.338675
1,32,65.269609
1,64,61.450617
1,1,199.574506
1,2,102.511334
1,4,115.500880
1,8,65.824828
1,16,69.478938
1,32,53.855732
1,64,57.973021
1,1,217.329263
1,2,106.512216
1,4,93.273772
1,8,75.434995
1,16,40.710546
1,32,53.887094
1,64,84.745461
1,1,211.221574
1,2,112.847883
1,4,92.708005
1,8,69.140735
1,16,92.312526
1,32,60.738423
1,64,73.383550
