Processes,Threads,Time

1,1,196.564280
1,2,133.941854
1,4,58.815971
1,8,82.180653
1,16,51.203346
1,32,60.814962
1,64,68.742547
1,1,214.700192
1,2,108.625727
1,4,70.775458
1,8,51.483074
1,16,54.334339
1,32,62.028045
1,64,49.471235
1,1,221.307624
1,2,118.873686
1,4,78.386678
1,8,71.018109
1,16,80.893802
1,32,53.990655
1,64,45.467700
1,1,198.813369
1,2,132.550810
1,4,90.929014
1,8,78.429609
1,16,38.247321
1,32,57.338370
1,64,77.865957
1,1,231.207068
1,2,138.939012
1,4,103.624837
1,8,62.276638
1,16,48.274036
1,32,97.000921
1,64,65.205597
1,1,240.746250
1,2,145.666090
1,4,75.651335
1,8,55.356820
1,16,52.819767
1,32,73.103434
1,64,83.007386
1,1,206.606721
1,2,138.505209
1,4,104.701123
1,8,61.004179
1,16,59.011893
1,32,71.231247
1,64,89.231573
1,1,203.127595
1,2,137.376483
1,4,93.528577
1,8,63.280151
1,16,53.649713
1,32,46.752579
1,64,54.047177
1,1,209.399573
1,2,105.393362
1,4,66.261812
1,8,49.172997
1,16,45.191493
1,32,54.329421
1,64,61.445167
1,1,196.105871
1,2,112.928097
1,4,77.547590
1,8,75.617413
1,16,50.383313
1,32,41.660829
1,64,64.945561
