Processes,Threads,Time

1,1,16.777919
1,2,8.644581
1,4,5.496201
1,8,4.960028
1,16,3.253916
1,32,5.520366
1,64,6.858068
1,1,16.402123
1,2,8.696016
1,4,5.328645
1,8,4.014336
1,16,3.777540
1,32,5.226768
1,64,8.187709
1,1,16.408961
1,2,8.773199
1,4,5.330148
1,8,4.108027
1,16,3.261800
1,32,5.234043
1,64,8.128806
1,1,16.232804
1,2,8.692033
1,4,5.733703
1,8,4.178491
1,16,2.910382
1,32,4.487330
1,64,10.190123
1,1,18.852843
1,2,9.379538
1,4,5.462329
1,8,4.032622
1,16,3.177091
1,32,5.040835
1,64,6.623636
1,1,19.450832
1,2,8.767605
1,4,5.276943
1,8,3.897006
1,16,3.083969
1,32,5.470960
1,64,6.701510
1,1,16.523031
1,2,8.721749
1,4,6.096629
1,8,3.998972
1,16,3.581867
1,32,6.098204
1,64,7.648028
1,1,16.381837
1,2,9.100459
1,4,5.616257
1,8,4.389996
1,16,3.294463
1,32,5.589870
1,64,7.611665
1,1,19.216339
1,2,8.788351
1,4,5.599789
1,8,4.438838
1,16,3.060521
1,32,5.958950
1,64,6.787797
1,1,19.334431
1,2,8.815169
1,4,5.775519
1,8,3.919337
1,16,3.227627
1,32,5.155079
1,64,6.582922
