Processes,Threads,Time

1,1,16.397860
1,2,8.905937
1,4,5.618848
1,8,4.657953
1,16,3.259184
1,32,5.087592
1,64,8.895718
1,1,19.526551
1,2,8.933203
1,4,5.195563
1,8,3.928173
1,16,3.199943
1,32,5.438925
1,64,7.013717
1,1,19.225562
1,2,9.354745
1,4,6.147958
1,8,3.977840
1,16,3.044036
1,32,5.054848
1,64,7.594900
1,1,18.999535
1,2,8.980080
1,4,6.210059
1,8,4.708011
1,16,3.185547
1,32,5.013173
1,64,7.762315
1,1,16.568617
1,2,8.879572
1,4,5.464375
1,8,3.971051
1,16,3.443235
1,32,4.839598
1,64,7.213771
1,1,19.267723
1,2,9.081595
1,4,5.423411
1,8,3.840847
1,16,3.356574
1,32,5.293454
1,64,7.714459
1,1,20.442780
1,2,8.678117
1,4,5.352609
1,8,4.010612
1,16,3.361148
1,32,5.709005
1,64,7.654111
1,1,19.494398
1,2,8.876437
1,4,5.629988
1,8,4.098552
1,16,3.530539
1,32,4.818854
1,64,6.071263
1,1,16.328729
1,2,8.590799
1,4,5.830017
1,8,3.921459
1,16,6.186656
1,32,4.923082
1,64,6.694943
1,1,18.972092
1,2,9.606871
1,4,6.180636
1,8,3.839496
1,16,3.153257
1,32,5.674838
1,64,7.167813
