Processes,Threads,Time

1,1,44.792562
1,1,45.048098
1,1,44.898844
1,1,44.834588
1,1,45.001189
2,1,33.430854
2,1,46.477658
2,1,36.083684
2,1,30.972385
2,1,29.049385
4,1,24.774688
4,1,36.180078
4,1,30.804500
4,1,32.575257
4,1,23.969129
8,1,17.849895
8,1,16.843734
8,1,18.580089
8,1,16.594748
8,1,14.993867
16,1,10.628542
16,1,17.614595
16,1,13.417228
16,1,12.717331
16,1,15.135049
32,1,7.454167
32,1,8.015298
32,1,6.408332
32,1,8.434677
32,1,5.936937
64,1,4.777079
64,1,5.641838
64,1,4.996120
64,1,4.724568
64,1,5.416710
1,2,29.930795
1,2,25.487575
1,2,25.133763
1,2,24.231771
1,2,25.507605
2,2,25.609130
2,2,23.047472
2,2,22.987972
2,2,24.024745
2,2,17.222478
4,2,16.541688
4,2,15.184697
4,2,14.547993
4,2,16.479747
4,2,18.501292
8,2,16.274214
8,2,10.332530
8,2,11.608142
8,2,14.528788
8,2,10.578506
16,2,10.814049
16,2,7.991040
16,2,10.609470
16,2,10.949025
16,2,9.947514
32,2,4.969393
32,2,4.996378
32,2,5.577905
32,2,5.602711
32,2,5.908532
64,2,4.394426
64,2,3.922935
64,2,4.905207
64,2,4.969853
64,2,4.315605
1,4,13.940757
1,4,13.262581
1,4,14.425828
1,4,13.543003
1,4,13.536217
2,4,16.374456
2,4,12.978812
2,4,14.334035
2,4,15.408858
2,4,13.250090
4,4,11.418959
4,4,13.833190
4,4,15.610113
4,4,23.408981
4,4,12.798134
8,4,10.498776
8,4,14.945556
8,4,11.364159
8,4,11.008527
8,4,7.788335
16,4,6.195320
16,4,9.306611
16,4,5.894962
16,4,7.986554
16,4,6.327990
32,4,5.649789
32,4,4.825014
32,4,6.739629
32,4,5.242097
32,4,5.021010
64,4,3.915393
64,4,3.843626
64,4,3.765443
64,4,3.825108
64,4,4.422287
1,8,8.257943
1,8,8.087900
1,8,8.463352
1,8,8.816670
1,8,8.348103
2,8,17.208873
2,8,10.996634
2,8,15.254238
2,8,15.143736
2,8,10.645215
4,8,11.066280
4,8,13.479090
4,8,13.347393
4,8,18.279792
4,8,17.223525
8,8,7.654700
8,8,8.417153
8,8,7.708591
8,8,8.433624
8,8,9.643350
16,8,5.710045
16,8,7.426590
16,8,6.926244
16,8,6.827645
16,8,6.195984
32,8,4.019464
32,8,5.497454
32,8,4.195821
32,8,4.738260
32,8,4.574236
64,8,4.467305
64,8,4.207637
64,8,3.884942
64,8,3.886867
64,8,3.963680
